 	la	calebasse	est	cassée	et	il	ne	reste	que	des	morceaux	</S>
a66	0.192881	0.153978	0.118833	0.114224	0.083675	0.0822964	0.0769064	0.0717475	0.0442476	0.023955	0.0192383	0.0180188
a87	0.239891	0.135051	0.103049	0.0865199	0.0933386	0.0897599	0.0820728	0.0705775	0.0354823	0.0215823	0.0215331	0.0211421
a23	0.445665	0.228778	0.130385	0.06304	0.0314207	0.0213019	0.014514	0.0120685	0.0102382	0.0107548	0.0146432	0.0171904
a10	0.366343	0.193103	0.166324	0.105222	0.0429102	0.0311096	0.0187072	0.0130202	0.00991501	0.0110211	0.0172877	0.0250373
a24	0.212429	0.175781	0.228598	0.158502	0.0579227	0.050412	0.0297905	0.0222157	0.0162451	0.0144624	0.0158968	0.0177458
a98	0.286139	0.23278	0.194561	0.0821635	0.030086	0.0290351	0.0215037	0.0194873	0.0180214	0.0222767	0.0281117	0.035835
a88	0.28419	0.254511	0.190462	0.0698029	0.0270518	0.0269991	0.0211031	0.0203358	0.0169657	0.0228982	0.0294118	0.0362679
a70	0.17771	0.199395	0.210593	0.129532	0.0548297	0.052992	0.0372755	0.035878	0.0239983	0.0237656	0.0253855	0.0286466
a93	0.139134	0.165771	0.19901	0.154734	0.0730002	0.0656563	0.046527	0.0434833	0.0287586	0.0257718	0.0267708	0.0313824
a96	0.126351	0.155652	0.189531	0.157818	0.0743884	0.065982	0.0473054	0.0441797	0.0322395	0.030002	0.0334651	0.043085
a75	0.120994	0.14798	0.195147	0.173208	0.0881861	0.0775219	0.0541643	0.0455858	0.0271514	0.0214646	0.0219002	0.0266957
a6	0.0877005	0.10823	0.158023	0.149904	0.101605	0.0899167	0.0719613	0.0596903	0.0392173	0.0343573	0.041822	0.057573
a36	0.067488	0.0860802	0.135828	0.138164	0.109904	0.102052	0.0837556	0.0663403	0.0493917	0.0423638	0.0519771	0.0666555
a2	0.0394368	0.0561542	0.111875	0.213286	0.153114	0.132132	0.0851462	0.0550706	0.0374294	0.0306065	0.0367385	0.0490109
a57	0.027633	0.0431166	0.100081	0.255762	0.184467	0.145766	0.0858783	0.0494765	0.0305463	0.022506	0.0244029	0.0303638
a87	0.0566993	0.0580725	0.105135	0.222771	0.179656	0.137915	0.0887128	0.0540187	0.0321157	0.0200603	0.0203562	0.0244872
a23	0.138177	0.106113	0.133184	0.13913	0.100813	0.0928223	0.0784346	0.0682822	0.0437571	0.0315595	0.0315904	0.0361376
a18	0.0871566	0.0647221	0.104086	0.116967	0.108557	0.104062	0.0940225	0.0779013	0.0583888	0.0476664	0.0593296	0.0771408
a70	0.024911	0.03324	0.0802817	0.116762	0.100718	0.0917929	0.0903294	0.0839092	0.0811854	0.0781732	0.0904303	0.128266
a62	0.0492716	0.0534613	0.0913223	0.11238	0.0906916	0.0866171	0.0837767	0.0971761	0.0795322	0.0742133	0.0791013	0.102457
a88	0.0275821	0.0299287	0.0572946	0.0894718	0.096211	0.0890419	0.0947869	0.11102	0.102616	0.103335	0.0968748	0.101837
a94	0.014035	0.0145471	0.0293827	0.0518505	0.0761153	0.0739437	0.090664	0.111129	0.123865	0.137726	0.135507	0.141235
a93	0.0148217	0.0169299	0.0313456	0.0500932	0.0740471	0.069502	0.0843331	0.0970826	0.120254	0.132004	0.139553	0.170034
a75	0.0169417	0.0203177	0.0382662	0.0667056	0.0800788	0.0716504	0.0788286	0.0844742	0.105836	0.131964	0.144659	0.160278
a5	0.00624976	0.00785089	0.0140852	0.0226733	0.045508	0.0454785	0.0620611	0.064503	0.120384	0.167762	0.205602	0.237843
a56	0.00527152	0.00652781	0.012486	0.0190155	0.0368689	0.0357901	0.0504564	0.0589753	0.114298	0.176747	0.227664	0.255899
a75	0.00401167	0.00506544	0.0103789	0.019862	0.0398101	0.0365084	0.0479907	0.0508822	0.0964621	0.168337	0.242686	0.278006
a6	0.00212726	0.00270236	0.00614894	0.0105628	0.0282424	0.0280958	0.040935	0.0406079	0.0924258	0.163847	0.258666	0.325639
a37	0.00236345	0.0027782	0.00586261	0.0125522	0.0277735	0.0243309	0.032582	0.0270189	0.0735793	0.151192	0.268209	0.371758
a6	0.00317384	0.00350449	0.00519935	0.0117009	0.0207523	0.0158111	0.0205205	0.0164267	0.0479039	0.125275	0.277996	0.451736
a36	0.00125931	0.00115178	0.00166921	0.00337481	0.00883077	0.00753764	0.0120215	0.0107542	0.038607	0.11071	0.281095	0.522988
a2	0.00334379	0.003046	0.00379636	0.00479846	0.00750926	0.00522113	0.00716371	0.00683381	0.0257258	0.100043	0.289629	0.542889
a30	0.0956233	0.0861947	0.0885369	0.0594755	0.054814	0.0345154	0.0386433	0.0424323	0.0617572	0.089885	0.137462	0.210661
a87	0.205721	0.102301	0.0728555	0.0438135	0.0471243	0.0323861	0.0372702	0.0422062	0.0531857	0.0773618	0.116711	0.169064
a23	0.240955	0.0980719	0.0537014	0.0299933	0.0504289	0.0387055	0.0468809	0.0484546	0.0619965	0.0802777	0.109434	0.1411
a87	0.118468	0.0562297	0.0359166	0.0225118	0.0381842	0.0303676	0.0403973	0.0384379	0.0648215	0.116214	0.203084	0.235368
</S>	0.0416294	0.0171496	0.00961595	0.00696038	0.0127653	0.00950426	0.013143	0.0155952	0.0334927	0.0879849	0.259449	0.49271
