 	l'	aînée	des	filles	les	entraîne	dans	la	forêt	</S>
a10	0.170882	0.135704	0.0842183	0.0802014	0.0902023	0.116569	0.0860749	0.0750584	0.0770154	0.0840738
a87	0.25018	0.135786	0.0980071	0.108135	0.0715144	0.0588808	0.0496285	0.0525462	0.0682391	0.107083
a23	0.331861	0.162293	0.0727798	0.069775	0.0459727	0.0379376	0.0313879	0.0432122	0.068308	0.136473
a38	0.367407	0.21213	0.112542	0.0949115	0.0428144	0.0273706	0.0168349	0.0197393	0.035715	0.0705356
a20	0.551626	0.22121	0.0959704	0.0592252	0.0267891	0.0144406	0.00875477	0.00748051	0.0067555	0.00774746
a35	0.538579	0.222565	0.0952264	0.0531032	0.029273	0.0206185	0.01302	0.010323	0.00832477	0.00896772
a76	0.436876	0.22971	0.115405	0.0812203	0.047416	0.0316459	0.0185637	0.0142795	0.0121119	0.0127712
a92	0.314864	0.226109	0.144439	0.111973	0.0730211	0.0485674	0.0294015	0.0199047	0.0157663	0.0159548
a35	0.240956	0.193481	0.149667	0.130652	0.0980723	0.0700077	0.0402282	0.0262257	0.0245966	0.0261138
a26	0.195683	0.165561	0.132292	0.121442	0.109317	0.0901565	0.0606342	0.0432921	0.0410712	0.0405505
a35	0.131695	0.102429	0.0854533	0.090131	0.113878	0.131166	0.0967638	0.0751026	0.0835534	0.0898277
a94	0.104956	0.101578	0.082982	0.0857848	0.124555	0.152241	0.113422	0.085482	0.0789273	0.0700728
a90	0.0962939	0.089734	0.0913454	0.102217	0.135782	0.147589	0.111357	0.0805601	0.0760222	0.0690991
a56	0.0691801	0.0753455	0.0683178	0.0899464	0.16672	0.199647	0.131995	0.0796467	0.0651378	0.0540638
a24	0.051451	0.0621599	0.0751337	0.0908308	0.152242	0.194166	0.14928	0.0959754	0.0728802	0.0558812
a41	0.0228081	0.0288959	0.0554006	0.0956526	0.136673	0.175322	0.162449	0.125102	0.1091	0.0885962
a14	0.0304541	0.0354189	0.0565519	0.0929988	0.143021	0.16662	0.13973	0.106805	0.115937	0.112463
a44	0.0286234	0.0468588	0.0700905	0.089685	0.133659	0.160048	0.143059	0.113822	0.111433	0.102722
a57	0.013282	0.0180084	0.0296556	0.0537171	0.0993395	0.143976	0.145282	0.165322	0.179083	0.152334
a90	0.00809788	0.00866436	0.0136528	0.0256939	0.0522509	0.107056	0.119864	0.156453	0.236947	0.27132
a35	0.021032	0.0254654	0.0318271	0.0443151	0.0752855	0.130767	0.132997	0.145096	0.186323	0.206892
a32	0.0115821	0.0154002	0.026582	0.0411053	0.0654712	0.0909743	0.109709	0.147532	0.230456	0.261188
a54	0.00744504	0.010216	0.0147399	0.0351152	0.0585061	0.0648227	0.0722297	0.12103	0.253378	0.362517
a35	0.0141591	0.0214279	0.036741	0.0650929	0.0805839	0.0925308	0.107849	0.14363	0.209662	0.228324
a14	0.00878726	0.012134	0.0231174	0.0471825	0.0676865	0.0672964	0.0799687	0.12855	0.243373	0.321904
a26	0.0202231	0.0214304	0.0300038	0.0450336	0.0493621	0.0570451	0.0866672	0.148278	0.229019	0.312938
a38	0.00499321	0.00662387	0.00987084	0.0209557	0.0363479	0.0481786	0.0621908	0.115283	0.256631	0.438924
a41	0.00467503	0.00490037	0.00740221	0.0179168	0.0324703	0.0427552	0.0532208	0.105326	0.26278	0.468554
a14	0.00715962	0.00963431	0.0135163	0.0280712	0.0348158	0.0401297	0.0646221	0.121514	0.255971	0.424566
a44	0.00636982	0.0101855	0.0165904	0.0301476	0.0305374	0.0295859	0.046416	0.105724	0.27968	0.444763
a38	0.00287354	0.00397844	0.00876867	0.0249613	0.0374129	0.0370512	0.0472018	0.0978334	0.272574	0.467345
a14	0.00344883	0.00399002	0.00609701	0.014736	0.0242194	0.0280004	0.0365195	0.0839861	0.273767	0.525236
a32	0.0107154	0.0153924	0.0169515	0.0239804	0.0215678	0.0199159	0.0334496	0.0908737	0.282587	0.484566
a14	0.00499987	0.00729494	0.00696463	0.0119039	0.0198718	0.025042	0.029028	0.0666719	0.263343	0.56488
a35	0.00732674	0.00881961	0.00938042	0.0147027	0.0166689	0.0202533	0.0334023	0.0923982	0.280691	0.516357
a57	0.00759671	0.00810355	0.0071281	0.0113409	0.0136875	0.0155259	0.0264413	0.0787506	0.262168	0.569257
a40	0.0103677	0.0152483	0.0122222	0.0114983	0.0118505	0.016863	0.02242	0.0654651	0.278572	0.555493
a76	0.0171533	0.0185161	0.0158229	0.0187721	0.0184842	0.0251494	0.0391539	0.103782	0.281769	0.461398
a20	0.00676227	0.00863289	0.00833064	0.0134511	0.0132457	0.0145565	0.0251585	0.077514	0.278837	0.553512
a84	0.00763459	0.0126756	0.0123327	0.018557	0.0180589	0.0204477	0.0316057	0.0795474	0.278198	0.520943
a87	0.0320723	0.0321752	0.0382768	0.0447033	0.0481057	0.0558644	0.0694532	0.114194	0.235224	0.329931
</S>	0.111726	0.0659987	0.0467353	0.0327771	0.0270665	0.041981	0.0707005	0.141446	0.210822	0.250747
