 	pourquoi	t	e	lamentes-tu	</S>
a66	0.364346	0.182238	0.11422	0.140883	0.198313
a87	0.345056	0.248141	0.130829	0.14104	0.134934
a23	0.365691	0.404325	0.193115	0.0259106	0.0109586
a83	0.498595	0.392038	0.071536	0.0182245	0.0196065
a75	0.548836	0.372724	0.0504098	0.0116266	0.0164031
a98	0.542801	0.307977	0.0716091	0.0516783	0.0259346
a15	0.317967	0.224948	0.151792	0.221127	0.0841667
a85	0.218714	0.121649	0.151738	0.356001	0.151899
a5	0.0435289	0.0407092	0.0915608	0.387271	0.43693
a36	0.0186312	0.0330205	0.0385477	0.165926	0.743874
a27	0.00280577	0.0096665	0.0156043	0.0962882	0.875635
a82	0.0273885	0.0407342	0.0454177	0.119301	0.767159
a87	0.267925	0.183861	0.103453	0.148296	0.296465
a3	0.220683	0.251105	0.225655	0.179369	0.123188
a97	0.117661	0.155936	0.223669	0.318899	0.183836
a99	0.113393	0.178268	0.182417	0.2367	0.289222
a87	0.195099	0.147678	0.0953289	0.158067	0.403827
a23	0.230262	0.213537	0.141156	0.163833	0.251212
</S>	0.0879836	0.120678	0.198579	0.221169	0.37159
