 	la	mouche	ituna	m'	a	piqué	dans	le	dos	</S>
a66	0.0944331	0.11622	0.248821	0.193826	0.185363	0.112165	0.0275481	0.00938258	0.00560781	0.00663261
a87	0.394257	0.26447	0.0894035	0.0833032	0.0821849	0.0389959	0.0160709	0.00917248	0.00994785	0.0121952
a23	0.417068	0.261166	0.083796	0.0911675	0.0778608	0.0346312	0.0136423	0.00681976	0.0068235	0.00702471
a18	0.361213	0.289105	0.0631696	0.084613	0.0741001	0.0415058	0.0171686	0.0151303	0.0224652	0.0315295
a9	0.221823	0.219252	0.109507	0.125978	0.108296	0.053428	0.0158814	0.0220212	0.0629126	0.0609013
a38	0.218933	0.227069	0.140017	0.124152	0.119528	0.0732583	0.0213701	0.0167562	0.0315985	0.0273178
a11	0.28923	0.319122	0.0965111	0.104267	0.0942973	0.0300263	0.0109897	0.0119583	0.0217575	0.0218403
a96	0.27661	0.28903	0.113941	0.142439	0.117758	0.0426923	0.00690642	0.00397577	0.00333836	0.00330844
a12	0.215518	0.268751	0.109718	0.141585	0.117078	0.100811	0.0239417	0.00962927	0.0062805	0.00668833
a47	0.165112	0.187325	0.103933	0.135452	0.116875	0.158911	0.0670774	0.0319517	0.0152216	0.0181415
a96	0.114048	0.156277	0.0985652	0.145526	0.121273	0.139925	0.101115	0.0632114	0.0282398	0.0318178
a98	0.0728444	0.125754	0.0999304	0.148805	0.133927	0.184939	0.111679	0.0583351	0.0292754	0.03451
a92	0.0284546	0.0600376	0.052356	0.0870406	0.11219	0.243485	0.201745	0.109543	0.0495341	0.0556134
a5	0.0593773	0.0885754	0.0954798	0.132	0.13798	0.176515	0.115554	0.0842478	0.0538218	0.0564502
a12	0.0188656	0.0461453	0.108066	0.156203	0.157202	0.181777	0.0909967	0.0798703	0.0797268	0.0811467
a75	0.00998421	0.0206496	0.0673318	0.119567	0.132093	0.176548	0.14306	0.106533	0.111089	0.113144
a92	0.00360266	0.00641405	0.0308831	0.0611182	0.0782207	0.153073	0.168906	0.163446	0.16043	0.173906
a5	0.00443592	0.006273	0.0278059	0.0498965	0.0622347	0.120237	0.191074	0.181497	0.179643	0.176902
a12	0.00439927	0.00437995	0.0175896	0.0329874	0.0435428	0.128593	0.196715	0.1855	0.191594	0.194698
a75	0.0022862	0.00245756	0.0057432	0.0116895	0.0133142	0.0461311	0.132822	0.207133	0.281136	0.297288
a92	0.00052209	0.000532009	0.00230177	0.00412195	0.0059448	0.0321435	0.141058	0.217439	0.27784	0.318097
a25	0.000480269	0.000444797	0.00141709	0.00262138	0.00339563	0.0168747	0.0961856	0.194114	0.321602	0.362865
a69	5.27128e-05	3.76276e-05	0.000235731	0.000321465	0.000433036	0.00279949	0.0316282	0.0936912	0.342029	0.528772
a90	0.00016684	8.38679e-05	0.000283724	0.000284761	0.000318801	0.00197646	0.0230185	0.0866549	0.367776	0.519436
a69	0.000115445	5.53344e-05	0.000214251	0.000234015	0.000313636	0.00289628	0.0435965	0.122289	0.363416	0.46687
a58	0.000121142	4.61459e-05	0.000122641	0.000162276	0.000240128	0.00191772	0.0306021	0.112352	0.358167	0.496268
a82	0.000202207	7.21841e-05	0.000134243	0.00010259	0.000108884	0.000521993	0.00816825	0.0581728	0.359404	0.573113
a87	0.0495053	0.0233406	0.0321662	0.0292294	0.0358199	0.0501854	0.0615843	0.107611	0.247925	0.362633
a23	0.277219	0.091479	0.0983508	0.125114	0.160197	0.0867409	0.0360079	0.0344117	0.0423975	0.0480823
a3	0.0396186	0.00611883	0.00204819	0.00300663	0.00584689	0.0119315	0.0866941	0.205478	0.349785	0.289473
a97	0.0101947	0.00288947	0.00155229	0.00277323	0.00481567	0.0110649	0.0647073	0.16134	0.365686	0.374977
</S>	0.0302244	0.0100965	0.0084251	0.0127701	0.018638	0.0262884	0.0546309	0.130342	0.348093	0.360492
