 	je	porte	de	vieux	habits	</S>
a66	0.498803	0.18925	0.124121	0.0932636	0.0588114	0.0357508
a87	0.269416	0.227464	0.205668	0.149297	0.0872535	0.0609017
a23	0.629945	0.21432	0.0672983	0.0346056	0.0265204	0.0273105
a13	0.641457	0.211351	0.0554918	0.0372364	0.026215	0.0282488
a75	0.536637	0.211402	0.0888247	0.0578861	0.0492422	0.056009
a5	0.639828	0.244103	0.0705194	0.0237716	0.0126315	0.00914608
a12	0.30575	0.294667	0.211749	0.0962285	0.0578964	0.033709
a75	0.262572	0.318957	0.220699	0.0914883	0.0639099	0.0423727
a85	0.159354	0.350895	0.262395	0.112742	0.074702	0.0399129
a5	0.0924428	0.19048	0.199988	0.171356	0.199184	0.14655
a12	0.251571	0.271538	0.14137	0.111135	0.127402	0.0969834
a61	0.14946	0.167047	0.157879	0.171027	0.187358	0.167229
a75	0.0779264	0.0934333	0.149888	0.220625	0.246882	0.211246
a85	0.01443	0.0167793	0.0596886	0.199714	0.334423	0.374966
a92	0.0107079	0.0130859	0.0501196	0.169824	0.319624	0.436638
a85	0.00798304	0.0097737	0.0433902	0.174454	0.329479	0.43492
a47	0.00615292	0.00734329	0.0307924	0.129551	0.306637	0.519523
a36	0.00284102	0.0045138	0.0185391	0.0981525	0.324725	0.551229
a6	0.00790259	0.01143	0.0230568	0.0673379	0.229071	0.661201
a36	0.00453295	0.00622641	0.0151765	0.0575921	0.207228	0.709244
a26	0.0115803	0.0177248	0.0305413	0.0719441	0.201893	0.666317
a57	0.119594	0.0707844	0.0626047	0.105925	0.212269	0.428823
a87	0.372083	0.130816	0.0663075	0.072559	0.12308	0.235155
a23	0.552006	0.249326	0.0692046	0.0406904	0.0410451	0.0477277
a99	0.161543	0.0784353	0.0729463	0.133252	0.196471	0.357353
a3	0.0454219	0.0219647	0.0282374	0.101577	0.266961	0.535839
a87	0.0269979	0.0192604	0.0351791	0.127586	0.266121	0.524855
a23	0.0459281	0.0350005	0.0495135	0.130182	0.246722	0.492654
a99	0.0273448	0.0254089	0.0596318	0.182107	0.256314	0.449194
a97	0.0490164	0.0449396	0.0831231	0.171878	0.245007	0.406036
a30	0.0563582	0.0420649	0.0648299	0.150606	0.2515	0.434641
</S>	0.0817413	0.080292	0.0792452	0.123626	0.205593	0.429502
