 	l'	orange	est	différente	de	la	mandarine	</S>
a66	0.199701	0.217215	0.186422	0.233536	0.115036	0.0350442	0.00891035	0.00413506
a87	0.325526	0.211479	0.141106	0.146948	0.0892371	0.0458167	0.0243052	0.0155824
a23	0.41919	0.279875	0.134561	0.0860051	0.0302034	0.0181622	0.0168607	0.0151421
a13	0.357154	0.310526	0.129868	0.0869266	0.0315862	0.0258836	0.0290317	0.0290237
a38	0.198591	0.24277	0.135475	0.145215	0.0778513	0.0696898	0.0707722	0.0596356
a96	0.200011	0.274656	0.190352	0.17559	0.0750376	0.0394121	0.0250066	0.0199338
a11	0.238499	0.374202	0.158821	0.12061	0.0597176	0.0229306	0.0141545	0.0110651
a62	0.196395	0.337595	0.192605	0.117724	0.0946205	0.0346687	0.0152778	0.0111128
a47	0.187034	0.276913	0.204327	0.163467	0.107767	0.0360156	0.0149504	0.0095258
a56	0.166298	0.199588	0.195739	0.184434	0.147326	0.0637609	0.0277346	0.01512
a44	0.152652	0.166022	0.199223	0.214484	0.178335	0.0552972	0.0204043	0.0135825
a96	0.100065	0.119163	0.172617	0.17679	0.201333	0.129691	0.0633208	0.03702
a70	0.106444	0.0997435	0.179681	0.203961	0.213246	0.109681	0.0557181	0.031526
a66	0.10063	0.0743018	0.146414	0.195648	0.251789	0.132698	0.0637671	0.0347517
a71	0.0666389	0.0592503	0.0950581	0.111455	0.184145	0.225577	0.175381	0.0824957
a75	0.0774434	0.0656196	0.0810845	0.0934018	0.140686	0.214356	0.224068	0.103341
a21	0.0218336	0.0146976	0.0367058	0.071224	0.173671	0.270534	0.222293	0.189041
a85	0.0126562	0.011503	0.0219132	0.0397045	0.114466	0.239075	0.312112	0.24857
a6	0.0098974	0.00614073	0.010744	0.0154939	0.0390916	0.145442	0.316036	0.457155
a37	0.00798166	0.00360485	0.0130446	0.0331833	0.0893033	0.220751	0.260944	0.371188
a21	0.0153938	0.00909219	0.0173508	0.0226841	0.0472453	0.1557	0.230848	0.501685
a12	0.00303166	0.0012929	0.00255872	0.00450294	0.0102897	0.0647469	0.251887	0.66169
a18	0.00141074	0.000740324	0.00131404	0.00203433	0.00667958	0.0494421	0.203567	0.734812
a25	0.00962999	0.0071512	0.0116732	0.0138832	0.0183938	0.0555201	0.164867	0.718882
a87	0.0588618	0.0427184	0.048062	0.0484343	0.0475071	0.0791033	0.145439	0.529874
a23	0.295451	0.0829698	0.0843751	0.0475993	0.0703605	0.0793748	0.100175	0.239695
a87	0.140741	0.0386482	0.0448143	0.0360023	0.0543429	0.077069	0.150795	0.457587
</S>	0.0410331	0.0106138	0.0111071	0.00902671	0.0197734	0.0676244	0.22557	0.615252
