 	il	est	à	l'	arrière	de	la	file	</S>
a85	0.408351	0.197667	0.0839209	0.0571765	0.0401954	0.0414087	0.041319	0.0710651	0.0588964
a87	0.332838	0.141487	0.094223	0.0550494	0.0438667	0.0459055	0.0625751	0.119148	0.104908
a23	0.26579	0.181429	0.160049	0.0923667	0.0372869	0.0344678	0.0496103	0.0865698	0.0924301
a10	0.186804	0.123329	0.113181	0.0825718	0.0540537	0.0518302	0.0752936	0.131638	0.181299
a20	0.274787	0.20589	0.116819	0.0643831	0.029972	0.0244744	0.0446058	0.128423	0.110645
a73	0.21561	0.247843	0.203976	0.172055	0.0609902	0.0188515	0.0151353	0.0292805	0.0362579
a26	0.201189	0.231179	0.213304	0.198538	0.0797467	0.0238506	0.0148183	0.015594	0.0217801
a11	0.187518	0.210307	0.191832	0.181149	0.0959649	0.0355278	0.0256054	0.0298849	0.0422111
a76	0.189802	0.19734	0.177149	0.15788	0.0986262	0.0435076	0.0343063	0.0417112	0.0596779
a94	0.224818	0.216313	0.17339	0.131343	0.0807715	0.0471627	0.0340813	0.0458427	0.0462777
a76	0.230498	0.199405	0.138187	0.107887	0.0957357	0.0662732	0.0488056	0.0586851	0.0545236
a94	0.163518	0.138287	0.107436	0.0859207	0.0965906	0.0865394	0.0724364	0.132301	0.11697
a76	0.101219	0.084991	0.0723864	0.0704804	0.111982	0.115277	0.106093	0.179963	0.157609
a90	0.0584273	0.0483863	0.0452021	0.048889	0.0942174	0.116426	0.11898	0.254107	0.215365
a76	0.0538123	0.0427137	0.0372999	0.0410873	0.0878676	0.123352	0.1398	0.238381	0.235686
a94	0.0197158	0.0173398	0.0188613	0.0245067	0.0583747	0.112982	0.150145	0.30285	0.295224
a76	0.00945587	0.00828083	0.00821413	0.0105266	0.0315658	0.0621242	0.123008	0.399262	0.347562
a20	0.00734919	0.00608895	0.00576903	0.00811977	0.0243081	0.0524811	0.110468	0.402414	0.383002
a84	0.00709982	0.00442061	0.00368803	0.00458792	0.0133218	0.0402843	0.117768	0.471555	0.337275
a87	0.00198147	0.00101868	0.000754492	0.00107312	0.00663317	0.0305251	0.113065	0.39677	0.448179
</S>	0.00606009	0.00363554	0.00337309	0.00443827	0.0163662	0.0538714	0.123497	0.337504	0.451254
