 	angonga	a	curé	l'	étang	de	sa	femme	</S>
a84	0.21483	0.132078	0.116516	0.109838	0.111893	0.093493	0.0946538	0.0653082	0.06139
a38	0.340122	0.204165	0.165512	0.125298	0.0777825	0.0418717	0.0228866	0.0125074	0.00985579
a9	0.363704	0.222774	0.230509	0.0988065	0.0381081	0.0172311	0.0110791	0.00806223	0.00972564
a82	0.384123	0.237134	0.230624	0.0830204	0.0339359	0.0130952	0.00631416	0.00508328	0.00667004
a10	0.407349	0.234415	0.200268	0.0768104	0.0341979	0.0154694	0.00941543	0.00966138	0.0124135
a87	0.484606	0.213311	0.171949	0.0626994	0.0265473	0.0127881	0.00866428	0.00870577	0.0107294
a23	0.437295	0.218968	0.200157	0.0738965	0.0298469	0.0134635	0.0083338	0.00807574	0.00996283
a26	0.474575	0.214755	0.147284	0.0566979	0.0338657	0.0218091	0.0152242	0.014554	0.0212352
a13	0.397775	0.231643	0.153744	0.0700269	0.0470198	0.0309656	0.0222366	0.0201726	0.0264168
a99	0.283568	0.216486	0.157348	0.0957659	0.06789	0.0515307	0.0410188	0.0357263	0.0506667
a4	0.20125	0.190721	0.152737	0.117308	0.0897509	0.0743551	0.0607003	0.0492905	0.0638875
a44	0.129525	0.201844	0.193347	0.143908	0.105458	0.0724541	0.0532676	0.0417805	0.0584155
a54	0.0955302	0.162739	0.196012	0.163001	0.129697	0.086743	0.0585635	0.0458802	0.0618334
a56	0.125737	0.188924	0.217001	0.150819	0.100036	0.0717136	0.0499355	0.040428	0.0554059
a94	0.0560002	0.102992	0.172577	0.162282	0.138184	0.114429	0.0812262	0.0709869	0.101324
a93	0.0325786	0.061772	0.12185	0.155517	0.167676	0.145575	0.103578	0.0883466	0.123105
a70	0.0319306	0.0596509	0.120875	0.142811	0.166179	0.153488	0.121244	0.0959527	0.107869
a50	0.0144112	0.02286	0.0453676	0.0757039	0.126359	0.160886	0.16023	0.158979	0.235202
a83	0.00574508	0.00787675	0.0162318	0.0295877	0.0682916	0.125294	0.177263	0.214913	0.354798
a90	0.00575746	0.00700184	0.0126958	0.0202389	0.0515363	0.111851	0.189947	0.232841	0.368131
a56	0.0105025	0.013857	0.0219909	0.0283704	0.0571607	0.129611	0.21288	0.233486	0.292141
a43	0.00512573	0.00628678	0.0113129	0.0169379	0.0395235	0.108123	0.207189	0.261853	0.343648
a31	0.0018078	0.00195155	0.00251177	0.00392841	0.010736	0.0484292	0.164325	0.300806	0.465504
a66	0.000921459	0.0010089	0.00137246	0.00191004	0.0055118	0.0279092	0.118655	0.310164	0.532547
a38	0.000442971	0.000544471	0.000740449	0.00131502	0.0038341	0.0207575	0.100825	0.326516	0.545024
a70	0.000903263	0.000901552	0.00112288	0.00190284	0.00498366	0.0219246	0.102223	0.34661	0.519428
a99	0.00173484	0.00156989	0.00210471	0.00320087	0.00700994	0.0209601	0.0760211	0.331356	0.556042
a13	0.00326201	0.00260196	0.00375541	0.00407766	0.00702801	0.0165542	0.0524842	0.283814	0.626423
a99	0.00663634	0.00465179	0.00578392	0.00590228	0.00962218	0.0199962	0.0566117	0.280765	0.61003
a87	0.00967558	0.00606474	0.00765976	0.00732781	0.0114567	0.0218694	0.0546708	0.260461	0.620814
a97	0.125268	0.0569913	0.058402	0.0333097	0.0294512	0.0407117	0.0760054	0.21142	0.368441
a87	0.216013	0.111144	0.10063	0.0474689	0.0342817	0.0454237	0.0774198	0.148106	0.219513
a23	0.168728	0.134988	0.114077	0.0640933	0.0484487	0.071594	0.0932914	0.130234	0.174547
a87	0.144593	0.149618	0.0993208	0.0615409	0.0402508	0.0606794	0.101528	0.139746	0.202722
</S>	0.154752	0.161314	0.0893963	0.052677	0.0355107	0.0566808	0.0949619	0.139462	0.215245
