 	qui	va	goûter	la	nourriture	que	j'	ai	préparer	</S>
a15	0.291802	0.265732	0.123755	0.0738034	0.0523895	0.0411489	0.0495567	0.0584138	0.0285423	0.0148573
a66	0.260429	0.247372	0.155689	0.0743871	0.052444	0.072562	0.0705003	0.0323718	0.0188785	0.0153659
a87	0.323322	0.277828	0.189518	0.0949523	0.047203	0.0289289	0.0158531	0.007812	0.00754402	0.00703887
a23	0.331196	0.31532	0.201568	0.0776752	0.0303338	0.0164768	0.0109669	0.00621235	0.00499818	0.00525331
a79	0.30635	0.263226	0.22274	0.0893354	0.037217	0.0193495	0.0133593	0.0126935	0.0152081	0.0205203
a69	0.240039	0.200907	0.186295	0.0972097	0.0702984	0.049991	0.0308788	0.0296021	0.0413878	0.0533903
a94	0.19119	0.189928	0.227695	0.146017	0.104622	0.0548194	0.0340325	0.0188267	0.0159728	0.0168974
a54	0.0834571	0.122255	0.252983	0.188148	0.167114	0.0888974	0.0553494	0.0190465	0.0114514	0.0112972
a47	0.108132	0.125565	0.240419	0.126156	0.141945	0.0957053	0.0724538	0.0383715	0.0275712	0.0236806
a37	0.0554	0.0613116	0.169317	0.150645	0.205936	0.152688	0.10651	0.0413549	0.031458	0.0253793
a61	0.05721	0.0613019	0.139276	0.132313	0.216	0.177305	0.132581	0.0432705	0.0218464	0.0188962
a21	0.0512573	0.0527094	0.109099	0.136296	0.210138	0.18436	0.149318	0.0602189	0.0249744	0.02163
a5	0.0287576	0.0335457	0.0645104	0.0929159	0.155828	0.1986	0.216924	0.112513	0.0534119	0.0429935
a12	0.0139585	0.0167308	0.0347751	0.061987	0.0988554	0.157169	0.268843	0.196482	0.0873899	0.0638095
a47	0.00920266	0.00963797	0.0158824	0.0287351	0.0437783	0.0749203	0.174634	0.294397	0.195185	0.153627
a61	0.0100071	0.0100888	0.0183795	0.0409474	0.0642531	0.0937043	0.150306	0.260619	0.183027	0.168667
a75	0.00613533	0.00601922	0.00967573	0.0197718	0.0317917	0.0581169	0.120148	0.283426	0.264831	0.200084
a6	0.00145937	0.00129327	0.00278226	0.00520811	0.0111526	0.0291906	0.0837201	0.282986	0.338729	0.243478
a79	0.000896607	0.000757848	0.00171518	0.00347707	0.00763662	0.0189265	0.0496021	0.20255	0.382716	0.331722
a7	0.000988216	0.000825822	0.00181125	0.00336411	0.00659804	0.0122422	0.0252938	0.117128	0.382475	0.449274
a75	0.00239638	0.00180066	0.00238492	0.00244539	0.00297254	0.00529957	0.0103908	0.0425676	0.286314	0.643429
a85	0.00149326	0.00114895	0.00204525	0.00234534	0.00291285	0.00514402	0.0104762	0.0472398	0.364312	0.562882
a6	0.000386335	0.000275083	0.000467542	0.000553617	0.000937671	0.00195964	0.00483494	0.0315835	0.324153	0.634848
a36	0.000586212	0.000433297	0.000898637	0.000938738	0.0013721	0.00241973	0.00559244	0.0369652	0.352858	0.597935
a37	0.00192165	0.00146961	0.002716	0.00262324	0.0034295	0.00528897	0.00974749	0.0363578	0.294733	0.641713
a96	0.00914396	0.00714261	0.00965871	0.00527516	0.00808673	0.0123598	0.0211911	0.0676867	0.29124	0.568215
a75	0.00617601	0.00449535	0.00610398	0.00423987	0.00531047	0.00743217	0.0130557	0.0583655	0.30504	0.589781
a36	0.00133074	0.00117884	0.00148241	0.00139134	0.00325022	0.00646654	0.0142548	0.0482657	0.314747	0.607632
a37	0.00314993	0.00248632	0.0034123	0.00226445	0.00417613	0.00672727	0.0135793	0.0476484	0.280387	0.636169
a27	0.0188316	0.0137043	0.0185623	0.00872151	0.0122973	0.0161577	0.0254207	0.0722499	0.284473	0.529581
a30	0.137076	0.0945443	0.0952154	0.0484389	0.0509156	0.0494331	0.0538695	0.0825736	0.147588	0.240345
a87	0.320759	0.205156	0.16072	0.0766742	0.043597	0.0325591	0.0296328	0.0375292	0.0497023	0.04367
a23	0.275261	0.22082	0.1663	0.0707565	0.037698	0.026788	0.0234775	0.0297925	0.0686627	0.0804431
a87	0.222141	0.169295	0.147343	0.0647745	0.0318209	0.0239998	0.0225625	0.0360966	0.116322	0.165644
a23	0.0878896	0.0698479	0.0872332	0.0394431	0.0286175	0.0264429	0.0326664	0.0851224	0.230215	0.312522
a87	0.139176	0.110512	0.135962	0.0672859	0.0349123	0.0257563	0.031688	0.0715696	0.157018	0.226119
</S>	0.081505	0.0686843	0.103583	0.0518293	0.0321441	0.029815	0.0443137	0.0914081	0.210563	0.286154
