 	faisons	vite	un	abri	</S>
a87	0.409627	0.188178	0.127463	0.133402	0.14133
a23	0.299681	0.184052	0.152262	0.175172	0.188834
a10	0.284234	0.208444	0.168044	0.172586	0.166692
a83	0.291169	0.20501	0.170113	0.158839	0.174869
a35	0.518396	0.259805	0.124626	0.049702	0.0474712
a41	0.503883	0.252044	0.137324	0.0514725	0.0552764
a32	0.462033	0.290375	0.152441	0.0533448	0.0418071
a25	0.403862	0.276377	0.164504	0.0826154	0.0726414
a38	0.265572	0.258206	0.191961	0.142841	0.14142
a76	0.280906	0.270702	0.19562	0.131493	0.121279
a35	0.399626	0.264217	0.163408	0.0948359	0.0779135
a14	0.289517	0.254195	0.190897	0.141679	0.123712
a35	0.197288	0.220896	0.205105	0.192054	0.184657
a66	0.106434	0.146682	0.182243	0.265797	0.298844
a38	0.0506101	0.117464	0.196256	0.294029	0.341641
a41	0.0317884	0.081209	0.157968	0.312601	0.416433
a90	0.0291173	0.0583525	0.117321	0.313031	0.482178
a25	0.0225363	0.0411298	0.0881929	0.316376	0.531765
a87	0.0193447	0.0348589	0.0791174	0.277048	0.58963
a79	0.0134879	0.0214728	0.0727118	0.250405	0.641922
a76	0.018054	0.0325048	0.0842176	0.279062	0.586162
a35	0.008034	0.0187238	0.0569834	0.30435	0.611908
a76	0.00880592	0.0166535	0.0473795	0.276967	0.650194
a90	0.0109023	0.017538	0.044522	0.254429	0.672609
a4	0.00966562	0.0170224	0.0399121	0.238623	0.694777
a57	0.00740242	0.0150123	0.0399208	0.237119	0.700546
a79	0.010989	0.0172391	0.0493441	0.272709	0.649718
a90	0.0122179	0.0247792	0.0519279	0.264571	0.646504
a70	0.01055	0.0210262	0.0475284	0.265544	0.655352
a90	0.0248938	0.0363769	0.0626464	0.275324	0.600759
a13	0.03249	0.0446896	0.0721394	0.267475	0.583206
a9	0.0787683	0.0951915	0.110531	0.27639	0.43912
a87	0.0798333	0.0986326	0.12415	0.269411	0.427974
</S>	0.0822015	0.0864623	0.11026	0.226115	0.494962
