 	il	s'	est	mis	une	amulette	au	cou	pour	se	protéger	de	la	maladie	</S>
a23	0.170595	0.113846	0.0727693	0.049429	0.0571254	0.0693569	0.0983836	0.110304	0.0586346	0.0493073	0.0329898	0.0323155	0.0315119	0.0294536	0.0239787
a79	0.153554	0.10271	0.0727034	0.0576161	0.0640619	0.0785744	0.0757472	0.0771807	0.0559909	0.0491828	0.0375873	0.0382406	0.0416714	0.0476584	0.0475206
a20	0.202339	0.178061	0.119129	0.083102	0.0740772	0.0595326	0.0485524	0.0495754	0.0285272	0.0240955	0.0314475	0.0289636	0.029605	0.0243963	0.0185957
a30	0.373296	0.299616	0.122251	0.0621553	0.03902	0.0205292	0.021097	0.0204555	0.00951477	0.00790989	0.00591891	0.00573066	0.00516862	0.00423915	0.00309774
a35	0.269205	0.236866	0.142377	0.0875847	0.0678887	0.0475662	0.0435813	0.0392385	0.0178357	0.0136907	0.00862492	0.00815356	0.00738058	0.00598192	0.00402509
a61	0.247397	0.199315	0.135084	0.0909502	0.076938	0.0603352	0.0550207	0.0521352	0.0282525	0.0187489	0.00923567	0.00806987	0.00716614	0.00615936	0.00519215
a24	0.17754	0.144917	0.134318	0.113327	0.105258	0.0822053	0.0698313	0.0618351	0.0341031	0.0219132	0.0125542	0.0114853	0.011045	0.00991647	0.00975134
a25	0.101112	0.0954182	0.121125	0.116935	0.127908	0.114641	0.105348	0.0883702	0.0459694	0.0274355	0.0126786	0.0111424	0.0106253	0.0102137	0.0110782
a38	0.0376364	0.0396063	0.0647365	0.0855948	0.129227	0.154837	0.146974	0.130259	0.0676573	0.0402722	0.020766	0.0198689	0.0196834	0.0196926	0.0231881
a30	0.0268381	0.0270749	0.0411746	0.0552951	0.0908687	0.13018	0.159127	0.165014	0.0953232	0.0553035	0.0295341	0.0280485	0.0289141	0.0304599	0.0368437
a35	0.019836	0.0212337	0.0329755	0.0440745	0.0704575	0.112509	0.155017	0.166995	0.106053	0.0635396	0.0376773	0.0353361	0.0390421	0.042115	0.0531386
a54	0.0261383	0.0279673	0.0374692	0.0478799	0.0776402	0.120323	0.152396	0.160303	0.106532	0.0673894	0.0387675	0.0349993	0.0345509	0.0321629	0.0354803
a20	0.0397297	0.0374879	0.0435411	0.0477135	0.0750866	0.104185	0.125617	0.134289	0.0915201	0.0660817	0.0505008	0.0488663	0.047587	0.0417995	0.0459946
a76	0.0394887	0.037718	0.0444905	0.0433332	0.0610911	0.0892584	0.121243	0.135733	0.102863	0.0763993	0.0533054	0.049886	0.0483572	0.0449751	0.0518587
a90	0.0277666	0.0282215	0.0347766	0.0366537	0.0531345	0.0795194	0.107012	0.113605	0.0905642	0.0692809	0.0690473	0.0709614	0.0762105	0.0667985	0.0764483
