 	la	tourterelle	est	prise	au	piège	</S>
a87	0.284706	0.323576	0.165511	0.100784	0.0605143	0.0382138	0.0266949
a23	0.127164	0.172918	0.167295	0.133885	0.123594	0.139229	0.135915
a62	0.254415	0.134489	0.117172	0.101327	0.113411	0.136277	0.142908
a47	0.591991	0.193896	0.0922771	0.0515646	0.0317904	0.0219446	0.0165366
a88	0.596122	0.16141	0.0897433	0.0540103	0.0421903	0.0297125	0.0268111
a34	0.642215	0.168193	0.0737988	0.0431825	0.0314894	0.0212663	0.0198548
a90	0.536445	0.199854	0.0908613	0.0596366	0.0460024	0.0335064	0.0336949
a21	0.288361	0.25463	0.153425	0.109674	0.0783762	0.0571461	0.0583874
a41	0.476907	0.25067	0.0967724	0.0620252	0.0427038	0.0332542	0.0376679
a21	0.306167	0.30926	0.142406	0.0903944	0.0584904	0.0451058	0.0481756
a96	0.292944	0.281936	0.137224	0.0996471	0.0709866	0.0556862	0.0615757
a98	0.0978806	0.323678	0.199161	0.147807	0.0899447	0.070281	0.0712481
a9	0.0820047	0.285224	0.180109	0.15839	0.111323	0.0901224	0.0928262
a38	0.0257692	0.233486	0.182718	0.174701	0.138784	0.122207	0.122335
a24	0.0319346	0.189649	0.155316	0.175234	0.151631	0.146063	0.150172
a0	0.0204085	0.105033	0.136073	0.181449	0.193599	0.180616	0.182821
a75	0.014658	0.0659382	0.104383	0.158516	0.207085	0.216596	0.232824
a90	0.0132797	0.0372758	0.0400492	0.0789346	0.149538	0.277575	0.403349
a13	0.00801669	0.0343031	0.0511311	0.107015	0.173329	0.275664	0.35054
a90	0.00548774	0.0310211	0.0429073	0.0808104	0.148802	0.274493	0.416478
a21	0.0076561	0.0303127	0.0439518	0.0874677	0.160397	0.28728	0.382934
a41	0.00627315	0.023923	0.0371478	0.0693165	0.144376	0.292832	0.426131
a18	0.00281543	0.0107826	0.0213754	0.046837	0.121513	0.297427	0.49925
a82	0.00424913	0.0239664	0.0366589	0.0574628	0.121375	0.30474	0.451548
a87	0.021736	0.0524718	0.047781	0.0626841	0.118965	0.293873	0.40249
a97	0.0694853	0.103709	0.0845531	0.104702	0.148792	0.229385	0.259373
a87	0.0564809	0.173025	0.159848	0.152542	0.146368	0.155219	0.156519
a23	0.0506568	0.156045	0.150823	0.139685	0.144784	0.160988	0.197018
a99	0.00873072	0.0230792	0.0468653	0.0740916	0.14052	0.261885	0.444829
a87	0.00754165	0.0311428	0.0500542	0.0717176	0.133142	0.280874	0.425528
a97	0.0086096	0.0255476	0.0392465	0.0526933	0.110357	0.275758	0.487788
</S>	0.0313858	0.0655415	0.0650794	0.0703475	0.118964	0.237895	0.410787
