 	hier	j'	ai	mangé	les	haricots	</S>
a66	0.30622	0.302001	0.235718	0.109332	0.0299087	0.0105772	0.00624294
a87	0.460483	0.239632	0.133952	0.0762736	0.0558592	0.021095	0.0127065
a23	0.375951	0.211237	0.204107	0.102054	0.0479175	0.028049	0.0306855
a40	0.29094	0.167845	0.199466	0.0865222	0.0746834	0.0701447	0.110399
a7	0.265394	0.194957	0.219528	0.163591	0.0861165	0.038557	0.0318568
a15	0.237516	0.231816	0.274051	0.19677	0.0484517	0.00757931	0.00381738
a79	0.189064	0.191503	0.240519	0.258739	0.0940689	0.0180493	0.00805691
a94	0.134494	0.158396	0.235983	0.296771	0.13417	0.0311088	0.00907743
a12	0.0661618	0.0728591	0.124838	0.309926	0.289942	0.108171	0.028102
a96	0.0821232	0.0747582	0.091809	0.253084	0.290662	0.161765	0.045799
a21	0.0696021	0.0610289	0.074701	0.192721	0.300291	0.225618	0.0760382
a85	0.0836627	0.0596127	0.0591977	0.111681	0.204616	0.347464	0.133765
a6	0.05605	0.0438257	0.0416474	0.108344	0.198426	0.34475	0.206957
a36	0.0343838	0.024415	0.0226813	0.0454248	0.141867	0.334362	0.396865
a21	0.0190936	0.00996229	0.00768741	0.0103139	0.0516094	0.198579	0.702754
a12	0.00738861	0.0045324	0.00363722	0.00836516	0.0375649	0.256477	0.682035
a43	0.00580175	0.00299869	0.00249163	0.00636673	0.0319759	0.166751	0.783614
a27	0.00139404	0.000715923	0.000586461	0.00266253	0.0240499	0.157764	0.812827
a10	0.0722712	0.0601348	0.0502167	0.0525981	0.0808406	0.195734	0.488204
a87	0.347734	0.255829	0.189337	0.0926932	0.0455713	0.0301066	0.0387287
a23	0.324828	0.20442	0.150897	0.124757	0.0782865	0.0575783	0.0592333
a99	0.12145	0.0481962	0.0318887	0.0201423	0.0336263	0.132409	0.612288
a97	0.0151211	0.00660624	0.00513332	0.00638121	0.0205854	0.204906	0.741267
</S>	0.00806084	0.00349452	0.00241533	0.00393418	0.0146717	0.191592	0.775831
