 	j'	ai	préparé	les	champignons	ils	sont	délicieux	</S>
a66	0.50513	0.20749	0.107616	0.063814	0.039654	0.0262289	0.0159183	0.0166866	0.017462
a87	0.32805	0.205754	0.128983	0.0790237	0.0484113	0.0347682	0.0355554	0.0588645	0.0805898
a23	0.441706	0.2477	0.100954	0.0364777	0.0218048	0.0190996	0.0238116	0.0403291	0.0681168
a18	0.501504	0.264162	0.0969148	0.0284273	0.0145856	0.0120643	0.0153689	0.0237654	0.0432078
a50	0.475947	0.240442	0.123967	0.0387209	0.0176527	0.0154007	0.0196069	0.0253536	0.0429098
a31	0.390191	0.289189	0.184899	0.0625566	0.0251773	0.0164323	0.0121043	0.00902395	0.0104267
a62	0.312525	0.317686	0.219971	0.0772852	0.0338093	0.0172734	0.010507	0.00557965	0.0053639
a75	0.183315	0.250893	0.279621	0.145373	0.0708706	0.0306604	0.0191698	0.0105539	0.00954259
a85	0.107307	0.202195	0.32755	0.212129	0.0904771	0.0303554	0.0153324	0.00724551	0.00740923
a92	0.0566364	0.11	0.211774	0.261761	0.185338	0.0761185	0.0458643	0.0259563	0.0265517
a37	0.101249	0.133581	0.179262	0.217639	0.175735	0.0823048	0.0514878	0.0299238	0.0288177
a47	0.0635879	0.0888113	0.125909	0.203386	0.207339	0.122507	0.0807722	0.0529129	0.0547748
a36	0.0265185	0.0328849	0.0473293	0.143912	0.20955	0.183475	0.139278	0.10423	0.112822
a7	0.0119974	0.0107352	0.0107924	0.0427077	0.121526	0.201768	0.205473	0.180831	0.21417
a44	0.00658933	0.00525059	0.00522766	0.0198259	0.0688268	0.173239	0.217568	0.215551	0.287921
a94	0.0025323	0.00213336	0.00222086	0.00845047	0.0370692	0.137863	0.223215	0.250991	0.335525
a66	0.000993363	0.000891627	0.000924509	0.0031622	0.0148795	0.071808	0.175173	0.280862	0.451306
a13	0.00103362	0.000762937	0.000791343	0.00175059	0.00586424	0.0246325	0.0810197	0.278466	0.605679
a82	0.00107282	0.000878827	0.0010762	0.00264095	0.00921315	0.033594	0.0959467	0.296776	0.558801
a3	0.012323	0.00747039	0.00749487	0.0144653	0.0342865	0.0765091	0.133435	0.280502	0.433514
a87	0.215581	0.117988	0.0554342	0.0525197	0.0716411	0.0933504	0.0984374	0.131199	0.163849
a23	0.242017	0.148357	0.0785202	0.0692274	0.0759905	0.0971972	0.0938943	0.0948924	0.0999039
a54	0.0743141	0.040235	0.0196114	0.0225989	0.0475865	0.102427	0.162493	0.22936	0.301374
a36	0.0376443	0.0254065	0.0255802	0.0685414	0.144657	0.193668	0.200335	0.146317	0.157851
a6	0.00191677	0.00296055	0.00661527	0.0197758	0.0490124	0.11284	0.191716	0.242691	0.372473
a37	0.000635106	0.000902126	0.00222048	0.0110406	0.0401441	0.105719	0.184013	0.267546	0.38778
a6	0.000356902	0.000367329	0.000653975	0.0029571	0.0159311	0.0736411	0.173668	0.291561	0.440864
a37	0.000173313	0.00019299	0.000425153	0.00208561	0.00942328	0.0454492	0.119846	0.284848	0.537556
a54	0.000153666	0.00016568	0.000288441	0.00117249	0.00605094	0.037749	0.111818	0.286444	0.556157
a92	0.000105645	0.000169766	0.000387333	0.00200209	0.00872668	0.0400968	0.10973	0.271767	0.567015
a37	9.10915e-05	0.000128736	0.00025138	0.00107348	0.00534247	0.029841	0.0901391	0.264737	0.608395
a5	0.000100863	0.000118417	0.000186016	0.000770082	0.00368874	0.0225638	0.0828633	0.285374	0.604335
a6	6.1743e-05	7.40157e-05	0.000127043	0.000527477	0.00265383	0.0150761	0.0627209	0.26566	0.653099
a36	7.77619e-05	0.000108752	0.000213698	0.000950668	0.00431352	0.0218563	0.0845329	0.281228	0.606718
a26	0.000267242	0.000347959	0.000539735	0.00182566	0.00752318	0.0270157	0.0941165	0.300719	0.567645
a82	0.0182325	0.0111316	0.00937204	0.0146108	0.0319723	0.0682949	0.138147	0.309045	0.399194
a87	0.151777	0.0608202	0.0307556	0.0303756	0.0449304	0.0754169	0.114138	0.213871	0.277915
a23	0.27306	0.118113	0.0459388	0.0401162	0.0506422	0.0707482	0.0874047	0.137441	0.176536
a87	0.0873452	0.0412564	0.0165782	0.0165713	0.0326808	0.0761549	0.134681	0.230555	0.364177
</S>	0.0139388	0.0093811	0.00745737	0.0141721	0.035477	0.077362	0.145502	0.25401	0.4427
