 	c'	est	un	animal	</S>
a79	0.471491	0.184777	0.0965769	0.128961	0.118195
a41	0.35141	0.20786	0.146014	0.155209	0.139506
a32	0.583309	0.224772	0.0826292	0.0763471	0.0329424
a71	0.54632	0.251702	0.0984177	0.0738034	0.0297569
a38	0.418981	0.263761	0.144179	0.11785	0.05523
a26	0.336244	0.244884	0.1699	0.155236	0.0937366
a35	0.221599	0.194816	0.184386	0.220319	0.17888
a94	0.1571	0.153712	0.179574	0.264058	0.245556
a41	0.070115	0.0882052	0.155628	0.318335	0.367716
a14	0.0409689	0.0514139	0.110629	0.307248	0.48974
a35	0.0256255	0.0344066	0.0912974	0.306372	0.542298
a20	0.0212802	0.0329569	0.0903051	0.295775	0.559683
a7	0.0227135	0.0342192	0.0807435	0.260445	0.601879
a57	0.00920622	0.0161578	0.0481336	0.242689	0.683814
a87	0.0252693	0.038617	0.0816846	0.233319	0.621111
</S>	0.0523154	0.0722798	0.119495	0.241815	0.514095
