 	entre	dans	la	maison	</S>
a82	0.419874	0.203404	0.134351	0.112358	0.130013
a3	0.269215	0.197986	0.178691	0.18748	0.166628
a79	0.529304	0.204501	0.103931	0.0868238	0.0754403
a15	0.631659	0.236038	0.0724763	0.036376	0.0234509
a98	0.499741	0.244699	0.116561	0.0722673	0.0667314
a73	0.295357	0.26219	0.198267	0.142734	0.101453
a75	0.186687	0.203466	0.206673	0.19681	0.206364
a85	0.102816	0.140607	0.199656	0.263635	0.293286
a37	0.0593831	0.0881489	0.157608	0.279221	0.415639
a21	0.0502711	0.0728997	0.142295	0.267961	0.466573
a47	0.0525047	0.0685027	0.130788	0.240911	0.507294
a18	0.0148745	0.0279188	0.0837901	0.223763	0.649654
a25	0.00922084	0.0173664	0.0526189	0.168998	0.751796
a97	0.00979153	0.0176925	0.0512755	0.152516	0.768724
a87	0.0450731	0.0510487	0.0964821	0.20197	0.605426
a23	0.149308	0.110341	0.137194	0.210624	0.392532
a99	0.0956779	0.0941594	0.133889	0.214103	0.46217
a97	0.0346713	0.041671	0.0821986	0.184082	0.657377
a99	0.0278324	0.042838	0.101279	0.215394	0.612656
</S>	0.0936234	0.099143	0.147358	0.202969	0.456907
