 	le	vin	de	palme	qu'	il	nous	a	offert	date	de	plus	d'	un	jour	</S>
a66	0.284512	0.170612	0.0800115	0.0389655	0.0382903	0.0490302	0.0541673	0.0598638	0.0645016	0.0444185	0.0388142	0.0348107	0.0196315	0.00996677	0.00732837	0.00507601
a87	0.211649	0.101634	0.0448238	0.0200831	0.0142818	0.0190345	0.0456261	0.0646488	0.07785	0.0903844	0.0733514	0.0690306	0.0460686	0.042969	0.0451051	0.033459
a97	0.0832068	0.04478	0.0366744	0.033739	0.0357013	0.0376763	0.0599179	0.0762964	0.0774337	0.110797	0.0963602	0.106906	0.0735768	0.0547421	0.0412534	0.0309387
a87	0.0946446	0.0616329	0.0536641	0.0486308	0.0554495	0.053427	0.0724296	0.0803831	0.0823036	0.0776377	0.0747294	0.0764709	0.0611588	0.0470502	0.0339912	0.0263967
a97	0.0951925	0.0624434	0.0499539	0.0407322	0.046845	0.047018	0.0757285	0.091828	0.0961913	0.0852993	0.0802593	0.0767568	0.0566787	0.0418065	0.0293634	0.0239033
a87	0.113524	0.0586908	0.0412619	0.0276594	0.029728	0.0308116	0.0490756	0.0726541	0.0700449	0.0800165	0.075158	0.108355	0.0934132	0.0730746	0.047071	0.0294615
a97	0.124745	0.0645937	0.0447576	0.0321268	0.0355026	0.034965	0.0538464	0.0674842	0.056014	0.0673225	0.0605086	0.0900787	0.0870712	0.0839572	0.0583124	0.0387137
a40	0.159372	0.0812261	0.0526863	0.0303233	0.0283825	0.0280672	0.0449338	0.0657355	0.0534015	0.0646818	0.0572679	0.0881951	0.081441	0.075416	0.0541224	0.0347478
a6	0.197031	0.152503	0.145907	0.0944097	0.0559669	0.0392297	0.0306118	0.0305441	0.0203342	0.0266954	0.0225531	0.0321211	0.0321276	0.037749	0.0409897	0.0412262
a37	0.144316	0.155707	0.183995	0.153913	0.102211	0.0636125	0.0364211	0.0251714	0.0168736	0.0148369	0.0157983	0.0159604	0.0163674	0.0176103	0.0189332	0.018273
a75	0.109154	0.126536	0.184101	0.182942	0.144689	0.0909047	0.0423501	0.0272513	0.0195657	0.0134196	0.0148993	0.0112323	0.00947077	0.00800908	0.00761783	0.00785737
a5	0.0810818	0.103558	0.149802	0.163727	0.147767	0.117106	0.0601435	0.0419079	0.0339632	0.0220515	0.0230041	0.0145163	0.0105742	0.00869312	0.01008	0.0120248
a37	0.0680879	0.0772945	0.125671	0.173087	0.185692	0.141706	0.0660777	0.0400525	0.0324591	0.0228499	0.0241182	0.0129675	0.00860327	0.00636038	0.00682571	0.00814726
a98	0.0412987	0.0453882	0.0745212	0.125123	0.181322	0.173147	0.0911826	0.0598563	0.0504007	0.0391311	0.0416377	0.0224974	0.0151034	0.0114288	0.0123871	0.0155746
a47	0.024774	0.0410098	0.0796571	0.112416	0.144148	0.147125	0.0877361	0.0665003	0.0681799	0.0540537	0.0534236	0.0341141	0.0223804	0.0166551	0.0198775	0.0279497
a7	0.011151	0.0156834	0.0329819	0.0631454	0.115158	0.158102	0.111864	0.086192	0.0832592	0.0726468	0.0731337	0.0421251	0.0273044	0.0240264	0.0334076	0.0498191
a25	0.014824	0.0152154	0.0222484	0.0397086	0.0949057	0.15915	0.125819	0.0905522	0.0865643	0.078271	0.0792469	0.0457068	0.0318707	0.0284061	0.0368712	0.0506391
a79	0.0106262	0.0119793	0.0184944	0.0278376	0.0536893	0.0968925	0.0917335	0.0887304	0.100927	0.0905504	0.0887663	0.0652227	0.0473024	0.0437248	0.0629147	0.100609
a44	0.0130468	0.0142124	0.0188104	0.0274806	0.0562735	0.103467	0.0954256	0.0900602	0.101471	0.093631	0.0903436	0.0702388	0.0518093	0.0436716	0.0534	0.0766577
a56	0.00865498	0.00853318	0.0100166	0.0135407	0.029951	0.0727547	0.0904271	0.10167	0.136478	0.114064	0.107049	0.0773199	0.0530274	0.0429053	0.0546672	0.0789402
a43	0.00587315	0.0062717	0.00789083	0.0110787	0.0245477	0.0515831	0.0679194	0.0754019	0.122148	0.103024	0.105835	0.0882997	0.0740796	0.0674019	0.0802817	0.108364
a75	0.00374418	0.00395598	0.00517508	0.00697335	0.0139889	0.0279625	0.0496296	0.0674783	0.114482	0.110942	0.13005	0.108453	0.089818	0.0754307	0.0860789	0.105838
a85	0.00223645	0.00249237	0.00363826	0.00571649	0.0133294	0.0252292	0.0397731	0.0485413	0.0916721	0.0812568	0.0986582	0.0956716	0.0898574	0.0991548	0.130601	0.172172
a6	0.000980279	0.00117241	0.00213521	0.00410658	0.0102484	0.0220968	0.0367667	0.0424721	0.0788602	0.0803342	0.0912859	0.078704	0.0708271	0.0818054	0.150907	0.247297
a5	0.000689883	0.000858413	0.00140091	0.00242686	0.00616912	0.0138003	0.0267021	0.0375177	0.0632763	0.0800175	0.0903318	0.0929959	0.0954099	0.110682	0.156517	0.221205
a12	0.00123687	0.00135381	0.00169296	0.00230535	0.00525734	0.0106304	0.0196451	0.0288294	0.0567334	0.0635832	0.0760245	0.0902232	0.105505	0.128057	0.176697	0.232225
a18	0.00131732	0.00135783	0.00175681	0.00238762	0.00521968	0.00959229	0.0180877	0.0250011	0.0503086	0.0530437	0.0681416	0.0788351	0.108957	0.149663	0.201794	0.224537
a0	0.0010458	0.00116828	0.001772	0.00242551	0.00405011	0.00725347	0.0140918	0.01999	0.0313327	0.0382172	0.044103	0.0576657	0.0932206	0.165049	0.237598	0.281017
a88	0.00204686	0.00185583	0.00238463	0.00282483	0.00363003	0.0059064	0.0114358	0.0220983	0.0327189	0.0484251	0.0396899	0.06142	0.102195	0.171621	0.236395	0.255353
a9	0.000512399	0.000576824	0.000841953	0.00118206	0.00202721	0.00380615	0.00800264	0.0127076	0.0198481	0.0259403	0.027234	0.0424416	0.080334	0.165011	0.279964	0.32957
a97	0.00156267	0.00131282	0.00132585	0.0014627	0.00205306	0.00349631	0.00827105	0.0157314	0.0210297	0.039786	0.0364763	0.0535008	0.093081	0.165232	0.244486	0.311192
a87	0.0120959	0.0087864	0.00721922	0.00617197	0.00630663	0.00802034	0.0148972	0.0266133	0.0403397	0.0668217	0.0885052	0.128549	0.147639	0.152502	0.13966	0.145872
