 	ma	mère	me	réveillait	chaque	matin	pour	aller	à	l'	école	</S>
a66	0.264012	0.283634	0.248093	0.113172	0.031412	0.0202029	0.0115192	0.0079838	0.00696209	0.00477702	0.00423119	0.00400044
a87	0.532083	0.271633	0.110664	0.025126	0.00945912	0.00815513	0.005125	0.00511062	0.00587935	0.00743169	0.00938855	0.00994461
a23	0.432665	0.26427	0.126771	0.0528003	0.0408953	0.0293722	0.0140547	0.00771829	0.00586926	0.00636287	0.00825853	0.0109627
a57	0.243038	0.154593	0.0727802	0.0356538	0.0886846	0.0727686	0.0415074	0.0366966	0.0394129	0.0486544	0.0711342	0.0950761
a53	0.235472	0.141845	0.0767273	0.0426224	0.109055	0.07724	0.040962	0.0404896	0.0441153	0.0528186	0.0626186	0.0760337
a15	0.0885404	0.0851577	0.122491	0.178456	0.17562	0.106506	0.0680014	0.0468244	0.0368281	0.0342328	0.0300961	0.0272459
a79	0.0868091	0.106861	0.197867	0.195797	0.161379	0.0790163	0.061797	0.0365084	0.0244356	0.0206777	0.016328	0.012524
a36	0.113082	0.16213	0.248001	0.172792	0.107807	0.0592258	0.0473674	0.0312513	0.0198512	0.0156169	0.0129055	0.00997144
a5	0.120513	0.150799	0.209138	0.188972	0.121293	0.0684243	0.0412238	0.0236819	0.0192267	0.0188728	0.0195083	0.0183469
a75	0.0936833	0.116516	0.17184	0.197979	0.158151	0.0904869	0.058104	0.0341266	0.023293	0.0186003	0.0189501	0.0182696
a6	0.053059	0.0775072	0.153406	0.229637	0.146006	0.0949686	0.0682789	0.0470945	0.0351995	0.03049	0.0317444	0.0326089
a0	0.0675759	0.086074	0.132863	0.208186	0.170964	0.0933739	0.0654457	0.0395842	0.028799	0.0291629	0.0360483	0.0419236
a62	0.0444403	0.0567752	0.112481	0.232977	0.19167	0.102953	0.0632542	0.0411879	0.0306175	0.0319595	0.0424331	0.0492508
a0	0.0297594	0.0435384	0.0710025	0.213845	0.246595	0.155571	0.089298	0.0441548	0.0279098	0.0240151	0.0264315	0.0278793
a75	0.0230738	0.0336795	0.0526121	0.136587	0.218355	0.176296	0.122369	0.0750909	0.05036	0.0377881	0.0366205	0.0371685
a6	0.00566748	0.00855201	0.0171266	0.0655444	0.115551	0.11607	0.106357	0.101441	0.111243	0.116245	0.118179	0.118022
a37	0.00518397	0.00765577	0.0162998	0.0874239	0.142153	0.150951	0.116271	0.10244	0.0948959	0.0873224	0.0917788	0.0976242
a75	0.0112794	0.0164051	0.0287253	0.0803537	0.13131	0.166664	0.144061	0.122429	0.0915514	0.0665686	0.0657495	0.0749037
a5	0.00218658	0.00345691	0.00731483	0.0330869	0.0663243	0.0995698	0.0910393	0.0982412	0.108492	0.131588	0.166044	0.192656
a31	0.00525989	0.00771042	0.013117	0.0290549	0.0695675	0.113186	0.127582	0.137277	0.123331	0.110043	0.120141	0.14373
a88	0.00579733	0.00860111	0.0141013	0.0230906	0.0557159	0.10225	0.131301	0.148011	0.145023	0.136664	0.116601	0.112844
a62	0.00230766	0.00394361	0.00861522	0.016457	0.0347423	0.0623541	0.0937945	0.113883	0.133454	0.177692	0.177359	0.175398
a93	0.00174796	0.00300294	0.00630738	0.0118082	0.0260122	0.0507236	0.0759915	0.0953541	0.117364	0.182245	0.210418	0.219025
a96	0.00165842	0.00288569	0.00663888	0.0114314	0.0215889	0.0381841	0.0547434	0.071163	0.0941963	0.176913	0.236934	0.283663
a70	0.00118171	0.00200333	0.00443728	0.00658861	0.0100941	0.0178003	0.0254001	0.0392915	0.0652903	0.16279	0.270409	0.394714
a50	0.000846173	0.00127677	0.00306366	0.00525565	0.00719679	0.0125324	0.0169021	0.0264948	0.0503103	0.145119	0.267004	0.463998
a88	0.00102883	0.00133296	0.0030763	0.00744496	0.00769264	0.0113884	0.0148265	0.0240183	0.0493501	0.147448	0.256037	0.476355
a90	0.000742213	0.000951131	0.00227273	0.00555756	0.00736544	0.0112328	0.0146399	0.0250002	0.0505487	0.142605	0.252199	0.486885
a5	0.000102378	0.000151956	0.000382739	0.00150217	0.00329686	0.00714138	0.00980579	0.0184614	0.0375905	0.127263	0.273641	0.520661
a37	0.000133257	0.000173829	0.000350593	0.00138289	0.00242149	0.00525027	0.00763692	0.0174058	0.0411303	0.137343	0.280412	0.506359
a5	0.000190304	0.00020139	0.000477182	0.00245028	0.00332172	0.00626267	0.00838993	0.0196583	0.0429439	0.124205	0.250926	0.540973
a18	0.00015265	0.000174117	0.000432868	0.00275704	0.00349962	0.00680339	0.0091511	0.0233635	0.0483071	0.123347	0.248941	0.53307
a27	0.000651621	0.000643045	0.00199748	0.00929336	0.00999933	0.0169213	0.0221663	0.045941	0.0599355	0.116861	0.222607	0.492983
a58	0.00535708	0.0049071	0.0135007	0.0364274	0.0300746	0.0444933	0.0562886	0.0842984	0.0791127	0.118965	0.181414	0.345161
a4	0.00413373	0.00344853	0.00808933	0.0216232	0.0205669	0.031335	0.0405893	0.0685526	0.0748245	0.124024	0.205301	0.397512
a57	0.00019897	0.000193187	0.000674632	0.00470159	0.00638346	0.0149452	0.0205773	0.0511179	0.0866061	0.160759	0.228232	0.425611
a82	0.00037535	0.000321858	0.000997255	0.00426886	0.00678117	0.0140776	0.0201629	0.0452994	0.0585937	0.11404	0.220483	0.514599
a87	0.0108635	0.00810805	0.0180675	0.0349412	0.0242174	0.0316155	0.0394673	0.0598719	0.0655923	0.108387	0.19702	0.401848
a23	0.260189	0.170198	0.127766	0.0788569	0.0299021	0.0304676	0.028373	0.0360908	0.0389969	0.0490197	0.0668433	0.0832959
a87	0.116263	0.0884711	0.0845636	0.0637136	0.0483843	0.0583012	0.0503633	0.0675762	0.0732446	0.0825761	0.115264	0.151279
</S>	0.0332382	0.0286618	0.036892	0.0499175	0.0433401	0.0504381	0.0525856	0.0742534	0.085756	0.11377	0.180965	0.250182
