 	as-tu	des	cartouches	pour	ce	fusil	</S>
a66	0.355584	0.29024	0.173258	0.0684185	0.0473646	0.0361241	0.0290107
a87	0.385536	0.250054	0.200056	0.0852523	0.0364621	0.0239677	0.0186717
a23	0.527558	0.348667	0.0986198	0.0108266	0.00533028	0.00429914	0.00469882
a87	0.646993	0.235382	0.060744	0.00960045	0.010359	0.0153185	0.0216035
a23	0.645933	0.209	0.0587113	0.0170997	0.0180595	0.0227584	0.0284378
a30	0.561328	0.181912	0.0728278	0.0381322	0.0440931	0.0491108	0.0525965
a70	0.511051	0.200501	0.102997	0.0533842	0.042968	0.0404558	0.0486428
a34	0.385111	0.332023	0.183689	0.0495087	0.0209062	0.0147999	0.0139625
a98	0.307115	0.381399	0.241086	0.039381	0.0147778	0.00916003	0.00708117
a47	0.124527	0.291546	0.360167	0.146549	0.0405749	0.0221568	0.0144787
a6	0.0636748	0.234245	0.396854	0.199471	0.0503172	0.0320471	0.0233908
a0	0.0856479	0.194501	0.344945	0.234215	0.0694039	0.0427605	0.0285277
a90	0.128514	0.182131	0.311675	0.180528	0.0746365	0.063464	0.0590512
a56	0.0832032	0.119764	0.334369	0.266998	0.0850724	0.062132	0.0484611
a98	0.0598145	0.0689317	0.193838	0.298567	0.156763	0.124299	0.0977864
a85	0.0194914	0.0231713	0.0876185	0.250473	0.235167	0.214651	0.169427
a92	0.012306	0.0214614	0.0756389	0.179178	0.223813	0.268734	0.218869
a75	0.0202155	0.0184167	0.0424929	0.215932	0.277729	0.239012	0.186202
a61	0.00625836	0.00584418	0.0161061	0.122148	0.250216	0.300676	0.298752
a21	0.00895325	0.00551769	0.00706545	0.042172	0.188697	0.340993	0.406601
a5	0.00367651	0.00228211	0.00247232	0.012737	0.10821	0.331477	0.539145
a18	0.0032771	0.00167584	0.00168043	0.00700534	0.0586657	0.273328	0.654367
a31	0.0068927	0.00621527	0.00769336	0.0171505	0.0714241	0.227045	0.663579
a88	0.00801721	0.00906358	0.0142812	0.0334595	0.108082	0.243175	0.583921
a71	0.00374367	0.00526794	0.00890001	0.02774	0.124273	0.283628	0.546447
a25	0.0325774	0.046022	0.0705776	0.0815054	0.167368	0.243467	0.358483
a87	0.216328	0.195302	0.126752	0.0739209	0.111002	0.126051	0.150644
a23	0.343685	0.344031	0.182409	0.0329733	0.0263013	0.0314612	0.0391383
a99	0.167586	0.110391	0.0562354	0.0271576	0.057087	0.201873	0.37967
a97	0.0533504	0.0336701	0.0231657	0.0292761	0.0984272	0.295794	0.466316
</S>	0.0153704	0.013513	0.0133322	0.0231039	0.0899761	0.326572	0.518132
