 	laisse	moi	tranquille	</S>
a10	0.510587	0.246372	0.170614	0.0724272
a87	0.414218	0.229316	0.230367	0.126098
a23	0.450446	0.233739	0.212578	0.103237
a24	0.462702	0.262929	0.220924	0.0534455
a41	0.508332	0.250098	0.17588	0.0656895
a35	0.371148	0.258427	0.28641	0.0840151
a75	0.358058	0.272159	0.258542	0.111241
a35	0.339992	0.262284	0.235637	0.162087
a57	0.336277	0.251071	0.223641	0.189011
a26	0.232362	0.218155	0.226454	0.323029
a24	0.15718	0.184157	0.24949	0.409174
a25	0.077873	0.110428	0.242182	0.569518
a87	0.0423515	0.056332	0.169437	0.731879
a23	0.0263037	0.0396879	0.115768	0.818241
a87	0.0872635	0.092487	0.137357	0.682893
</S>	0.135309	0.195468	0.205825	0.463398
