 	il	m'	a	bousculée	</S>
a23	0.565708	0.167178	0.0687547	0.0927331	0.105626
a85	0.541428	0.204259	0.0820039	0.0784184	0.0938907
a87	0.466276	0.212794	0.0884766	0.11523	0.117224
a23	0.522196	0.233626	0.0998553	0.0732785	0.0710437
a20	0.327495	0.191889	0.125883	0.177842	0.17689
a73	0.542987	0.236045	0.0860005	0.0602564	0.0747105
a2	0.531839	0.309633	0.101704	0.0363351	0.0204891
a11	0.322651	0.338252	0.183759	0.0918523	0.0634861
a26	0.20114	0.266801	0.217054	0.182187	0.132818
a43	0.222522	0.256939	0.213771	0.187174	0.119594
a0	0.172718	0.221397	0.205722	0.24243	0.157732
a26	0.202644	0.242437	0.223588	0.205474	0.125857
a24	0.197313	0.235739	0.245447	0.206751	0.11475
a94	0.179434	0.193105	0.2231	0.246471	0.15789
a35	0.149992	0.182759	0.224425	0.273839	0.168985
a14	0.0734254	0.0786411	0.14908	0.417492	0.281362
a30	0.0191027	0.0291008	0.0941496	0.483361	0.374286
a2	0.0144957	0.0224071	0.0697425	0.449615	0.443739
a57	0.00813216	0.012743	0.0409903	0.402854	0.53528
a87	0.0160692	0.0170653	0.0376383	0.293118	0.63611
</S>	0.0170787	0.0215071	0.0484193	0.367871	0.545124
