 	il	est	un	lecteur	à	l'	église	</S>
a66	0.526014	0.244241	0.104323	0.0528531	0.0295045	0.0223202	0.0127119	0.00803218
a87	0.474585	0.25037	0.109922	0.0488534	0.0370875	0.0278704	0.0247483	0.0265626
a23	0.534451	0.244508	0.0984126	0.0422963	0.0258862	0.0190929	0.0162082	0.0191439
a20	0.225139	0.134589	0.0980537	0.0908199	0.10909	0.109521	0.110476	0.122312
a36	0.332751	0.266661	0.143559	0.0774209	0.0541078	0.0492797	0.0388804	0.0373395
a25	0.359708	0.324984	0.194313	0.0616412	0.0251134	0.0145707	0.00981535	0.009854
a15	0.335937	0.257011	0.176479	0.117542	0.0570101	0.028966	0.0154683	0.011587
a7	0.149098	0.205542	0.199284	0.204195	0.1157	0.0596111	0.0391231	0.0274471
a98	0.157768	0.159552	0.147304	0.18641	0.153055	0.0904147	0.0633459	0.0421503
a85	0.159679	0.197608	0.1897	0.168336	0.114722	0.0749609	0.0553205	0.0396734
a92	0.120801	0.144742	0.14984	0.163273	0.155315	0.113821	0.0881374	0.0640701
a37	0.0848553	0.0901893	0.110963	0.155297	0.200048	0.1517	0.120792	0.0861553
a79	0.0358939	0.0278362	0.0458634	0.111202	0.202176	0.214401	0.208866	0.153761
a44	0.0119119	0.0111915	0.0230093	0.0712234	0.192987	0.228258	0.252788	0.208631
a21	0.00500405	0.00435103	0.00883339	0.030851	0.126404	0.205532	0.304788	0.314237
a5	0.00160617	0.00174618	0.00351653	0.00883867	0.0455547	0.119528	0.334295	0.484915
a23	0.00118616	0.00159019	0.00407261	0.008041	0.0348514	0.0922397	0.304414	0.553605
a75	0.000834195	0.00102331	0.00297088	0.00797742	0.0377441	0.0932048	0.301636	0.554609
a6	0.000403206	0.000742884	0.00217594	0.00587842	0.0279166	0.072713	0.272511	0.617659
a36	0.000558575	0.00109295	0.00297885	0.00746191	0.0349932	0.0794146	0.275126	0.598374
a26	0.00157784	0.00255613	0.00557478	0.01061	0.0457695	0.103761	0.306014	0.524137
a18	0.0257142	0.0189193	0.0200898	0.0289202	0.0948918	0.159497	0.281302	0.370666
a25	0.108301	0.0499609	0.0449846	0.0472249	0.116708	0.151473	0.20995	0.271397
a87	0.192807	0.073982	0.0565941	0.0490583	0.0981821	0.121607	0.191299	0.21647
a23	0.458767	0.196509	0.106438	0.0639289	0.0578198	0.04231	0.0400457	0.0341812
a87	0.108272	0.0565132	0.0515844	0.0491821	0.0951894	0.11811	0.209213	0.311936
</S>	0.0134459	0.00905712	0.0111712	0.0164342	0.0703131	0.122722	0.276007	0.48085
