 	appellations	pour	une	femme	</S>
a23	0.573382	0.169487	0.096531	0.0764694	0.0841299
a83	0.343543	0.180468	0.117463	0.15651	0.202016
a94	0.388552	0.303042	0.146152	0.0891034	0.0731511
a41	0.482909	0.287293	0.13013	0.0619125	0.0377556
a30	0.429183	0.302299	0.149193	0.0727225	0.0466024
a73	0.34476	0.313238	0.183778	0.0945835	0.0636404
a76	0.196777	0.258446	0.230466	0.172029	0.142282
a69	0.189529	0.238479	0.200845	0.179984	0.191163
a58	0.140208	0.18886	0.193352	0.221085	0.256495
a25	0.0777302	0.134368	0.169137	0.267298	0.351466
a87	0.0390865	0.0833472	0.10805	0.258692	0.510824
a23	0.0689245	0.0927817	0.105072	0.236123	0.497099
a87	0.0488934	0.0604739	0.0767211	0.211944	0.601968
</S>	0.0974698	0.0950674	0.111874	0.235715	0.459874
