 	je	viendrai	chez	toi	cet	après	midi	</S>
a66	0.384326	0.315821	0.108409	0.071525	0.0462999	0.0368857	0.0217702	0.014963
a87	0.130094	0.167333	0.121569	0.13449	0.148948	0.147606	0.0870993	0.0628604
a23	0.3896	0.379785	0.137563	0.0318441	0.0191108	0.014206	0.014976	0.0129154
a18	0.238042	0.342804	0.182413	0.0588315	0.04788	0.0350908	0.0425712	0.0523679
a54	0.249735	0.407075	0.100663	0.0410448	0.0412294	0.0418252	0.050962	0.0674658
a5	0.212185	0.353134	0.115143	0.0759042	0.0717144	0.0664561	0.0556999	0.0497635
a21	0.206256	0.217349	0.181067	0.11035	0.107816	0.0774205	0.0550884	0.0446533
a85	0.232262	0.260278	0.150342	0.0908679	0.101312	0.074533	0.0501873	0.0402182
a47	0.109213	0.142368	0.152246	0.167903	0.179619	0.109824	0.0749337	0.0638936
a98	0.0958255	0.109946	0.159947	0.182478	0.172966	0.108977	0.0846532	0.0852085
a85	0.0451619	0.0764707	0.162602	0.222629	0.202214	0.133697	0.0858959	0.0713291
a92	0.0344976	0.0640266	0.136324	0.198305	0.19617	0.168532	0.110685	0.0914589
a5	0.0253735	0.0556179	0.139773	0.206272	0.184788	0.177034	0.118153	0.0929887
a23	0.0227831	0.0427871	0.105843	0.162785	0.136608	0.202229	0.179532	0.147433
a85	0.00524684	0.00883264	0.0386096	0.0862543	0.0848949	0.218665	0.304109	0.253387
a47	0.0026102	0.00410318	0.0160417	0.0390548	0.0430825	0.163137	0.374301	0.35767
a36	0.00132795	0.00167343	0.00830686	0.0196706	0.0222109	0.0963413	0.372006	0.478463
a2	0.00254112	0.00164006	0.00698375	0.0163985	0.0182536	0.0765423	0.276036	0.601604
a57	0.0404891	0.0252718	0.0475069	0.0651406	0.0670972	0.112404	0.233995	0.408095
a87	0.0667326	0.0781534	0.0959832	0.110435	0.0910014	0.109974	0.183785	0.263936
a23	0.123998	0.160796	0.15934	0.110237	0.0755338	0.0852982	0.132787	0.152009
a87	0.061894	0.0760682	0.0775817	0.0706885	0.0601857	0.11384	0.246112	0.29363
a97	0.00750439	0.00978706	0.0146956	0.0295062	0.0358147	0.135682	0.356659	0.410352
</S>	0.020616	0.0201155	0.027043	0.0375973	0.0390613	0.116764	0.316375	0.422428
