 	ton	mari	est	un	grand	bucheron	</S>
a66	0.340142	0.174572	0.12383	0.140774	0.109547	0.0761331	0.0350026
a87	0.256625	0.158207	0.15756	0.135679	0.107739	0.105782	0.0784071
a23	0.451665	0.245563	0.10339	0.0570888	0.0432749	0.0544811	0.0445373
a10	0.456354	0.206776	0.0897545	0.0695173	0.0549212	0.0655539	0.0571224
a87	0.453081	0.212169	0.0895231	0.0686874	0.0610702	0.0645505	0.0509187
a23	0.459187	0.212716	0.0849404	0.070792	0.0640911	0.0635153	0.0447586
a50	0.39012	0.187923	0.0855252	0.0918934	0.0906468	0.0915406	0.0623503
a70	0.28352	0.197979	0.10252	0.117325	0.1222	0.118613	0.0578429
a93	0.341239	0.291233	0.139695	0.097669	0.0553703	0.0478521	0.0269406
a75	0.239809	0.258716	0.198867	0.134511	0.0633103	0.0540823	0.0507044
a92	0.116508	0.135418	0.155408	0.234216	0.146935	0.112243	0.0992719
a75	0.135784	0.15973	0.180613	0.216414	0.125769	0.0926532	0.089036
a92	0.13501	0.16392	0.191354	0.186394	0.127022	0.103922	0.0923769
a75	0.145016	0.159389	0.194115	0.193607	0.115939	0.0901242	0.101809
a25	0.124303	0.145973	0.191638	0.18866	0.126493	0.107397	0.115536
a69	0.0707154	0.106101	0.173893	0.204445	0.159616	0.140636	0.144595
a75	0.0413149	0.044326	0.0796454	0.161019	0.186195	0.183462	0.304038
a47	0.0217851	0.0301082	0.0630048	0.128756	0.188778	0.221936	0.345632
a0	0.00567199	0.00718601	0.0165751	0.0589347	0.147036	0.210049	0.554547
a94	0.00511475	0.00478316	0.00713848	0.0181251	0.0883444	0.160421	0.716073
a56	0.00433572	0.00401386	0.00609885	0.0158577	0.0795798	0.158229	0.731885
a75	0.00285071	0.00277581	0.00433232	0.010509	0.0571739	0.140494	0.781864
a56	0.000412459	0.000476634	0.000986784	0.00413986	0.0383498	0.121171	0.834463
a34	0.000634431	0.000594182	0.00091633	0.00279827	0.0213271	0.0748902	0.898839
a21	0.000596187	0.00060553	0.00100622	0.00314993	0.027925	0.0938145	0.872903
a12	0.00079405	0.000779025	0.00116219	0.00346084	0.0267901	0.086471	0.880543
a18	0.000455652	0.000448062	0.000699579	0.00270992	0.0215861	0.076519	0.897582
a25	0.00228786	0.0020507	0.00355975	0.0158008	0.0758727	0.200763	0.699665
a87	0.076651	0.04191	0.0429962	0.0819138	0.159824	0.242944	0.35376
a23	0.20018	0.0847982	0.045856	0.0583622	0.114253	0.180654	0.315897
a87	0.0305798	0.014153	0.00664127	0.00849905	0.0263892	0.0772709	0.836467
</S>	0.00228745	0.00148521	0.0015187	0.00324624	0.0198377	0.0782357	0.893389
