 	je	mange	de	l'	oseille	préparée	sans	assaison	nement	</S>
a87	0.361043	0.202408	0.108317	0.0797513	0.0590372	0.0616479	0.0394464	0.0293754	0.035063	0.0239105
a23	0.243016	0.114399	0.0627796	0.0458215	0.0426764	0.0671744	0.0895352	0.102765	0.108561	0.123271
a83	0.238374	0.209435	0.155702	0.117859	0.0642456	0.0563352	0.0367716	0.0285766	0.0321876	0.0605141
a75	0.301087	0.233066	0.138011	0.094298	0.0508898	0.0411928	0.0173647	0.0246135	0.0419017	0.057575
a41	0.244835	0.25009	0.202867	0.142644	0.0527616	0.03559	0.0187821	0.0181761	0.0182892	0.0159647
a12	0.15851	0.204683	0.209567	0.19682	0.0852301	0.0618088	0.029404	0.0211143	0.0179852	0.0148773
a62	0.172783	0.245502	0.240689	0.205145	0.0725262	0.0360107	0.0126201	0.0062278	0.00451337	0.00398349
a88	0.122056	0.145672	0.169268	0.188207	0.148249	0.100616	0.0473426	0.0287767	0.0236985	0.0261144
a71	0.0761169	0.0995457	0.129442	0.15898	0.177348	0.14141	0.081046	0.0535144	0.0431588	0.0394394
a38	0.0312884	0.0412962	0.0594779	0.0881983	0.159516	0.171919	0.142195	0.119287	0.103006	0.0838156
a21	0.0355206	0.0388165	0.0487747	0.0625867	0.134182	0.157044	0.162344	0.139017	0.119329	0.102386
a37	0.0600322	0.0550598	0.0574978	0.0601699	0.105494	0.166939	0.164352	0.140408	0.113815	0.0762316
a98	0.0285067	0.0252657	0.027487	0.0316493	0.0585637	0.115737	0.192487	0.179999	0.185848	0.154457
a85	0.0110764	0.00932585	0.00939256	0.0103036	0.0173052	0.0412736	0.105371	0.163069	0.268899	0.363984
a35	0.00638083	0.00488321	0.0043536	0.00424584	0.00670739	0.0186207	0.0606041	0.131314	0.30771	0.45518
a26	0.00272272	0.00202266	0.00190037	0.00196749	0.00375377	0.00909175	0.0328964	0.0982903	0.304788	0.542566
a38	0.0069966	0.00478316	0.00498396	0.00573587	0.0103981	0.016641	0.0460636	0.0838338	0.24841	0.572154
a24	0.00590477	0.00450682	0.00399123	0.00467069	0.00803815	0.0124781	0.0348409	0.0695819	0.220323	0.635664
a62	0.0043784	0.00324151	0.00304865	0.00408305	0.0077742	0.0137927	0.0410513	0.0794363	0.216568	0.626626
a41	0.00346797	0.00283558	0.00286013	0.00414865	0.00846046	0.0166762	0.0482382	0.08433	0.213504	0.615478
a36	0.00567995	0.005621	0.00548955	0.00768588	0.0136518	0.0279896	0.0655635	0.119105	0.272496	0.476718
a2	0.00716845	0.00570493	0.00422334	0.00455723	0.00721345	0.0175648	0.0497274	0.0651397	0.203231	0.63547
a57	0.0346299	0.0182223	0.010762	0.00871812	0.0098252	0.0174749	0.0354192	0.062634	0.216848	0.585466
a87	0.111245	0.0635682	0.0371052	0.0242681	0.0186328	0.0306216	0.0541411	0.100187	0.225298	0.334933
a23	0.111788	0.0656719	0.0395886	0.0254627	0.0236143	0.0413971	0.059576	0.111679	0.210615	0.310608
a97	0.00855483	0.0056162	0.00623407	0.00783831	0.017092	0.050379	0.0988321	0.194065	0.304228	0.30716
</S>	0.00551539	0.00523096	0.00634581	0.00742309	0.0144523	0.0379898	0.0670231	0.133734	0.260721	0.461565
