 	il	a	augmenté	ses	cultures	</S>
a23	0.47092	0.216764	0.141317	0.100176	0.040552	0.03027
a53	0.536157	0.250799	0.107707	0.0493168	0.029031	0.0269894
a20	0.508613	0.205209	0.0731156	0.0625634	0.0741063	0.0763927
a73	0.535266	0.29653	0.095468	0.0437345	0.0196562	0.00934542
a94	0.455647	0.355229	0.125643	0.043925	0.013585	0.00597092
a96	0.277071	0.335526	0.228304	0.103278	0.0375376	0.0182839
a70	0.238659	0.306284	0.25081	0.112425	0.0549238	0.0368982
a94	0.177577	0.255848	0.27191	0.147514	0.0849479	0.0622036
a41	0.155884	0.237831	0.296445	0.164383	0.0861397	0.0593179
a14	0.148231	0.211132	0.288961	0.180172	0.101173	0.0703303
a56	0.122676	0.160604	0.246167	0.194928	0.155699	0.119926
a43	0.13359	0.169235	0.235407	0.210186	0.137232	0.114349
a75	0.0863738	0.125048	0.191831	0.246113	0.185806	0.164828
a14	0.104332	0.113065	0.153795	0.173286	0.19817	0.257352
a73	0.080824	0.0894289	0.139759	0.209768	0.231359	0.248862
a84	0.0704378	0.0773987	0.107205	0.221267	0.25906	0.264631
a58	0.0195623	0.0285739	0.0475971	0.133494	0.322077	0.448696
a53	0.0242014	0.0280615	0.040041	0.102576	0.291207	0.513913
a4	0.0451171	0.0371529	0.0372996	0.0854131	0.251946	0.543071
a98	0.0204613	0.0190919	0.024687	0.0511799	0.223079	0.6615
a73	0.0343782	0.0329495	0.0425016	0.0923709	0.271466	0.526334
a25	0.0437664	0.042784	0.0527588	0.102091	0.255713	0.502887
a69	0.0275507	0.0267294	0.0295929	0.0750139	0.241006	0.600107
a84	0.0236169	0.0234444	0.0286921	0.067027	0.231889	0.625331
a87	0.00762182	0.00816216	0.0108187	0.0315734	0.179093	0.762731
</S>	0.0144751	0.0128419	0.0166901	0.039061	0.2419	0.675032
