 	mon	épouse	a	acheté	un	morceau	de	viande	de	boeuf	</S>
a23	0.281011	0.224575	0.150995	0.110998	0.0897951	0.0606009	0.0288152	0.0166676	0.0135141	0.0113076	0.0117213
a87	0.514573	0.229675	0.102567	0.0540666	0.0273723	0.0138857	0.0109896	0.0106799	0.0118845	0.0119828	0.012323
a23	0.142805	0.119855	0.108579	0.0976469	0.0760879	0.0649025	0.0501534	0.0477568	0.0559379	0.0905729	0.145703
a97	0.182448	0.123283	0.107082	0.0838662	0.0583338	0.0487614	0.0474706	0.0614627	0.0682854	0.102399	0.116607
a23	0.145819	0.137059	0.153052	0.13852	0.0981356	0.0574026	0.0454259	0.0481191	0.0506013	0.0634405	0.0624256
a13	0.213033	0.18428	0.17833	0.142011	0.0824298	0.0447629	0.0335394	0.0334508	0.0260895	0.032755	0.0293183
a99	0.241402	0.249615	0.181625	0.128445	0.0704999	0.031872	0.0224517	0.0193492	0.0167581	0.0169938	0.0209878
a54	0.234064	0.266519	0.201082	0.145648	0.0730856	0.0309602	0.0154626	0.00991708	0.00703877	0.00662703	0.00959581
a15	0.148786	0.192777	0.172783	0.153654	0.121909	0.0859821	0.051096	0.0299654	0.0181886	0.010476	0.0143833
a98	0.0760386	0.121204	0.131378	0.123295	0.109215	0.102814	0.0861849	0.0701603	0.0687418	0.0500399	0.0609287
a73	0.0611886	0.112693	0.140304	0.130656	0.109516	0.096528	0.0786494	0.0701825	0.074938	0.0597703	0.0655743
a75	0.0645202	0.103457	0.109324	0.104863	0.102178	0.0995339	0.0881758	0.0777853	0.0850576	0.074304	0.0908014
a41	0.0651462	0.101072	0.141915	0.135019	0.099402	0.0701378	0.0524216	0.0573157	0.082197	0.0912958	0.104078
a75	0.0468356	0.0571232	0.0819139	0.093555	0.0797476	0.0695509	0.0623759	0.0700029	0.114685	0.148971	0.175239
a56	0.0447284	0.0515139	0.0649582	0.0832622	0.0806277	0.0661238	0.0622707	0.0731344	0.118715	0.153374	0.201292
a75	0.0235925	0.0274165	0.0351712	0.0561936	0.071744	0.0654084	0.0716131	0.092116	0.15336	0.185079	0.218306
a5	0.013296	0.0136581	0.0148134	0.0200849	0.0305176	0.0359153	0.0463142	0.0711957	0.169188	0.232819	0.352198
a75	0.0164655	0.0181211	0.0193329	0.0211535	0.0230802	0.0309898	0.0470246	0.0773403	0.175772	0.226462	0.344258
a25	0.0118588	0.0113003	0.00977516	0.00902344	0.00997685	0.0151548	0.0315392	0.0613199	0.180027	0.23994	0.420085
a98	0.0160949	0.0161713	0.017822	0.0237488	0.0344445	0.0554475	0.0598038	0.0749758	0.156334	0.201062	0.344095
a85	0.00743051	0.00653516	0.00638927	0.00863343	0.0159581	0.0353901	0.0643361	0.0974423	0.187986	0.218375	0.351524
a6	0.00655634	0.00585941	0.005709	0.00766758	0.0145394	0.0305248	0.0493686	0.0797642	0.161239	0.222201	0.41657
a98	0.00331228	0.00295912	0.00308686	0.00502293	0.0115246	0.0268191	0.0563495	0.0988734	0.174654	0.222681	0.394718
a79	0.00557533	0.00497518	0.00517159	0.00731143	0.0125568	0.022812	0.0393613	0.0802022	0.156522	0.226059	0.439453
a44	0.00199986	0.00174588	0.00189409	0.00336221	0.00762954	0.0159817	0.0368302	0.0912424	0.180298	0.238828	0.420188
a26	0.000340812	0.000244416	0.00024318	0.000456665	0.001522	0.0053787	0.0177384	0.0545113	0.157291	0.287872	0.474401
a82	0.00233958	0.00124122	0.000780791	0.000951291	0.00185074	0.0038741	0.0145123	0.0434799	0.150116	0.320977	0.459878
a87	0.0835339	0.0579629	0.0317358	0.0262379	0.0272573	0.0239187	0.0341812	0.0558686	0.144294	0.218542	0.296468
a23	0.233166	0.244028	0.128893	0.090638	0.0710103	0.0500826	0.0422869	0.0372339	0.0389879	0.0305473	0.0331261
a99	0.0434611	0.0486469	0.0371584	0.0291235	0.0292325	0.0404408	0.0759562	0.103027	0.142702	0.168412	0.28184
a30	0.0170666	0.0131097	0.00957131	0.0111404	0.0195741	0.0334216	0.0611837	0.0880526	0.141077	0.202556	0.403247
</S>	0.00345467	0.00264042	0.00241588	0.00413368	0.00923915	0.0174292	0.0324013	0.0563835	0.130509	0.240825	0.500568
