 	le	héron	a	une	tête	ressortie	et	un	long	bec	</S>
a66	0.216371	0.176561	0.0660482	0.0633836	0.0974595	0.155059	0.0986319	0.0599921	0.027378	0.0202606	0.0188541
a87	0.467083	0.328084	0.061413	0.0260729	0.0199882	0.0162853	0.0160526	0.01336	0.013959	0.017372	0.020329
a23	0.574891	0.316481	0.0464276	0.0181068	0.0113102	0.0145387	0.00357745	0.00314165	0.00280895	0.00366634	0.00505032
a30	0.474413	0.261675	0.0594375	0.036978	0.0312187	0.0586475	0.0130493	0.0112584	0.0132971	0.016451	0.0235742
a18	0.452471	0.215729	0.0662733	0.0534367	0.0590321	0.0810926	0.0148268	0.0124578	0.0124493	0.0147963	0.0174343
a61	0.272282	0.237822	0.0802452	0.0836348	0.0792262	0.0878306	0.0212313	0.0280732	0.0293918	0.0359343	0.0443293
a12	0.304662	0.313226	0.179963	0.112685	0.0384896	0.0199542	0.00299823	0.00406414	0.00503401	0.00813975	0.0107846
a96	0.163648	0.207134	0.207804	0.23515	0.103186	0.0361198	0.00825308	0.00835107	0.00809504	0.00951311	0.0127468
a62	0.0911106	0.139723	0.201897	0.262258	0.159465	0.0886829	0.0177587	0.0122059	0.00868705	0.00790658	0.0103047
a31	0.0703056	0.0984928	0.159907	0.245518	0.197621	0.151275	0.0320228	0.0179599	0.0102241	0.0075109	0.00916314
a62	0.0459866	0.0585396	0.138402	0.241431	0.227699	0.177366	0.0452216	0.0238918	0.0145205	0.0120839	0.0148577
a66	0.0283544	0.0287377	0.0782496	0.191547	0.261987	0.255159	0.0751441	0.0330383	0.0176707	0.0137694	0.0163429
a44	0.0279459	0.0222301	0.0378911	0.114506	0.266354	0.284398	0.122835	0.0498326	0.0239421	0.0214455	0.0286207
a90	0.0123613	0.0130789	0.0284851	0.114322	0.265527	0.29841	0.126153	0.0560943	0.0266317	0.0265511	0.0323867
a25	0.00788647	0.00791898	0.0214579	0.0995928	0.240414	0.282399	0.148302	0.0764882	0.0379905	0.0369485	0.0406009
a92	0.00759322	0.00500554	0.0112842	0.050734	0.166921	0.242685	0.193899	0.111121	0.0673832	0.0678599	0.075514
a44	0.00654313	0.00499991	0.00934055	0.034555	0.123056	0.205747	0.206375	0.120691	0.0847144	0.0962849	0.107693
a93	0.00708534	0.00608919	0.00771804	0.0211672	0.103653	0.213751	0.231112	0.135596	0.0809455	0.09067	0.102213
a4	0.00761534	0.00563477	0.00696684	0.019307	0.0864846	0.194316	0.211527	0.160311	0.100623	0.102096	0.105118
a13	0.00725714	0.00487639	0.00623505	0.016818	0.0619279	0.146362	0.211701	0.162817	0.113636	0.125492	0.142877
a11	0.0135075	0.0101356	0.0125522	0.0309352	0.0691663	0.139702	0.246626	0.151963	0.0941309	0.0989789	0.132302
a70	0.00844469	0.00629805	0.00767078	0.0192921	0.0468756	0.0976346	0.216543	0.178442	0.125359	0.130623	0.162817
a13	0.00425965	0.00316386	0.00401837	0.0123809	0.0295862	0.052716	0.148324	0.174846	0.172166	0.189544	0.208995
a93	0.00665556	0.00564646	0.00639443	0.0147167	0.0286888	0.0486692	0.172084	0.18172	0.170397	0.172942	0.192087
a90	0.00137008	0.000823837	0.00112801	0.00302695	0.0112567	0.0269019	0.0860969	0.136202	0.178225	0.262272	0.292696
a79	0.000856064	0.000423421	0.000643069	0.00214225	0.00902493	0.0212814	0.0749385	0.125124	0.186678	0.275024	0.303865
a44	0.000805471	0.000312071	0.0005577	0.00204113	0.0102519	0.0218636	0.0776698	0.114428	0.185785	0.276778	0.309507
a98	0.000346679	0.000183836	0.00024271	0.000954456	0.00364655	0.00700316	0.0331059	0.062687	0.149412	0.328339	0.414079
a47	0.000265136	0.000123262	0.000192944	0.000708695	0.00399412	0.00687701	0.0390853	0.0606776	0.136501	0.311645	0.43993
a36	0.000576151	0.00022418	0.000333564	0.000876381	0.00396901	0.00579013	0.0365279	0.0574713	0.141152	0.330238	0.422842
a2	0.000984137	0.000576486	0.000503251	0.000806191	0.00180254	0.00217048	0.0140164	0.0319622	0.112382	0.355756	0.47904
a57	0.0336461	0.0254524	0.0229078	0.0188014	0.0133857	0.00725104	0.0338028	0.0611701	0.130618	0.267075	0.385889
a87	0.128852	0.0725568	0.0305177	0.0294355	0.024251	0.0169436	0.0605483	0.121838	0.144866	0.174853	0.195339
a23	0.191655	0.124077	0.0313814	0.0207627	0.0149205	0.0116306	0.0727419	0.138311	0.126056	0.133929	0.134535
a87	0.0803923	0.051711	0.0214821	0.0187089	0.0181705	0.0088132	0.0534071	0.121535	0.162113	0.213777	0.24989
</S>	0.0407875	0.0209479	0.00771925	0.00828665	0.0122675	0.00712726	0.0258593	0.0521345	0.127995	0.292337	0.404538
