 	la	pirogue	a	accosté	</S>
a23	0.578129	0.2149	0.0981396	0.0602156	0.0486165
a38	0.581042	0.186349	0.0844096	0.0803858	0.0678127
a14	0.444385	0.206436	0.12688	0.142269	0.0800307
a35	0.586258	0.247156	0.100174	0.0557743	0.0106376
a76	0.507001	0.307606	0.116125	0.0548464	0.0144212
a35	0.428066	0.316435	0.14097	0.075922	0.0386064
a24	0.442818	0.30737	0.13964	0.0703617	0.03981
a0	0.287392	0.271662	0.19439	0.131202	0.115354
a32	0.121548	0.198152	0.239526	0.250926	0.189848
a75	0.0782469	0.131949	0.222772	0.289283	0.27775
a41	0.0326586	0.0722931	0.171543	0.300488	0.423017
a96	0.0141654	0.0273741	0.0972819	0.30125	0.559928
a75	0.0211022	0.0330559	0.093847	0.275178	0.576817
a94	0.00568487	0.0116034	0.0652005	0.284422	0.633089
a25	0.00573423	0.0119178	0.0646321	0.297136	0.62058
a87	0.0032689	0.0101551	0.067306	0.30535	0.61392
a23	0.00913224	0.0263467	0.0972865	0.235448	0.631787
a87	0.033125	0.0518421	0.0882586	0.211067	0.615707
</S>	0.023773	0.0571515	0.13184	0.281636	0.5056
