 	nous	allons	nous	battre	sous	le	soleil	toi	et	moi	</S>
a66	0.212981	0.116322	0.0795603	0.0668657	0.0627877	0.0740085	0.0991468	0.103225	0.0868661	0.0530878	0.0451497
a87	0.207262	0.0666221	0.0381019	0.0431711	0.0855024	0.108492	0.140845	0.107744	0.0735336	0.0590877	0.0696387
a97	0.211424	0.123882	0.0948352	0.0937359	0.133429	0.115907	0.0963256	0.0569194	0.0306807	0.0209512	0.0219109
a10	0.141991	0.108911	0.101231	0.122721	0.175516	0.132997	0.0974309	0.0574285	0.0278839	0.0173947	0.0164963
a54	0.13834	0.109434	0.101886	0.135282	0.173803	0.12013	0.0885031	0.0560788	0.0305892	0.022429	0.023524
a36	0.234774	0.0728137	0.0574289	0.0706827	0.0784048	0.0596322	0.0704629	0.0650454	0.0709859	0.100896	0.118874
a79	0.342538	0.104015	0.0665032	0.0702265	0.0709575	0.0614066	0.0515069	0.0459057	0.0466435	0.0662011	0.0740961
a37	0.419814	0.128276	0.103291	0.100628	0.0867626	0.0605376	0.0318643	0.020654	0.0153686	0.0169734	0.01583
a5	0.139343	0.078208	0.105791	0.134175	0.152406	0.147422	0.0763352	0.0516008	0.0403044	0.0397717	0.0346432
a18	0.0639216	0.0515565	0.0841742	0.115204	0.171317	0.191087	0.123911	0.0750155	0.0458687	0.0408762	0.037069
a5	0.0273997	0.0263843	0.0464169	0.0720416	0.139622	0.213245	0.165272	0.106849	0.0702372	0.0637021	0.06883
a85	0.0234768	0.02356	0.0405977	0.0804298	0.148407	0.201994	0.171425	0.10824	0.0681882	0.0638709	0.0698109
a6	0.0165683	0.0231711	0.0539972	0.122646	0.126689	0.127858	0.123755	0.115713	0.101259	0.0947201	0.0936237
a36	0.011611	0.0163137	0.0368341	0.128373	0.133567	0.140792	0.136749	0.12756	0.101967	0.0868025	0.0794298
a37	0.00455923	0.00587947	0.0128483	0.054339	0.0586302	0.0707613	0.0997597	0.123401	0.161321	0.192848	0.215653
a44	0.00288027	0.00313756	0.00763909	0.0345624	0.0374823	0.0454803	0.0705766	0.108135	0.172966	0.233993	0.283147
a38	0.00140739	0.00177672	0.00520739	0.0282323	0.0332665	0.0397963	0.0584932	0.0931364	0.166832	0.242432	0.329419
a20	0.000829981	0.000817409	0.00260905	0.0191527	0.0260951	0.030289	0.0425459	0.0702733	0.13177	0.23583	0.439788
a44	0.00148795	0.00163635	0.00430382	0.0234188	0.028089	0.0305099	0.0446455	0.0792298	0.155015	0.258672	0.372992
a13	0.000829279	0.000807764	0.00198677	0.0145022	0.019866	0.0256181	0.042007	0.074487	0.139319	0.246261	0.434316
a38	0.000935914	0.000797588	0.00155935	0.00719627	0.0116288	0.0168486	0.0393819	0.080009	0.149619	0.251502	0.440522
a10	0.00149357	0.00120069	0.00211229	0.00617474	0.0102796	0.0163414	0.0454391	0.0958893	0.171352	0.256148	0.393569
a9	0.00538736	0.00497774	0.00803432	0.0142223	0.0262016	0.0379836	0.0828861	0.148715	0.188385	0.200937	0.28227
a10	0.0639966	0.0626494	0.0804829	0.134979	0.156789	0.125735	0.11265	0.0959601	0.0666296	0.0508215	0.0493065
a87	0.147287	0.0989618	0.104789	0.140997	0.142804	0.101194	0.0840349	0.0720665	0.0459675	0.0315891	0.030309
</S>	0.122388	0.0747969	0.0883598	0.117249	0.126575	0.0987613	0.080878	0.080207	0.0669525	0.0575803	0.0862515
