 	il	a	amené	son	chef	avec	lui	</S>
a23	0.289963	0.239361	0.193087	0.0553195	0.0468032	0.0427623	0.0567756	0.0759285
a87	0.162433	0.198654	0.179088	0.0952462	0.0832175	0.0847205	0.09277	0.10387
a23	0.174712	0.207956	0.199319	0.127956	0.0782491	0.0612706	0.0653167	0.0852215
a87	0.111525	0.153057	0.15182	0.105181	0.117394	0.119108	0.115333	0.126582
a23	0.155308	0.200237	0.192742	0.10891	0.0892114	0.0820556	0.0785259	0.0930111
a79	0.146016	0.177837	0.180459	0.14121	0.121766	0.0819513	0.0678928	0.0828679
a20	0.177414	0.193655	0.326704	0.154729	0.0808214	0.0343247	0.0180259	0.0143263
a44	0.202075	0.190566	0.354471	0.158215	0.0621038	0.0201405	0.0078318	0.00459568
a38	0.171624	0.167749	0.315659	0.205537	0.0902628	0.0297827	0.0121118	0.00727341
a41	0.202043	0.190144	0.258695	0.18743	0.0929674	0.0382023	0.0186037	0.0119141
a35	0.269153	0.231739	0.193882	0.141512	0.0770814	0.0442119	0.0259563	0.0164651
a76	0.198474	0.200752	0.168883	0.176532	0.111292	0.0697404	0.0447116	0.0296144
a90	0.18445	0.172663	0.155504	0.174167	0.124212	0.0827839	0.0609876	0.0452324
a25	0.158231	0.157651	0.11906	0.172904	0.152243	0.108501	0.0776921	0.053719
a53	0.0794688	0.0894732	0.0680203	0.15831	0.202675	0.17488	0.131679	0.0954932
a94	0.0808513	0.0855029	0.07252	0.140886	0.18103	0.189682	0.145789	0.103738
a98	0.0257543	0.0319686	0.0359483	0.0751256	0.133723	0.221706	0.254405	0.221369
a11	0.016363	0.0193899	0.0222587	0.0472847	0.0956374	0.198732	0.287856	0.312479
a75	0.0058674	0.00675804	0.00890259	0.0218328	0.049841	0.15727	0.326975	0.422554
a73	0.00604028	0.00651892	0.00694974	0.0184736	0.04086	0.123095	0.329562	0.4685
a69	0.00911015	0.00972045	0.00752257	0.0224684	0.0477999	0.13509	0.317746	0.450543
a20	0.00617306	0.00762254	0.00750798	0.026304	0.0503962	0.119401	0.311738	0.470857
a84	0.0172821	0.0247886	0.025863	0.0453918	0.0818894	0.125634	0.243746	0.435406
a57	0.00588598	0.00713944	0.00520312	0.0118312	0.0325631	0.0907765	0.26557	0.581031
a87	0.0338107	0.0312816	0.0191012	0.017861	0.0300033	0.0796817	0.256602	0.531658
a23	0.0723801	0.0661888	0.0669809	0.0751894	0.0864443	0.134591	0.216939	0.281287
a87	0.0945799	0.0827651	0.0543882	0.0570231	0.0706037	0.117672	0.216597	0.306371
</S>	0.0503264	0.052505	0.0285668	0.0330849	0.0536463	0.157353	0.263858	0.36066
