 	pars	d'	abord	</S>
a10	0.515621	0.285134	0.163553	0.0356918
a87	0.427715	0.29613	0.169227	0.106928
a23	0.295069	0.346209	0.25648	0.102242
a38	0.269703	0.388747	0.246766	0.0947847
a30	0.430472	0.379885	0.137752	0.0518913
a35	0.298549	0.486866	0.166911	0.047674
a66	0.348547	0.339459	0.218956	0.0930376
a75	0.28096	0.248661	0.295117	0.175262
a76	0.237486	0.245833	0.325277	0.191403
a44	0.111523	0.150234	0.452548	0.285695
a38	0.10384	0.114437	0.468585	0.313138
a76	0.0307092	0.041385	0.373983	0.553923
a73	0.0208415	0.0360217	0.328287	0.61485
a57	0.00656577	0.0195148	0.179759	0.794161
a87	0.00614416	0.0135996	0.108464	0.871793
a23	0.0485024	0.0773467	0.200893	0.673258
a87	0.0777734	0.166998	0.257199	0.49803
</S>	0.0307984	0.100304	0.315181	0.553717
