 	j'	arrache	la	pointe	de	la	planche	</S>
a23	0.360603	0.295646	0.171216	0.0910362	0.0362667	0.021858	0.0111702	0.012204
a83	0.407841	0.141503	0.0805967	0.0741257	0.0727606	0.104426	0.0679655	0.0507817
a75	0.233336	0.16696	0.128582	0.0881192	0.0822914	0.0892628	0.110471	0.100979
a6	0.237227	0.167099	0.142168	0.119979	0.123099	0.0933519	0.0767045	0.0403723
a5	0.154455	0.123991	0.136729	0.153027	0.162043	0.134382	0.0799461	0.0554271
a61	0.148701	0.111695	0.12852	0.148762	0.173759	0.160386	0.0781591	0.0500166
a62	0.122526	0.112128	0.134597	0.119985	0.123671	0.16205	0.143918	0.0811246
a88	0.119646	0.122321	0.153799	0.128129	0.120082	0.144241	0.129225	0.0825571
a62	0.0748573	0.108863	0.138874	0.119793	0.105923	0.139904	0.173284	0.138501
a21	0.0750971	0.101649	0.137384	0.11327	0.121347	0.175378	0.157775	0.118101
a5	0.117561	0.141235	0.143779	0.0820999	0.0857254	0.123429	0.14962	0.15655
a27	0.0627093	0.0839448	0.0985307	0.0602848	0.0686688	0.10886	0.202785	0.314216
a38	0.0242195	0.0376087	0.0370457	0.0270944	0.0296046	0.0630356	0.30483	0.476561
a21	0.00739597	0.014229	0.0138788	0.00963839	0.0147273	0.0359938	0.287667	0.61647
a47	0.00857787	0.0124205	0.0122617	0.0103354	0.0179268	0.0430451	0.238896	0.656536
a43	0.00369928	0.00582286	0.0059216	0.00568628	0.0120383	0.0486178	0.325677	0.592537
a62	0.00109435	0.00176165	0.00154327	0.00141299	0.00409323	0.0232686	0.279063	0.687763
a83	0.00113844	0.00164056	0.00188852	0.00217616	0.00569365	0.0271532	0.292232	0.668077
a75	0.00148727	0.00218921	0.00225434	0.00230559	0.00632676	0.0249391	0.271349	0.689149
a21	0.000915079	0.000942152	0.000989537	0.00114807	0.00339987	0.0217116	0.275308	0.695586
a5	0.00146133	0.00193131	0.00211426	0.00237899	0.00687315	0.0289826	0.252846	0.703412
a36	0.00240317	0.00267252	0.00248941	0.00232263	0.00507878	0.0193721	0.213581	0.75208
a27	0.00303821	0.00413957	0.00481252	0.00478428	0.0131949	0.0410413	0.289298	0.639692
a10	0.0539494	0.0374871	0.0292027	0.0295734	0.0615389	0.119478	0.263742	0.405029
a87	0.170345	0.11501	0.0856106	0.0979073	0.130064	0.137117	0.120229	0.143718
a23	0.216547	0.166414	0.124327	0.0981018	0.0854864	0.0912598	0.10957	0.108293
a87	0.0490523	0.0361913	0.0280988	0.0294294	0.0487765	0.104993	0.309587	0.393872
a23	0.0167146	0.0122173	0.00978743	0.0147619	0.0424236	0.0953904	0.278047	0.530658
</S>	0.00682936	0.00634558	0.0066597	0.0106917	0.0339887	0.093702	0.259642	0.582141
