 	c'	est	ma	fille	aînée	</S>
a23	0.364834	0.237568	0.115317	0.0776545	0.1073	0.097326
a10	0.172118	0.130542	0.101768	0.12067	0.189558	0.285343
a87	0.265465	0.190552	0.10359	0.0888416	0.134496	0.217055
a79	0.22554	0.188733	0.125109	0.126321	0.163074	0.171223
a41	0.446803	0.290139	0.0989061	0.0440429	0.0554734	0.0646351
a32	0.566497	0.282953	0.0809803	0.0402532	0.0193023	0.0100143
a24	0.482503	0.304923	0.111255	0.0569573	0.028891	0.0154706
a35	0.412391	0.305461	0.145003	0.0839414	0.0362605	0.0169427
a30	0.299913	0.28824	0.194231	0.125725	0.0618225	0.0300676
a35	0.231525	0.255775	0.222354	0.154387	0.0829478	0.0530107
a14	0.199736	0.213315	0.218636	0.17795	0.113451	0.0769123
a35	0.186734	0.223516	0.227389	0.167643	0.123722	0.0709968
a14	0.127441	0.148004	0.205548	0.208305	0.185905	0.124797
a41	0.106554	0.13628	0.198439	0.211421	0.208035	0.139271
a76	0.0558193	0.0752628	0.129612	0.194377	0.278844	0.266084
a35	0.0928712	0.104313	0.139306	0.195933	0.249231	0.218345
a94	0.0551578	0.0684266	0.111033	0.167616	0.291488	0.306279
a90	0.0255345	0.0316586	0.0570883	0.10811	0.321905	0.455703
a9	0.0245411	0.0322721	0.0614461	0.115748	0.324486	0.441507
a87	0.00804201	0.0101268	0.0270279	0.0817184	0.27136	0.601724
a23	0.0179655	0.0232729	0.042199	0.0756464	0.2112	0.629716
a10	0.0120703	0.0243508	0.050313	0.0853093	0.246912	0.581044
a50	0.0083123	0.0189625	0.0482996	0.0898924	0.243757	0.590776
a24	0.0168874	0.0214001	0.036015	0.092777	0.314341	0.51858
a41	0.01164	0.0169731	0.0321348	0.0842991	0.270332	0.584621
a44	0.00279309	0.00525024	0.0155246	0.0510127	0.242136	0.683283
a53	0.00411143	0.00732721	0.0180261	0.0467504	0.208121	0.715663
a90	0.00469721	0.00749255	0.0177115	0.0450522	0.214199	0.710847
a98	0.00658407	0.00823392	0.0164173	0.0408878	0.198785	0.729092
a0	0.00423104	0.00590408	0.0152329	0.0419656	0.185581	0.747085
a32	0.00325681	0.00567606	0.018317	0.0536145	0.214632	0.704504
a90	0.00792382	0.0144757	0.0299454	0.0560765	0.208957	0.682621
a9	0.00727895	0.0118802	0.0220402	0.0542412	0.213496	0.691064
a87	0.00832	0.0160654	0.0364578	0.0659581	0.232096	0.641103
a23	0.0344324	0.0479477	0.0701717	0.0778148	0.212516	0.557117
a87	0.0892147	0.0897445	0.0950667	0.0804334	0.181345	0.464196
</S>	0.0545898	0.077339	0.0902332	0.066805	0.200766	0.510267
