 	il	nous	a	lancé	des	pierres	</S>
a66	0.387686	0.331304	0.204932	0.0604259	0.00918817	0.00349947	0.00296458
a87	0.398767	0.321261	0.171895	0.0590215	0.0227903	0.0133658	0.0128992
a23	0.460648	0.288477	0.159303	0.0550429	0.0165701	0.00997129	0.00998692
a53	0.380263	0.263363	0.152656	0.0682238	0.0280289	0.0337153	0.0737507
a15	0.371446	0.321183	0.197247	0.0612656	0.018219	0.0155195	0.0151194
a79	0.147934	0.207525	0.264028	0.213294	0.078671	0.0540438	0.0345049
a47	0.0742388	0.112597	0.215503	0.260335	0.160371	0.130346	0.0466083
a92	0.0684683	0.0919411	0.127647	0.178957	0.215584	0.223564	0.0938388
a37	0.0848495	0.0995911	0.154479	0.222219	0.188661	0.168707	0.0814937
a61	0.134536	0.115311	0.108839	0.154201	0.149857	0.181478	0.155778
a0	0.0840796	0.0565758	0.0482733	0.0825173	0.142118	0.26573	0.320707
a75	0.0287224	0.0200653	0.0153207	0.0255123	0.0806585	0.31496	0.51476
a85	0.0107068	0.00703967	0.00758303	0.0247709	0.0895669	0.266863	0.59347
a47	0.00403743	0.0023151	0.00276356	0.0104568	0.0558066	0.271537	0.653084
a36	0.00215112	0.0011299	0.00137725	0.00551377	0.0444966	0.264063	0.681269
a37	0.0258725	0.0171025	0.0209666	0.0325457	0.0711826	0.239835	0.592495
a66	0.016406	0.0114081	0.0151367	0.0360135	0.109579	0.267556	0.543901
a9	0.0161483	0.01438	0.0193525	0.0378912	0.0939887	0.266538	0.551702
a87	0.26287	0.172558	0.112315	0.0832927	0.0716523	0.119182	0.178129
a23	0.443382	0.251906	0.144869	0.0698047	0.0331815	0.0290604	0.0277956
a87	0.302543	0.202419	0.12943	0.0655393	0.0593384	0.107945	0.132784
a23	0.111781	0.0808004	0.0655056	0.0539051	0.102278	0.231408	0.354322
a87	0.196143	0.114631	0.0924555	0.0684386	0.0913954	0.175847	0.26109
</S>	0.0795959	0.0545282	0.0494148	0.053854	0.1281	0.262585	0.371922
