 	les	chauves-	souris	ne	sortent	pas	le	jour	</S>
a66	0.281161	0.119677	0.0934724	0.0988828	0.123551	0.137943	0.0848736	0.039213	0.0212264
a10	0.120893	0.105238	0.0895018	0.114297	0.158193	0.152501	0.097237	0.0800025	0.0821369
a87	0.236702	0.20036	0.2491	0.141995	0.100167	0.0320486	0.0156663	0.0119524	0.0120092
a23	0.263338	0.212329	0.234238	0.12894	0.0917348	0.034209	0.0158175	0.010103	0.00928993
a99	0.276774	0.22233	0.225863	0.123567	0.0845296	0.0237288	0.0146608	0.0127257	0.0158215
a20	0.335532	0.159346	0.150013	0.0865216	0.0840796	0.0442213	0.0426257	0.0478406	0.0498202
a44	0.335911	0.163061	0.162035	0.101871	0.10352	0.0525259	0.0356612	0.0260727	0.0193433
a4	0.233157	0.185041	0.200355	0.104275	0.0937425	0.065742	0.0527368	0.0379624	0.0269879
a11	0.110777	0.155004	0.250657	0.143633	0.115444	0.0773031	0.0600459	0.047369	0.0397672
a47	0.091079	0.148925	0.258786	0.163555	0.122147	0.0675687	0.0508295	0.0480861	0.0490242
a96	0.0848366	0.124732	0.218074	0.191436	0.167506	0.0776481	0.0482065	0.0422418	0.0453192
a88	0.0819884	0.152688	0.200184	0.168367	0.151146	0.0895931	0.0538936	0.0483643	0.0537757
a18	0.0629862	0.13047	0.129325	0.156902	0.148699	0.117639	0.0777913	0.0766499	0.0995369
a88	0.0378417	0.0767421	0.08435	0.157694	0.176378	0.154822	0.108524	0.093455	0.110193
a75	0.0326297	0.0594872	0.0633146	0.12826	0.164499	0.185226	0.135335	0.11017	0.121079
a79	0.0228931	0.0345069	0.02753	0.0478905	0.0745797	0.136567	0.176259	0.218007	0.261767
a44	0.0164	0.0222181	0.01595	0.0286201	0.0471131	0.121087	0.210196	0.258403	0.280013
a11	0.012033	0.0175103	0.0147626	0.0256039	0.0421935	0.108458	0.202858	0.26584	0.31074
a13	0.00608222	0.00900896	0.00901351	0.0157853	0.0249717	0.0747897	0.174264	0.290632	0.395453
a38	0.00420101	0.00510582	0.00655843	0.0109898	0.0156944	0.0435112	0.120997	0.267929	0.525013
a53	0.0016731	0.00217266	0.0024556	0.00513296	0.00842188	0.0318932	0.11889	0.28915	0.540212
a20	0.000831079	0.000967632	0.000895388	0.00238724	0.00478041	0.0229785	0.103556	0.298782	0.564821
a7	0.000350617	0.000614974	0.000455764	0.00109366	0.00170327	0.00775945	0.0490846	0.227193	0.711744
a2	0.000583281	0.00073113	0.000521946	0.000873856	0.00129026	0.00621743	0.0403891	0.21017	0.739223
a57	0.0386844	0.0349561	0.0233146	0.0207883	0.0228788	0.0521428	0.132419	0.251777	0.42304
a87	0.188469	0.143108	0.0645446	0.0449328	0.0421505	0.0635157	0.109929	0.153854	0.189497
</S>	0.268766	0.210337	0.0885189	0.0453818	0.0403843	0.053038	0.0799195	0.0983264	0.115328
