 	les	militaires	ont	encerclé	la	maison	qui	abrite	le	voleur	</S>
a10	0.191967	0.203305	0.128322	0.139118	0.0907375	0.0825477	0.110126	0.0327249	0.0113455	0.00543192	0.00437463
a87	0.144997	0.0438944	0.0191107	0.0518158	0.0713994	0.122006	0.20563	0.143276	0.0778611	0.0570547	0.0629552
a40	0.140011	0.145004	0.0713608	0.060461	0.0514186	0.0897965	0.174594	0.110827	0.0666676	0.0435894	0.0462686
a47	0.327892	0.251002	0.103539	0.0351322	0.0209946	0.0299425	0.0536398	0.0478685	0.0415315	0.0399566	0.0485003
a37	0.318523	0.283179	0.103908	0.0623092	0.0305123	0.0402714	0.046771	0.0375483	0.0279011	0.0278365	0.0212405
a90	0.289679	0.269691	0.137199	0.0828597	0.0343682	0.04428	0.045418	0.0367811	0.0229396	0.0186195	0.0181652
a98	0.300254	0.288213	0.140575	0.0871146	0.0354033	0.0369795	0.0425516	0.0300426	0.0155094	0.0118334	0.011524
a92	0.228938	0.215895	0.173819	0.122914	0.0582079	0.0548934	0.0526961	0.0400139	0.017115	0.0160778	0.0194298
a85	0.241827	0.249128	0.19215	0.124625	0.0501025	0.0434949	0.0446976	0.0248186	0.00987631	0.00826612	0.0110139
a37	0.205089	0.221077	0.183961	0.11106	0.0593081	0.0490415	0.0454969	0.033494	0.0230836	0.0295884	0.0388005
a70	0.116956	0.174327	0.233259	0.18086	0.0837285	0.0714895	0.063295	0.0357297	0.0124735	0.0108653	0.0170163
a34	0.079707	0.130327	0.222905	0.188368	0.0930509	0.0883652	0.0776652	0.0487971	0.0208001	0.0198434	0.0301713
a83	0.0669613	0.115126	0.19897	0.178606	0.0918997	0.0926814	0.0887894	0.0717833	0.0310726	0.025905	0.0382058
a38	0.0519702	0.085525	0.192859	0.1852	0.0931634	0.0934832	0.0918919	0.0898032	0.0388195	0.0308899	0.046395
a62	0.0327042	0.0535098	0.170251	0.188764	0.10586	0.110228	0.107875	0.0956809	0.0400597	0.0370535	0.0580137
a88	0.0259011	0.0328115	0.139219	0.184	0.118249	0.129014	0.124418	0.110886	0.0452347	0.0381108	0.0521557
a61	0.0176916	0.0211165	0.114631	0.176556	0.127993	0.147121	0.131213	0.103275	0.0405021	0.0438116	0.076089
a0	0.0219404	0.0321286	0.115258	0.160084	0.114332	0.116764	0.120645	0.138477	0.0710345	0.0487592	0.0605779
a75	0.0133531	0.0125015	0.0667434	0.134381	0.121187	0.133525	0.127127	0.136793	0.0803151	0.0740368	0.100037
a5	0.0243813	0.0317786	0.080347	0.0938097	0.0770488	0.0816765	0.0768758	0.121728	0.0934591	0.132153	0.186742
a96	0.0229848	0.0266185	0.0667774	0.0849641	0.0852032	0.0937699	0.0958493	0.167156	0.122483	0.105914	0.128281
a21	0.0132176	0.0127176	0.0478709	0.0781578	0.0809307	0.101953	0.0997124	0.190728	0.122957	0.109075	0.142681
a47	0.0172689	0.0191327	0.0455584	0.0626811	0.0745076	0.0877648	0.0930821	0.161403	0.131748	0.136789	0.170065
a21	0.0122114	0.0116315	0.0441321	0.074684	0.0777104	0.0862187	0.0869001	0.136504	0.130618	0.15147	0.18792
a62	0.00798701	0.00803178	0.026656	0.0449495	0.056512	0.0703388	0.0725921	0.144057	0.154707	0.183533	0.230636
a88	0.0062144	0.00536763	0.0213431	0.0458675	0.0549284	0.0720237	0.0689216	0.154229	0.146221	0.189002	0.235882
a62	0.00151887	0.00152227	0.00664601	0.0200111	0.0258034	0.0358295	0.0291396	0.0818841	0.108497	0.261477	0.427672
a96	0.00105622	0.00106568	0.00454965	0.0163499	0.0212192	0.0290942	0.0239289	0.0673089	0.100679	0.272133	0.462616
a61	0.000635488	0.000761076	0.0026229	0.00860023	0.011706	0.0181747	0.0162524	0.0492673	0.0916762	0.267007	0.533296
a0	0.000440492	0.000507459	0.00191719	0.00705037	0.0104448	0.0165695	0.0156324	0.0471284	0.096597	0.269929	0.533783
a75	0.000401649	0.000591063	0.0013467	0.00402752	0.00613044	0.00985073	0.0100308	0.0315415	0.0659175	0.235425	0.634737
a94	0.000328479	0.000588327	0.00180297	0.00377155	0.0054289	0.00829007	0.0102029	0.039002	0.0842072	0.277689	0.568688
a4	0.000210228	0.00036704	0.000941928	0.00277168	0.0043682	0.00824833	0.00912686	0.0370451	0.0754601	0.232671	0.62879
a13	0.000159258	0.000284928	0.000815202	0.00240023	0.00388856	0.0073578	0.00846818	0.0338815	0.0766843	0.229338	0.636722
a9	0.000145589	0.000311176	0.000689155	0.00150271	0.00323065	0.00663555	0.0078763	0.0293139	0.0531292	0.20141	0.695756
a87	0.00126039	0.00221608	0.00335465	0.00392259	0.0155306	0.0258781	0.0285654	0.0683044	0.0701566	0.213595	0.567216
a23	0.0183041	0.013951	0.0127826	0.0313313	0.088574	0.126173	0.142513	0.159536	0.117496	0.125524	0.163815
a87	0.00931974	0.00398962	0.00380567	0.0127674	0.036986	0.0493467	0.0575034	0.0972773	0.152007	0.252008	0.324989
a23	0.00415795	0.00301042	0.00290463	0.0110939	0.0289926	0.0370033	0.0446146	0.071118	0.109723	0.231336	0.456046
a97	0.00533614	0.00291131	0.00311405	0.0128538	0.0313936	0.0450875	0.0476917	0.0882709	0.142272	0.247874	0.373194
</S>	0.00361539	0.00322292	0.00511608	0.0174829	0.0368779	0.0448478	0.0485416	0.0695865	0.121278	0.247791	0.401639
