 	la	piste	est	bourbeuse	</S>
a23	0.370521	0.288439	0.151468	0.0947744	0.094798
a53	0.498273	0.213449	0.119207	0.0981891	0.0708814
a76	0.36669	0.205944	0.17095	0.127253	0.129162
a73	0.459922	0.246222	0.129006	0.0859261	0.078924
a84	0.494661	0.271832	0.10695	0.0714923	0.0550656
a40	0.411694	0.288791	0.142737	0.0843897	0.0723877
a30	0.289079	0.272988	0.181392	0.133815	0.122725
a14	0.359636	0.26627	0.147696	0.119127	0.10727
a2	0.384468	0.254651	0.146809	0.110632	0.103441
a26	0.151755	0.182901	0.197215	0.218291	0.249838
a35	0.160957	0.195814	0.199785	0.202182	0.241261
a76	0.0965966	0.122522	0.160307	0.253449	0.367125
a94	0.0353173	0.0590013	0.134117	0.29444	0.477125
a26	0.024283	0.0378007	0.0925902	0.275902	0.569424
a62	0.0178237	0.0289321	0.0718151	0.232937	0.648492
a98	0.0289182	0.0430527	0.097716	0.258648	0.571665
a75	0.0156082	0.0289637	0.0833349	0.247014	0.625079
a30	0.0133991	0.0228308	0.0745193	0.248435	0.640816
a2	0.0321957	0.0469538	0.101058	0.247903	0.571889
a57	0.0464978	0.0569852	0.114925	0.241837	0.539755
a87	0.0849322	0.118947	0.149197	0.265153	0.381771
</S>	0.0402005	0.0742482	0.157986	0.313468	0.414097
