 	n'	as-tu	pas	trouvé	un	emploi	depuis	que	tu	es	parti	en	ville	</S>
a66	0.114788	0.092582	0.122006	0.118626	0.138057	0.124947	0.107501	0.070701	0.0400163	0.0235684	0.0142191	0.0110487	0.0107593	0.0111799
a87	0.239464	0.157868	0.0984127	0.0684486	0.069147	0.0766947	0.0628415	0.0435725	0.032266	0.0285241	0.0232828	0.0253497	0.0337995	0.0403286
a23	0.41522	0.222716	0.119876	0.0657617	0.0469529	0.0197964	0.0118682	0.0099578	0.00883633	0.00869134	0.00830034	0.00899629	0.0168577	0.0361695
a62	0.382771	0.218546	0.0818086	0.0493996	0.043953	0.0316786	0.00999443	0.00741061	0.00627836	0.00618301	0.0067395	0.012612	0.0354163	0.107209
a88	0.319929	0.207887	0.114595	0.068511	0.0755579	0.0467907	0.0250648	0.0180883	0.0154106	0.0150091	0.0154069	0.0192275	0.0211077	0.0374137
a71	0.367994	0.220534	0.118374	0.0802039	0.0923874	0.0324826	0.016515	0.0105154	0.00982311	0.00933166	0.00967933	0.00935752	0.00945724	0.0133451
a62	0.195926	0.197778	0.150804	0.121799	0.100509	0.0480233	0.0234608	0.018013	0.0170595	0.0169441	0.0203498	0.0230223	0.0264162	0.0398946
a47	0.167756	0.180982	0.162605	0.150236	0.127278	0.0861641	0.0283286	0.0159038	0.0120962	0.0107549	0.0128789	0.0132242	0.0123099	0.0194818
a21	0.204194	0.19028	0.147847	0.123077	0.118281	0.0949261	0.0287527	0.0159893	0.0119071	0.0102475	0.011422	0.0124206	0.0116058	0.0190497
a85	0.10644	0.128237	0.133722	0.136586	0.164568	0.160579	0.0556692	0.0283821	0.0171213	0.0117834	0.0117111	0.0123106	0.0120979	0.0207931
a6	0.0488253	0.066816	0.0704696	0.0947628	0.139023	0.202516	0.108364	0.0758688	0.0432637	0.0259301	0.0222241	0.0264811	0.0297473	0.0457081
a92	0.0626015	0.0757331	0.0967202	0.120316	0.163658	0.15544	0.101359	0.0606181	0.0329402	0.0220783	0.0193477	0.0232374	0.0277736	0.0381766
a37	0.0307817	0.0454599	0.0799737	0.12385	0.17084	0.177955	0.113386	0.0732283	0.0404892	0.027937	0.0232672	0.0258779	0.0281314	0.0388227
a21	0.0227321	0.0313714	0.0661893	0.11854	0.169647	0.207031	0.135313	0.0793823	0.0396936	0.0257227	0.0197826	0.0212006	0.0263172	0.0370776
a12	0.0122864	0.0163926	0.0409221	0.103305	0.174326	0.226222	0.149195	0.0883486	0.0423218	0.027524	0.0211172	0.0230328	0.0312121	0.0437938
a96	0.00935357	0.0111752	0.0238019	0.0624604	0.129844	0.218046	0.17943	0.118268	0.0558394	0.0338619	0.0249263	0.028297	0.04181	0.0628854
a75	0.0107399	0.0120917	0.02368	0.0527245	0.11202	0.189499	0.174911	0.124804	0.0614368	0.0385078	0.0274727	0.0331346	0.0537083	0.0852689
a92	0.0047963	0.00482281	0.00872567	0.0228522	0.049543	0.0989719	0.10795	0.124111	0.0807002	0.0642309	0.0631526	0.0790269	0.120748	0.170368
a37	0.00422326	0.00422037	0.00806669	0.0221183	0.0492819	0.0787276	0.114779	0.138528	0.0985816	0.0814835	0.0788005	0.0848562	0.104256	0.132077
