 	une	femme	paresseuse	est	réduite	à	la	mendicité	</S>
a66	0.205474	0.16891	0.133608	0.112627	0.112176	0.0935906	0.110137	0.0443674	0.0191114
a87	0.126773	0.106098	0.0968577	0.112909	0.172389	0.190788	0.128315	0.0453362	0.0205347
a23	0.325486	0.263868	0.179443	0.0807183	0.0622018	0.0247244	0.0223817	0.0234407	0.0177361
a30	0.224993	0.194869	0.220182	0.161919	0.132272	0.0298645	0.0113078	0.0124485	0.0121444
a70	0.229422	0.198394	0.202562	0.149622	0.0963193	0.0451357	0.0240268	0.0250019	0.0295166
a34	0.212104	0.224832	0.207111	0.139518	0.0896103	0.0447109	0.0370439	0.0257746	0.0192961
a21	0.173431	0.183335	0.207627	0.181791	0.11794	0.05546	0.0395773	0.0244481	0.0163896
a5	0.151815	0.1544	0.199339	0.192924	0.148035	0.0673604	0.0440878	0.0245893	0.0174496
a37	0.14331	0.138609	0.190647	0.196808	0.172557	0.069658	0.040612	0.0264822	0.0213172
a90	0.13094	0.130429	0.173559	0.187259	0.178083	0.0868742	0.0539291	0.0316113	0.0273152
a25	0.102126	0.0984892	0.132449	0.15429	0.172408	0.141744	0.101634	0.0471782	0.0496835
a69	0.0704343	0.0685298	0.0877285	0.103199	0.129736	0.163178	0.149075	0.100541	0.127578
a58	0.0676952	0.07123	0.105042	0.116034	0.148062	0.153163	0.118951	0.084344	0.135479
a82	0.104081	0.0824806	0.0810064	0.08933	0.109346	0.127754	0.105386	0.121785	0.178832
a87	0.107681	0.0870414	0.0788906	0.0686338	0.0970905	0.115	0.123055	0.177369	0.145239
a23	0.0695024	0.0575079	0.0498353	0.041499	0.0544122	0.0836358	0.119151	0.269299	0.255157
a18	0.0695182	0.0521074	0.051501	0.0512057	0.0752286	0.120225	0.160162	0.219602	0.200449
a0	0.00870292	0.00690242	0.00864061	0.0144081	0.0235816	0.0526893	0.178838	0.403522	0.302715
a75	0.00830505	0.00691414	0.00956527	0.0145661	0.025267	0.0431665	0.140232	0.380658	0.371326
a85	0.00666017	0.00554108	0.00533178	0.00624046	0.00884853	0.0226473	0.139775	0.426216	0.37874
a21	0.0143777	0.0142814	0.0133492	0.0143718	0.0182489	0.0359939	0.10864	0.361778	0.418958
a5	0.00901925	0.00768096	0.00896158	0.00885855	0.0125631	0.0221929	0.119428	0.394275	0.417021
a18	0.00707387	0.00576848	0.00616919	0.00569268	0.00812524	0.0133975	0.0743838	0.339361	0.540028
a21	0.00396482	0.00279143	0.0021475	0.00166962	0.00262535	0.00501064	0.0215688	0.173098	0.787124
a61	0.00388229	0.00315309	0.00298057	0.00253991	0.00373333	0.00689801	0.0384302	0.269238	0.669144
a12	0.00248992	0.00185257	0.00143312	0.00113622	0.00190762	0.00432692	0.0217971	0.198148	0.766908
a18	0.00268968	0.00218124	0.00159709	0.00118145	0.00184908	0.00379262	0.0184118	0.175036	0.793261
a25	0.0141205	0.0126579	0.0105533	0.0068929	0.00771925	0.0125534	0.0319198	0.175532	0.728051
a10	0.111158	0.0850386	0.0549305	0.0325171	0.0383529	0.0494136	0.0770107	0.167307	0.384272
a87	0.256972	0.169566	0.112333	0.0570524	0.0782815	0.0539914	0.054775	0.0826321	0.134396
a23	0.24722	0.176997	0.132873	0.0761295	0.0937829	0.0517587	0.0487217	0.0672993	0.105218
a87	0.237223	0.186227	0.102722	0.0444549	0.0546324	0.0364619	0.0339656	0.0691263	0.235186
a10	0.0780554	0.0605729	0.0345548	0.0137875	0.0177757	0.0184738	0.0372493	0.170238	0.569293
</S>	0.108519	0.0820964	0.0472006	0.0230774	0.0297336	0.0323392	0.0563251	0.167873	0.452836
