 	ce	que	tu	cachais	sous	la	table	est	découvert	</S>
a66	0.200968	0.167803	0.146017	0.109977	0.135673	0.128403	0.0620322	0.0214003	0.0157817	0.0119449
a87	0.319947	0.21065	0.143139	0.0582334	0.0575792	0.073848	0.0577634	0.0369172	0.0253137	0.0166091
a23	0.442801	0.24361	0.115149	0.0345356	0.031715	0.0395119	0.0359589	0.0246631	0.0179196	0.0141355
a99	0.254115	0.168475	0.114474	0.0853003	0.0527303	0.0625488	0.0724287	0.063468	0.0661421	0.0603175
a62	0.184174	0.149215	0.141544	0.0670006	0.0516731	0.0616315	0.0797207	0.0968642	0.0887987	0.0793781
a12	0.269072	0.247074	0.191226	0.0511378	0.0383884	0.0357155	0.0394792	0.0523519	0.0479853	0.0275701
a5	0.261032	0.247197	0.222341	0.0495646	0.0386008	0.0341685	0.0380914	0.0485067	0.0439312	0.0165668
a18	0.16219	0.171917	0.205907	0.0890645	0.0694233	0.0601104	0.063169	0.065697	0.0779747	0.0345473
a61	0.139145	0.15052	0.182208	0.150655	0.0906177	0.0693483	0.0647055	0.0526451	0.0615041	0.0386501
a62	0.130139	0.142381	0.165185	0.181946	0.100472	0.070495	0.0587966	0.0451729	0.0586714	0.0467408
a47	0.105432	0.120699	0.15161	0.231314	0.129014	0.0837331	0.0567492	0.0369959	0.0452602	0.0391935
a61	0.0798542	0.0909486	0.115423	0.275576	0.166554	0.109116	0.0649319	0.0366584	0.0326287	0.0283103
a31	0.0670181	0.081525	0.111732	0.277943	0.19368	0.11859	0.0593108	0.031275	0.0316015	0.0273247
a0	0.0475819	0.0616594	0.0937052	0.302604	0.2068	0.12883	0.0625837	0.0315369	0.0333384	0.0313608
a62	0.0344053	0.0425094	0.0673916	0.303386	0.210277	0.137052	0.0702069	0.038128	0.0490104	0.0476334
a34	0.0258263	0.0317598	0.0506471	0.254294	0.206082	0.154737	0.0938015	0.0520434	0.0695583	0.0612504
a70	0.0174803	0.0242075	0.0384572	0.245146	0.22749	0.177433	0.10428	0.0519739	0.0588841	0.0546484
a0	0.0142838	0.018008	0.025766	0.184337	0.202749	0.178077	0.122189	0.0697181	0.0921964	0.0926753
a21	0.0150013	0.0169107	0.0224272	0.15463	0.18353	0.164101	0.118716	0.0786723	0.120142	0.12587
a5	0.0100181	0.0125075	0.0181465	0.135531	0.17694	0.15747	0.118038	0.0868272	0.116038	0.168484
a12	0.00744423	0.00897413	0.0126607	0.0981306	0.146415	0.131029	0.105004	0.0914436	0.136294	0.262605
a31	0.00771591	0.0091217	0.0126585	0.0820393	0.109623	0.104925	0.101726	0.111473	0.168576	0.292141
a0	0.00667178	0.00747766	0.00951045	0.0565994	0.0759484	0.0775136	0.0872771	0.11825	0.233352	0.3274
a31	0.00643585	0.00589848	0.00700242	0.0349782	0.0531407	0.0659965	0.0939788	0.138699	0.239541	0.354329
a88	0.00225102	0.00269306	0.00381943	0.0291562	0.0433843	0.0496341	0.0652785	0.123444	0.252332	0.428008
a31	0.00151855	0.00180846	0.0025519	0.0195091	0.0268799	0.0333877	0.0503292	0.102318	0.233189	0.528508
a62	0.0014573	0.00160779	0.00219876	0.0148053	0.0220116	0.028792	0.0479712	0.109131	0.23841	0.533614
a88	0.00134491	0.00171632	0.00263575	0.0175908	0.0237912	0.0289163	0.0432819	0.106836	0.221439	0.552448
a66	0.00109581	0.00123467	0.00167444	0.0091188	0.0139029	0.0179937	0.032096	0.0871503	0.200195	0.635539
a70	0.00919389	0.00788555	0.00787668	0.0138123	0.02014	0.0263839	0.046222	0.125835	0.155682	0.586969
a75	0.00175213	0.00187061	0.00226559	0.00626678	0.0108987	0.0147129	0.0264616	0.0876853	0.162096	0.68599
a56	0.000259879	0.000309717	0.000448162	0.0026479	0.00411032	0.00615766	0.0127975	0.0551441	0.170964	0.747161
a44	0.000879627	0.00099588	0.00120898	0.00449689	0.00694456	0.00895242	0.0155975	0.0606121	0.163853	0.736459
a4	0.00143886	0.00153688	0.00174422	0.00498667	0.00737835	0.00989184	0.0168029	0.0707867	0.165696	0.719737
a70	0.0047684	0.00388792	0.0036528	0.00484122	0.00699004	0.0103735	0.0205532	0.0919372	0.143861	0.709135
a66	0.00167288	0.00161347	0.00172592	0.00360396	0.00528869	0.00767873	0.0159519	0.074072	0.141264	0.747128
a26	0.012641	0.00974296	0.00833385	0.00844691	0.0109572	0.0164155	0.0338865	0.116034	0.13771	0.645832
a57	0.0617352	0.0359513	0.02737	0.0180882	0.0224263	0.0324332	0.0509968	0.107109	0.127449	0.516441
a87	0.177403	0.0853543	0.0508892	0.0284443	0.0357254	0.0494871	0.0648018	0.0953633	0.110649	0.301883
a23	0.192335	0.127763	0.0777082	0.0460931	0.0730092	0.0929376	0.100109	0.0979019	0.0779302	0.114213
a87	0.136886	0.0601351	0.0326261	0.0241696	0.0610584	0.0881719	0.124519	0.141935	0.151	0.1795
</S>	0.0648854	0.0379657	0.032289	0.0634712	0.10507	0.116569	0.139261	0.130223	0.128452	0.181814
