 	ma	maison	est	proche	</S>
a66	0.513535	0.147624	0.0625058	0.087401	0.188934
a87	0.479266	0.233959	0.139967	0.115185	0.0316231
a23	0.530697	0.227685	0.105493	0.102351	0.0337742
a83	0.380276	0.233485	0.179402	0.137009	0.0698277
a21	0.561318	0.203751	0.11631	0.0905978	0.0280234
a5	0.494851	0.306258	0.131427	0.0488392	0.0186244
a12	0.199818	0.254027	0.335239	0.171326	0.0395903
a21	0.153929	0.171254	0.27962	0.268559	0.126637
a12	0.0488279	0.0797535	0.223127	0.444052	0.20424
a88	0.0148327	0.0400452	0.140409	0.418524	0.386189
a21	0.00730136	0.0188277	0.0722641	0.239166	0.66244
a12	0.00262789	0.0074087	0.0288595	0.1156	0.845504
a18	0.00328073	0.0106426	0.038086	0.127212	0.820779
a25	0.0633425	0.0855448	0.109388	0.2124	0.529324
a87	0.199144	0.140501	0.140344	0.158726	0.361285
</S>	0.530822	0.243193	0.116961	0.0520611	0.0569634
