 	l'	enfant	a	capturé	un	silure	avec	son	hameçon	</S>
a66	0.288168	0.229239	0.138929	0.0484726	0.0369502	0.0637046	0.0629541	0.0542816	0.0470994	0.0302015
a87	0.515267	0.287918	0.0965007	0.0241838	0.0102398	0.0151878	0.0175708	0.0153438	0.0111735	0.00661413
a23	0.467526	0.237571	0.121593	0.0530633	0.0267501	0.032739	0.0234284	0.014783	0.0122218	0.0103249
a99	0.415685	0.211653	0.122046	0.072705	0.0415013	0.0376978	0.0252303	0.0207166	0.0233655	0.0294003
a53	0.274877	0.169809	0.143392	0.0935281	0.059857	0.063716	0.0462756	0.0437036	0.0535437	0.0512993
a44	0.154807	0.13838	0.209772	0.192016	0.101927	0.0744697	0.0480268	0.0327787	0.0261532	0.021669
a54	0.0663619	0.0813917	0.163496	0.277166	0.169181	0.0827467	0.0553371	0.0385145	0.0323923	0.0334125
a37	0.0276614	0.0504728	0.135503	0.250068	0.195711	0.117509	0.0693463	0.0550252	0.0489655	0.0497376
a70	0.0353246	0.0443447	0.0863949	0.23927	0.19613	0.0902913	0.0641008	0.0635809	0.0840268	0.0965361
a93	0.035628	0.0358791	0.0525743	0.169235	0.184038	0.097373	0.0711434	0.074705	0.122669	0.156756
a61	0.037512	0.0383299	0.0556721	0.170253	0.177253	0.0988972	0.0794219	0.0726771	0.118302	0.151681
a11	0.0286137	0.0254788	0.0301928	0.0968373	0.152822	0.12279	0.102219	0.096561	0.148246	0.19624
a70	0.015613	0.0139052	0.0141897	0.0413499	0.108694	0.139253	0.131896	0.125242	0.182772	0.227085
a90	0.00938753	0.00867484	0.00845566	0.021164	0.0641288	0.113466	0.132635	0.149446	0.228367	0.264276
a44	0.00485455	0.00499553	0.0063429	0.0194457	0.0504047	0.0926724	0.134777	0.176521	0.260237	0.249749
a79	0.00425608	0.00403583	0.00387701	0.00808724	0.0204722	0.0582692	0.103381	0.155421	0.302676	0.339525
a4	0.00205019	0.002063	0.00252523	0.00674855	0.0229987	0.0708299	0.138666	0.201421	0.274532	0.278166
a70	0.000670938	0.000603205	0.000472864	0.000778763	0.00297308	0.0129461	0.0427064	0.120261	0.354662	0.463925
a90	0.000683582	0.000583498	0.000435193	0.000598969	0.0019554	0.00924156	0.0342653	0.116747	0.387701	0.447789
a69	0.000477306	0.000473555	0.000494776	0.00107343	0.00391915	0.0167152	0.0558896	0.157147	0.381557	0.382253
a4	0.000207777	0.00018421	0.000164641	0.000336151	0.00127717	0.00548238	0.0244662	0.0988779	0.376984	0.49202
a58	0.000156908	0.000132905	0.000110124	0.000185431	0.000696549	0.002802	0.0166023	0.0888392	0.381967	0.508508
a82	0.000265009	0.000168894	0.000141788	0.000203263	0.000801539	0.00425391	0.0237397	0.106824	0.345236	0.518367
a87	0.0834022	0.0427007	0.0227412	0.0126381	0.0169419	0.0375176	0.0654437	0.141151	0.262226	0.315237
a23	0.255194	0.148136	0.0714837	0.0313964	0.0210638	0.0371937	0.0662092	0.113521	0.137221	0.11858
a87	0.0972082	0.064032	0.0296047	0.0135668	0.0109025	0.0165662	0.0416277	0.111851	0.246712	0.367929
a97	0.0144244	0.0101981	0.00689387	0.00531536	0.00555193	0.0108151	0.0337874	0.105203	0.296709	0.511101
a82	0.0183959	0.0186365	0.0186451	0.0175762	0.0134529	0.0351849	0.0743222	0.148485	0.274844	0.380458
</S>	0.0212449	0.0224058	0.026158	0.0293602	0.0319413	0.0665441	0.0941108	0.145603	0.240878	0.321754
