 	le	protoptère	que	nous	avons	mangé	hier	avait	la	chair	dure	</S>
a15	0.37662	0.220179	0.129958	0.0606736	0.0377839	0.0336721	0.0260903	0.0231175	0.0240699	0.025815	0.0224164	0.0196038
a66	0.208789	0.127583	0.132258	0.137492	0.108753	0.0792829	0.0386957	0.0334623	0.0375201	0.0383249	0.0307305	0.0271083
a87	0.445661	0.225551	0.0911062	0.0523733	0.0293985	0.0169028	0.00963116	0.0107147	0.0162451	0.0344942	0.0331271	0.0347943
a23	0.348844	0.228679	0.118897	0.0773254	0.0390866	0.021669	0.0143077	0.0142519	0.0204542	0.0394667	0.0373429	0.0396766
a99	0.23889	0.156778	0.103247	0.0945482	0.0729038	0.0377631	0.021458	0.0217345	0.034542	0.0673162	0.0659485	0.08487
a83	0.213359	0.174166	0.128627	0.0846571	0.0522836	0.0278023	0.0157821	0.0194291	0.0322615	0.0832722	0.0795867	0.0887727
a44	0.259505	0.225639	0.208372	0.105249	0.0467874	0.0269305	0.0132913	0.0140698	0.0180038	0.0344287	0.0292569	0.0184661
a76	0.139058	0.167036	0.202968	0.159989	0.0928071	0.0499712	0.0226769	0.0182984	0.0197869	0.0393766	0.0471718	0.0408603
a92	0.0805716	0.0978879	0.1656	0.163975	0.126984	0.10164	0.0452512	0.0300169	0.029144	0.05113	0.0608196	0.0469803
a47	0.069982	0.0956104	0.160259	0.16248	0.130063	0.109973	0.0576086	0.0373702	0.0293815	0.0387528	0.0561353	0.0523845
a31	0.0556096	0.0685947	0.127852	0.161935	0.159859	0.133033	0.0577388	0.0396404	0.0339193	0.0446874	0.0614296	0.0557019
a47	0.0702999	0.0956988	0.158345	0.20696	0.183274	0.100695	0.0367333	0.0200947	0.0186336	0.0274492	0.0391565	0.0426594
a31	0.0600093	0.0799106	0.131924	0.171993	0.187216	0.132965	0.0646182	0.0330556	0.0290061	0.0303243	0.0372386	0.0417397
a0	0.0347628	0.0516325	0.112267	0.162261	0.190275	0.148169	0.0759513	0.0375246	0.031474	0.0376015	0.0542756	0.0638053
a75	0.0250947	0.0366343	0.0733825	0.119468	0.199216	0.194517	0.102533	0.0452762	0.0375455	0.0420095	0.055471	0.0688526
a47	0.00890778	0.0107812	0.0181995	0.0305642	0.078516	0.133564	0.176287	0.132227	0.102354	0.0820273	0.102687	0.123886
a7	0.0178039	0.0189381	0.0184129	0.020253	0.0467115	0.0895733	0.151677	0.107568	0.100004	0.101851	0.135177	0.192031
a90	0.0287704	0.0341348	0.0349618	0.03351	0.045773	0.0546267	0.087446	0.0759403	0.0818723	0.111461	0.150422	0.261082
a98	0.00719667	0.00753539	0.0103688	0.0149515	0.0282574	0.04338	0.11477	0.106696	0.112044	0.121933	0.159008	0.273859
a92	0.00949496	0.00797811	0.00860652	0.010408	0.0214505	0.0333312	0.0983736	0.124454	0.125536	0.124834	0.162037	0.273496
a56	0.0069563	0.0059335	0.00619367	0.00784396	0.0149948	0.0270254	0.105207	0.144414	0.149778	0.137785	0.160116	0.233754
a47	0.00903293	0.00744614	0.00545251	0.00514111	0.00799003	0.0114603	0.046994	0.0788087	0.116582	0.125732	0.198856	0.386505
a96	0.00415184	0.00346121	0.00301865	0.0035241	0.00648009	0.00980195	0.0456949	0.0946428	0.138614	0.121538	0.192156	0.376918
a93	0.00483478	0.00376255	0.00310584	0.00380593	0.00708283	0.0116993	0.0467079	0.0908184	0.140891	0.128347	0.201799	0.357145
a94	0.00348569	0.0027769	0.00182182	0.00202824	0.00404429	0.00746803	0.0425266	0.106722	0.170432	0.113361	0.188883	0.356451
a26	0.00274155	0.00212699	0.00176483	0.00188213	0.00318227	0.00596082	0.0290174	0.0783531	0.137299	0.129136	0.211397	0.397139
a57	0.0460044	0.0325215	0.0239065	0.0171314	0.0182733	0.0199486	0.042847	0.0761259	0.103341	0.0993381	0.169294	0.351269
a87	0.103459	0.0698748	0.0558508	0.0435966	0.0440483	0.0455985	0.0654789	0.0787354	0.0828817	0.0704932	0.10827	0.231713
a23	0.207926	0.136312	0.0904355	0.0924972	0.0704599	0.0549121	0.0564295	0.0530271	0.0521456	0.0547564	0.0601332	0.0709659
a87	0.0301196	0.0147344	0.00977009	0.0106341	0.0134633	0.0196838	0.0722589	0.168922	0.213614	0.151006	0.14096	0.154834
</S>	0.00705004	0.00379165	0.00355735	0.00560074	0.0113295	0.0190872	0.0640278	0.120446	0.138109	0.150412	0.198549	0.278039
