 	j'	ai	préparé	du	poisson	aux	légumes	</S>
a66	0.418562	0.249489	0.128965	0.0724375	0.0550734	0.0431627	0.01731	0.0150014
a87	0.345331	0.200854	0.201306	0.108865	0.0677313	0.034504	0.0190862	0.0223233
a23	0.48811	0.317034	0.126478	0.0299733	0.0134435	0.00879679	0.00672061	0.00944318
a87	0.499253	0.320591	0.120294	0.02817	0.00839655	0.00598897	0.00700911	0.0102975
a23	0.482309	0.319555	0.121749	0.0320617	0.0143899	0.00894082	0.00870553	0.0122895
a18	0.479926	0.302536	0.113005	0.0286046	0.013131	0.0144893	0.0197876	0.0285205
a62	0.394093	0.283818	0.142134	0.0505381	0.0285901	0.0337271	0.032591	0.0345086
a75	0.319861	0.287741	0.176321	0.0942679	0.0542112	0.031359	0.0198467	0.0163917
a85	0.180726	0.198407	0.218533	0.184657	0.105855	0.0579507	0.0307988	0.023073
a6	0.0850768	0.109802	0.172372	0.253607	0.21667	0.0860967	0.0419425	0.0344325
a36	0.0866339	0.113526	0.189127	0.258696	0.199834	0.0746729	0.0410469	0.0364643
a61	0.0792909	0.0859023	0.14853	0.254721	0.214448	0.0929239	0.0613987	0.0627851
a0	0.0613551	0.0601145	0.162735	0.304948	0.223626	0.0826355	0.0495263	0.0550589
a47	0.0403881	0.0341251	0.0820624	0.216573	0.261505	0.130988	0.100311	0.134047
a43	0.0479102	0.0350923	0.0547682	0.133898	0.231674	0.160819	0.14119	0.194649
a75	0.0124285	0.00811453	0.012638	0.0375048	0.110139	0.183175	0.273485	0.362516
a5	0.00719285	0.00415464	0.00459594	0.01251	0.0713767	0.209225	0.292512	0.398433
a37	0.00433831	0.00209191	0.00196882	0.00438253	0.0281728	0.138515	0.330248	0.490283
a93	0.00175742	0.000739451	0.000638673	0.00132358	0.00894293	0.0652106	0.289575	0.631812
a96	0.000750117	0.000339019	0.000370608	0.000834002	0.00613098	0.0499402	0.254511	0.687124
a36	0.000856037	0.000431939	0.000426784	0.000915846	0.0062337	0.0463762	0.269255	0.675504
a26	0.00065214	0.000404589	0.000541035	0.000939052	0.00498684	0.0340907	0.216409	0.741977
a82	0.0498942	0.0224912	0.0168251	0.0233162	0.0487644	0.0838592	0.215383	0.539466
a87	0.330209	0.140911	0.0518257	0.0312806	0.0379777	0.0512459	0.107042	0.249507
a23	0.371908	0.250871	0.135454	0.0535398	0.0351951	0.0329674	0.0434923	0.0765725
a87	0.23142	0.120593	0.04706	0.0183872	0.021205	0.0485448	0.16144	0.351351
</S>	0.0342687	0.0176216	0.00900682	0.00676067	0.0147068	0.0552647	0.240909	0.621462
