 	je	l'	ai	perdu	de	vue	quand	il	a	amorcé	le	virage	</S>
a66	0.195148	0.176576	0.133501	0.133488	0.127279	0.102388	0.0423656	0.0228492	0.0180245	0.014814	0.0134649	0.0107613	0.00933969
a87	0.241221	0.199199	0.139824	0.0919844	0.0539124	0.0246881	0.016962	0.0211291	0.0230255	0.018945	0.0474323	0.0462595	0.0754184
a23	0.21637	0.190058	0.139122	0.115637	0.083568	0.0619524	0.0333089	0.0273684	0.0246684	0.0164682	0.0178817	0.0237008	0.0498959
a99	0.257012	0.180536	0.123652	0.0980652	0.0675849	0.0517873	0.0371174	0.0358343	0.0336315	0.0313631	0.0275351	0.0198957	0.0359852
a50	0.202355	0.185536	0.168841	0.145944	0.088875	0.0434984	0.018371	0.0181693	0.0167532	0.0145219	0.0202612	0.0272601	0.0496134
a31	0.164273	0.171519	0.19726	0.183794	0.135018	0.0796589	0.0181427	0.0102197	0.00777734	0.00517537	0.00661178	0.00705967	0.0134916
a88	0.186468	0.17951	0.211273	0.180465	0.136101	0.0743077	0.0127112	0.00605652	0.004398	0.0031841	0.00207156	0.00143585	0.00201755
a62	0.173099	0.175506	0.212155	0.177947	0.13316	0.0772603	0.018187	0.00991995	0.00772791	0.00606279	0.00360452	0.00242399	0.00294682
a96	0.143664	0.146865	0.171224	0.155833	0.150844	0.113348	0.0437153	0.0239899	0.0193133	0.0163771	0.00732763	0.00373796	0.00376078
a93	0.124768	0.144303	0.18447	0.168733	0.151079	0.0981209	0.0397538	0.0257062	0.0219884	0.0214055	0.00945893	0.0051333	0.00508018
a4	0.0769316	0.0961631	0.152717	0.188302	0.193108	0.119759	0.0511758	0.0315118	0.028742	0.0314808	0.0153637	0.00746926	0.00727559
a94	0.0369064	0.0473389	0.101484	0.173979	0.201171	0.149041	0.0815822	0.0453567	0.0416416	0.0533479	0.0289645	0.0193468	0.0198395
a75	0.0348755	0.0420993	0.089097	0.167281	0.193401	0.142228	0.0814079	0.0518014	0.0501259	0.0634174	0.0370888	0.0233943	0.0237826
a92	0.0229339	0.0275688	0.0628567	0.142533	0.181552	0.146027	0.100048	0.0744475	0.076968	0.0699187	0.0466415	0.02602	0.0224847
a36	0.0214673	0.0261504	0.055392	0.119404	0.165614	0.144982	0.104254	0.0794315	0.0865661	0.0673733	0.0550786	0.041191	0.0330949
a75	0.0197802	0.020513	0.0376234	0.0895871	0.139951	0.144425	0.116584	0.097189	0.100332	0.0873987	0.0655293	0.0442406	0.0368471
a85	0.0106944	0.0112628	0.0208472	0.056255	0.113317	0.130015	0.11959	0.10189	0.113488	0.0955429	0.0857992	0.0795961	0.061702
a47	0.00458466	0.00522538	0.0118269	0.035911	0.0942927	0.139326	0.126908	0.102533	0.105234	0.0921514	0.0880928	0.0905415	0.103374
a36	0.00239125	0.00226228	0.00466798	0.0160799	0.0476068	0.0774986	0.134528	0.135093	0.14379	0.138978	0.113259	0.0938251	0.0900201
a54	0.00367631	0.00321299	0.00464379	0.0102937	0.0251681	0.0460957	0.155504	0.170629	0.167182	0.142654	0.112076	0.0793857	0.079479
a47	0.00268563	0.00211521	0.00305772	0.00538015	0.0124534	0.0207679	0.0567864	0.0913478	0.118287	0.156978	0.153993	0.181574	0.194573
a7	0.00121775	0.000982063	0.00170813	0.0040057	0.0115437	0.0234985	0.0912073	0.125834	0.143846	0.156773	0.135113	0.137042	0.167229
a37	0.00229416	0.00190357	0.00266744	0.0053502	0.0112812	0.0216776	0.0974151	0.139144	0.150723	0.132329	0.12489	0.129756	0.180569
a56	0.00275171	0.00216278	0.0027774	0.00437652	0.00844375	0.0173684	0.0984576	0.144734	0.156183	0.129835	0.123815	0.124156	0.184939
a44	0.00159556	0.00125053	0.00169566	0.00290401	0.00680746	0.0159586	0.0963088	0.147631	0.166317	0.12392	0.123289	0.119231	0.193092
a18	0.000877373	0.000663307	0.000906873	0.00161492	0.00393562	0.00895593	0.0660188	0.130336	0.164763	0.128432	0.137927	0.134785	0.220785
a62	0.000911939	0.000822858	0.00110468	0.00182137	0.00324748	0.00577422	0.0357654	0.0791127	0.10239	0.115024	0.138561	0.186628	0.328835
a56	0.00105023	0.000933341	0.00141853	0.00262821	0.00499089	0.00859657	0.0355543	0.0747033	0.0945207	0.12326	0.139673	0.189938	0.322733
a34	0.000508099	0.000402795	0.000564168	0.00107615	0.00269288	0.00591744	0.0302432	0.0662169	0.0924292	0.127697	0.146563	0.18651	0.33918
a56	0.00052587	0.000421447	0.000600938	0.00117761	0.00285096	0.00597785	0.0320909	0.0686766	0.093132	0.122785	0.13948	0.187174	0.345107
a15	0.000238466	0.000195089	0.000281068	0.000567093	0.0014551	0.00320601	0.0238178	0.0576287	0.085333	0.10728	0.133378	0.195066	0.391554
a20	0.000137849	0.000104002	0.000144856	0.000265526	0.000607189	0.00126712	0.00927004	0.0242595	0.0389658	0.0603956	0.0904933	0.227235	0.546854
a44	0.000155296	0.000103903	0.000148132	0.00029652	0.000719425	0.0015137	0.00701942	0.0152362	0.0246951	0.0473056	0.0704849	0.231071	0.601251
a54	0.000111916	7.46619e-05	9.29244e-05	0.000154396	0.000364802	0.000825099	0.00703479	0.0203801	0.0328851	0.0482046	0.079568	0.207934	0.60237
a5	0.000132985	8.33419e-05	0.000106409	0.000188259	0.000465931	0.00109185	0.00640898	0.0150374	0.0228881	0.0415097	0.061027	0.197358	0.653702
a56	7.79307e-05	5.91697e-05	7.20195e-05	0.0001149	0.000267463	0.000638521	0.00459539	0.0127866	0.0213478	0.0321109	0.059863	0.190208	0.677858
a34	6.38257e-05	4.962e-05	6.93149e-05	0.000125997	0.000312215	0.000666087	0.0047888	0.0124533	0.0205846	0.0310633	0.0556102	0.174649	0.699564
a79	6.52297e-05	4.84605e-05	6.49479e-05	0.000113831	0.000263085	0.000541464	0.00330892	0.0088909	0.0149106	0.0244108	0.0503602	0.193508	0.703513
a44	3.37388e-05	2.34698e-05	3.00932e-05	5.14846e-05	0.000123268	0.00026741	0.00216185	0.00658978	0.0117016	0.0209493	0.0397296	0.15951	0.758829
a4	4.90359e-05	3.36984e-05	4.72315e-05	8.36366e-05	0.000187194	0.000339472	0.00209119	0.00586011	0.00996622	0.0156207	0.037307	0.169481	0.758934
a70	7.37877e-05	5.24328e-05	7.09941e-05	0.000129479	0.000248767	0.000359312	0.00195149	0.0055466	0.00924569	0.0153596	0.0388491	0.183022	0.745091
a71	7.1067e-05	5.37197e-05	6.71696e-05	0.000131873	0.000271278	0.000383156	0.00173545	0.00413002	0.00652657	0.0157678	0.0417723	0.223883	0.705206
a38	0.000550218	0.00037793	0.000364438	0.000541424	0.000966234	0.00115472	0.00500652	0.00968294	0.0137281	0.039392	0.0727411	0.328918	0.526576
a70	0.000593164	0.000407539	0.000410113	0.000614221	0.00105611	0.00107545	0.00335743	0.0066127	0.0089593	0.0254009	0.0620094	0.314894	0.57461
a83	5.97031e-05	5.05198e-05	5.98506e-05	0.0001126	0.000202978	0.000216657	0.00103771	0.0024169	0.00381979	0.00899389	0.0324246	0.23936	0.711245
a71	7.05226e-05	5.9237e-05	6.80793e-05	0.000119637	0.000206218	0.000215291	0.000985639	0.00229617	0.00354692	0.00973779	0.0309396	0.242269	0.709486
a9	0.000856172	0.000631097	0.000616905	0.00088309	0.00144788	0.00155113	0.00497553	0.0087028	0.0118116	0.0289886	0.0618213	0.281776	0.595938
a3	0.0110122	0.00727159	0.00614876	0.00704162	0.00987479	0.0107127	0.0221084	0.030089	0.0349746	0.0608275	0.0921767	0.268336	0.439426
a97	0.123161	0.0822218	0.043312	0.0294833	0.0234182	0.0181195	0.0262886	0.0328084	0.0363438	0.0553039	0.0701507	0.164683	0.294706
a87	0.0782638	0.0618686	0.0418015	0.0329595	0.0251364	0.0154926	0.0309138	0.047105	0.0563862	0.0848684	0.0990064	0.163367	0.262831
a97	0.0395724	0.0316868	0.0239566	0.0212281	0.0168317	0.0117588	0.0320497	0.0488769	0.0646182	0.0790577	0.113848	0.197481	0.319034
a87	0.0239526	0.0186677	0.0143171	0.0138952	0.0129639	0.0101797	0.0281398	0.0409083	0.0532036	0.0601241	0.100283	0.202262	0.421102
a97	0.0295685	0.0253775	0.0218337	0.0221509	0.0201264	0.0145598	0.0301087	0.0405104	0.0511773	0.059517	0.0948559	0.181091	0.409123
a87	0.0346402	0.0277911	0.0231101	0.0268651	0.0249222	0.0189874	0.0330982	0.0410659	0.0514223	0.0542098	0.0872383	0.170008	0.406641
a97	0.0230268	0.01891	0.0172157	0.0197271	0.0192296	0.0145351	0.020281	0.0256595	0.0310033	0.032698	0.0669882	0.151953	0.558773
a23	0.0408795	0.0326672	0.0284355	0.032175	0.0286051	0.0219596	0.0286432	0.0324817	0.0378084	0.0375706	0.0655364	0.13355	0.479688
a99	0.0309731	0.0232866	0.019966	0.0191287	0.02021	0.017418	0.0225369	0.0299739	0.0391749	0.0293548	0.0693448	0.1327	0.545932
a97	0.0543419	0.0428548	0.0354058	0.0349663	0.0343379	0.0316345	0.0275918	0.0362476	0.044512	0.0334979	0.0689718	0.112637	0.443001
</S>	0.0443085	0.0315666	0.024282	0.0227622	0.0219805	0.0213412	0.024166	0.0332435	0.0411643	0.0317986	0.0718267	0.126275	0.505285
