 	la	danse	abvumba	ne	se	danse	plus	</S>
a66	0.339525	0.381074	0.127928	0.0507739	0.0319369	0.0264696	0.022326	0.019967
a87	0.274711	0.215466	0.191006	0.101644	0.0737569	0.0502158	0.0470841	0.0461159
a23	0.555278	0.264032	0.0569121	0.0220999	0.0164188	0.018003	0.0256603	0.0415958
a87	0.493011	0.243165	0.0347112	0.0162204	0.0207842	0.0332359	0.0582511	0.100621
a23	0.561129	0.265855	0.0508211	0.0167178	0.0155042	0.0190562	0.0282946	0.0426224
a40	0.456252	0.179379	0.0430297	0.0299557	0.0400932	0.0582645	0.0810253	0.112
a7	0.206263	0.383915	0.251912	0.0721652	0.0367942	0.0214234	0.014731	0.0127964
a44	0.105207	0.4538	0.332937	0.058997	0.0204567	0.0124659	0.00821705	0.00791873
a70	0.141391	0.382853	0.332683	0.0915486	0.0281764	0.0115232	0.00604153	0.00578263
a98	0.0933822	0.25466	0.401488	0.156088	0.0504692	0.0191198	0.0120695	0.0127238
a47	0.0275771	0.112578	0.417228	0.236616	0.102413	0.0470666	0.028931	0.0275896
a37	0.0207024	0.0603717	0.332049	0.271689	0.131595	0.0674814	0.0541906	0.0619205
a56	0.0401931	0.0723099	0.26397	0.263329	0.136158	0.0771943	0.0688538	0.0779914
a44	0.030202	0.051459	0.143774	0.188671	0.180928	0.144716	0.124719	0.13553
a62	0.0161385	0.0218443	0.0728402	0.134566	0.194359	0.19204	0.174486	0.193726
a34	0.00831432	0.0100667	0.0294208	0.0722615	0.138721	0.213225	0.241999	0.285992
a75	0.0110199	0.0132264	0.0289096	0.068053	0.142582	0.244068	0.241058	0.251084
a92	0.0011924	0.00132153	0.00486516	0.0213911	0.0564875	0.15331	0.29748	0.463952
a36	0.00106542	0.00105803	0.00263263	0.0122248	0.0397548	0.164855	0.324819	0.45359
a26	0.00143019	0.00131577	0.00200545	0.00481249	0.0188674	0.100809	0.310272	0.560488
a54	0.00338035	0.0024745	0.00631519	0.00749362	0.0205489	0.0869371	0.27345	0.5994
a36	0.000209871	0.000192865	0.000602405	0.00210811	0.0104456	0.0748371	0.26749	0.644114
a2	0.000820073	0.000778595	0.00226879	0.00453968	0.0155783	0.0739429	0.25076	0.651311
a57	0.0153923	0.0127915	0.0287235	0.0425465	0.0634592	0.137155	0.25331	0.446622
a87	0.117889	0.0751318	0.0600188	0.0519117	0.0600089	0.103524	0.180967	0.350548
a23	0.270749	0.174932	0.100977	0.0667786	0.0607689	0.0818974	0.104562	0.139334
a99	0.107558	0.0538022	0.0431759	0.0356666	0.059826	0.139658	0.2313	0.329013
a87	0.0371993	0.0165523	0.014339	0.0171439	0.0379006	0.142807	0.289337	0.444721
</S>	0.00405889	0.0035409	0.0055346	0.00698441	0.0180161	0.0923662	0.277805	0.591694
