 	le	canard	barbote	dans	la	mare	</S>
a23	0.205856	0.0932974	0.0670841	0.0579667	0.0626407	0.134279	0.378876
a85	0.41737	0.145453	0.104336	0.0825652	0.0639831	0.0714969	0.114796
a87	0.199715	0.147583	0.138411	0.114826	0.0981547	0.121581	0.179729
a40	0.300358	0.203935	0.153385	0.0936572	0.0628319	0.0666513	0.119182
a20	0.309612	0.256761	0.108914	0.0605357	0.0424461	0.0701968	0.151534
a32	0.33546	0.280358	0.143943	0.0882133	0.0551652	0.0459727	0.0508875
a11	0.353122	0.288278	0.160197	0.0935362	0.0451237	0.0297657	0.0299771
a75	0.346221	0.285619	0.171906	0.104429	0.0445156	0.0247644	0.0225448
a92	0.253481	0.219236	0.18393	0.144045	0.0968184	0.0547066	0.0477818
a41	0.134799	0.156448	0.196352	0.176631	0.155753	0.102777	0.0772396
a37	0.157001	0.163867	0.202432	0.183017	0.141705	0.0806464	0.0713315
a54	0.159808	0.151823	0.191952	0.177146	0.149687	0.0890116	0.0805713
a73	0.0795065	0.0870112	0.155812	0.178595	0.205784	0.150635	0.142657
a11	0.0486019	0.0626412	0.149344	0.197939	0.217712	0.154145	0.169617
a76	0.0745941	0.0727494	0.134946	0.181088	0.220467	0.148526	0.16763
a94	0.0394984	0.0533827	0.127812	0.174605	0.225441	0.189411	0.189849
a76	0.0378201	0.0466942	0.109247	0.181055	0.277677	0.180211	0.167296
a94	0.0393249	0.0551474	0.106097	0.148687	0.224303	0.205421	0.221019
a32	0.0277221	0.0358313	0.074192	0.127276	0.265979	0.231054	0.237945
a76	0.0285548	0.0355019	0.0682711	0.113517	0.249448	0.239168	0.265539
a94	0.0325888	0.0506779	0.0910946	0.134026	0.241285	0.219745	0.230583
a98	0.0142466	0.0221854	0.048898	0.0835107	0.207987	0.291594	0.331579
a73	0.0214444	0.0338465	0.0621722	0.091244	0.196388	0.259952	0.334953
a2	0.00870946	0.0127221	0.0276944	0.0469247	0.136695	0.289804	0.47745
a57	0.00901167	0.0116162	0.0216508	0.0356993	0.109864	0.258792	0.553366
a87	0.00285997	0.00381574	0.00888855	0.0206013	0.0922895	0.258436	0.613109
</S>	0.0015842	0.00231752	0.00449226	0.0103525	0.0657769	0.238601	0.676876
