 	mon	épouse	a	construit	une	cachette	de	poisson	dans	l'	étang	où	elle	trempe	le	manioc	cru	</S>
a15	0.0640996	0.0638591	0.058002	0.0607499	0.0791203	0.0685383	0.095708	0.0840054	0.0879834	0.0879616	0.060577	0.0564723	0.044008	0.0321869	0.0230791	0.0180859	0.00759421	0.0079691
a66	0.313507	0.163304	0.0539118	0.0415077	0.055021	0.0545868	0.0455559	0.0433304	0.0294019	0.023906	0.0175976	0.0119298	0.0108666	0.0211221	0.0292353	0.0177329	0.0284449	0.0390374
a87	0.274973	0.1756	0.0903127	0.0496104	0.0435719	0.0380008	0.0362111	0.0491357	0.0364192	0.0315742	0.0230847	0.0193514	0.0179506	0.0203203	0.0210331	0.0170271	0.0190105	0.0368133
a23	0.225988	0.147606	0.0682114	0.0433812	0.0497248	0.079546	0.0689787	0.0733568	0.0542157	0.044295	0.0254579	0.0175528	0.0120115	0.0158307	0.0155291	0.0151283	0.0199862	0.0231996
a87	0.204681	0.136008	0.048254	0.0289995	0.0351907	0.0913114	0.0780402	0.0815163	0.0574206	0.0473651	0.0268792	0.0145684	0.0107705	0.0232385	0.0236333	0.0211196	0.0216726	0.0493317
a23	0.173953	0.107208	0.0448664	0.0312778	0.0405318	0.105108	0.0991025	0.0975849	0.0712069	0.0570982	0.0293191	0.0143604	0.0116728	0.0247681	0.022968	0.0210908	0.0193964	0.0284863
a87	0.209373	0.131878	0.0510264	0.0352883	0.0385886	0.0720436	0.0575305	0.059831	0.0497388	0.0414373	0.0228054	0.0136176	0.0128706	0.0334933	0.0275494	0.0278829	0.0356694	0.0793764
a23	0.132031	0.0912271	0.0493963	0.041688	0.0460897	0.0807956	0.0700752	0.0737217	0.0685545	0.0569713	0.0326008	0.0174058	0.0196981	0.0484827	0.0374751	0.0377437	0.0358815	0.0601618
a38	0.142731	0.094638	0.0531099	0.0478606	0.0470894	0.0642577	0.0493824	0.0539576	0.0533541	0.0436484	0.0257363	0.0155274	0.0169112	0.0458425	0.0364689	0.0357843	0.0521203	0.121579
a53	0.147118	0.130817	0.10448	0.0872977	0.0665108	0.0624992	0.0378455	0.0422364	0.0461977	0.0422346	0.0248664	0.014308	0.0124129	0.0319508	0.0223352	0.0175544	0.0222079	0.0871287
a79	0.118024	0.11799	0.118734	0.101999	0.0812992	0.0815572	0.0406277	0.0402729	0.0404144	0.041758	0.0367403	0.0222282	0.02221	0.0350986	0.0244708	0.0220217	0.0151085	0.0394453
a0	0.0601333	0.0708653	0.0804679	0.0918699	0.0873011	0.0973515	0.0624719	0.0552304	0.0559153	0.0571016	0.0550882	0.0336235	0.0343548	0.041025	0.0339821	0.0293296	0.0181849	0.0357038
a54	0.0448376	0.0538853	0.0682743	0.08336	0.0848687	0.135322	0.0840733	0.0708212	0.06183	0.05371	0.0517067	0.0291359	0.0254039	0.0388785	0.0299275	0.0221555	0.0226221	0.0391877
a6	0.0243175	0.034695	0.0582924	0.0902076	0.0926674	0.0941393	0.0497415	0.0393508	0.0366629	0.0338119	0.0340822	0.0212783	0.0255705	0.0445601	0.0494885	0.0414158	0.0574145	0.172304
a37	0.0301718	0.0392119	0.0595176	0.0844154	0.0849599	0.0909394	0.0504475	0.0402692	0.0377115	0.0381398	0.0399048	0.0293156	0.0362816	0.0504565	0.0549297	0.0456391	0.0470457	0.140643
a98	0.0265912	0.0292238	0.0476605	0.0732104	0.0792915	0.0951094	0.0870389	0.0836972	0.0779359	0.0731105	0.0669673	0.0514168	0.0429127	0.0395455	0.0398741	0.0341822	0.0230156	0.0292165
a15	0.0120525	0.0133253	0.0252921	0.0483391	0.057112	0.0590405	0.0521069	0.0453774	0.0484615	0.0521325	0.0542603	0.0440518	0.0508568	0.0701273	0.0975021	0.0851202	0.0735193	0.111322
a7	0.00473577	0.00456309	0.0085714	0.0208859	0.0302785	0.0269038	0.0390908	0.0347512	0.0419966	0.050035	0.0555762	0.0577194	0.0686403	0.0921261	0.129544	0.116891	0.0967872	0.120904
a90	0.00449804	0.00369193	0.00567971	0.0145619	0.0255543	0.0240147	0.0628745	0.0672657	0.0821159	0.096442	0.107685	0.101398	0.083213	0.0743998	0.0728573	0.0515208	0.0411409	0.0810857
a56	0.00210318	0.00168639	0.00240281	0.00581235	0.00957699	0.00829975	0.0194108	0.0198487	0.0262494	0.0360073	0.0561435	0.0731258	0.0888229	0.0997605	0.126738	0.118282	0.124009	0.181721
a96	0.00247579	0.00198444	0.00287067	0.00637988	0.0101308	0.00939633	0.0214108	0.0240031	0.0306698	0.0483262	0.097839	0.1412	0.132161	0.0977914	0.0994513	0.0889092	0.0839432	0.101058
a62	0.00180546	0.00150027	0.00221178	0.00456722	0.00656408	0.00700306	0.0162184	0.0187933	0.0224464	0.0342404	0.0772055	0.109101	0.110597	0.103254	0.114987	0.0978642	0.101634	0.170008
a50	0.00258879	0.00207528	0.00263259	0.00509842	0.00711072	0.00758358	0.0154944	0.0176178	0.021078	0.0323941	0.0737503	0.10949	0.115484	0.103271	0.120962	0.116277	0.112891	0.134201
a88	0.00278087	0.00262513	0.00356236	0.00658423	0.00834474	0.00833604	0.0161561	0.0179842	0.0203099	0.0296134	0.0685837	0.0926561	0.104095	0.102333	0.122091	0.106214	0.112161	0.175568
a24	0.00229223	0.00212539	0.00316343	0.00643624	0.0090405	0.0087555	0.0180999	0.0198706	0.0213719	0.027312	0.0548348	0.0649427	0.0824158	0.116895	0.148313	0.113702	0.130757	0.169672
a83	0.00191467	0.00168478	0.00250847	0.00561481	0.00872847	0.00878793	0.0171933	0.0183935	0.0192946	0.022367	0.0416417	0.0438866	0.0602959	0.114475	0.144682	0.118117	0.188907	0.181507
