 	il	plante	les	piquets	à	la	limite	de	la	parcelle	</S>
a66	0.199122	0.260692	0.141336	0.237949	0.0910224	0.0403675	0.0150932	0.00752747	0.00332255	0.00207999	0.00148808
a87	0.46193	0.131898	0.0377257	0.0757965	0.0493974	0.039226	0.0383881	0.0370328	0.0358772	0.045227	0.0475013
a97	0.209931	0.128999	0.0722431	0.141198	0.0656465	0.0467968	0.0693514	0.0545913	0.0572319	0.0750891	0.0789218
a87	0.224291	0.113096	0.0634249	0.169835	0.074879	0.0511024	0.0677547	0.0537547	0.0540594	0.061604	0.066199
a97	0.15647	0.0843607	0.0471729	0.113193	0.0715063	0.0590733	0.0875316	0.0745056	0.0848472	0.104965	0.116375
a87	0.124114	0.0786516	0.0587183	0.149286	0.0966483	0.0719998	0.11386	0.086964	0.073097	0.0767663	0.0698947
a97	0.125248	0.0826081	0.0631847	0.144019	0.095411	0.0798177	0.0992988	0.0861118	0.0751454	0.0774751	0.0716801
a79	0.107981	0.0728766	0.064771	0.127113	0.0970542	0.0855693	0.111378	0.0995466	0.0816445	0.081938	0.0701275
a15	0.26757	0.183709	0.13039	0.113182	0.0508866	0.03536	0.0424454	0.0410881	0.0390917	0.0503394	0.045937
a92	0.336351	0.236214	0.146184	0.112375	0.0325631	0.0223984	0.0174709	0.0191674	0.0222756	0.0274339	0.0275667
a85	0.29705	0.232381	0.161619	0.140567	0.0700501	0.040764	0.0154707	0.0121103	0.00986939	0.00972615	0.0103924
a6	0.214176	0.20297	0.214995	0.179638	0.0764321	0.041323	0.0163956	0.013435	0.0119817	0.0132457	0.0154076
a36	0.211318	0.192591	0.20333	0.189707	0.0835506	0.0504104	0.0202176	0.0144268	0.0109084	0.0112251	0.0123157
a61	0.13239	0.135041	0.204613	0.251865	0.140606	0.0646854	0.0214796	0.0149378	0.0110411	0.0111461	0.0121956
a62	0.0938561	0.113898	0.169714	0.231629	0.199923	0.0852172	0.0345858	0.0221966	0.0156531	0.0158854	0.0174415
a21	0.0452599	0.0780827	0.138848	0.230228	0.209655	0.103498	0.0598082	0.0470671	0.0307225	0.0281065	0.0287234
a85	0.0361943	0.0766607	0.137179	0.21553	0.192372	0.10433	0.0668241	0.054456	0.0392918	0.0371663	0.0399961
a47	0.0205136	0.0490326	0.108515	0.183178	0.136719	0.0859108	0.0661573	0.0752041	0.0785871	0.0881638	0.108018
a36	0.0227842	0.0537499	0.100053	0.123191	0.161268	0.123269	0.0934572	0.077777	0.0648816	0.0793908	0.100178
a90	0.0272399	0.050034	0.0927346	0.0886343	0.172829	0.142582	0.0983185	0.0750916	0.0642878	0.0811076	0.107141
a98	0.0192057	0.0371684	0.0757652	0.0728308	0.135442	0.115984	0.113967	0.104687	0.0922544	0.105173	0.127522
a79	0.00714858	0.0153957	0.0385045	0.0490144	0.121044	0.120781	0.112223	0.108509	0.112971	0.134871	0.179537
a44	0.00295051	0.00606938	0.0164695	0.0184392	0.0574527	0.0827054	0.133797	0.151944	0.142126	0.165545	0.222501
a96	0.00473086	0.00685812	0.0135348	0.0117641	0.0411132	0.0668074	0.127359	0.149611	0.148269	0.184796	0.245157
a0	0.00332482	0.00496103	0.0100708	0.00881448	0.0321879	0.0601454	0.13343	0.161878	0.164142	0.184603	0.236444
a31	0.00156736	0.00243311	0.00520415	0.00563487	0.0205524	0.0437749	0.114802	0.169069	0.208545	0.203942	0.224476
a62	0.000684436	0.0010601	0.00246403	0.00338324	0.0146018	0.0335017	0.0917389	0.144929	0.217176	0.236027	0.254433
a50	0.000577419	0.00097749	0.00206321	0.00289374	0.0113558	0.0274458	0.0775995	0.135562	0.231561	0.253367	0.256596
a88	0.000475553	0.000793974	0.00130805	0.00147688	0.00603356	0.0162931	0.0564438	0.116293	0.22689	0.279332	0.29466
a54	0.000140158	0.000223758	0.000397242	0.000529349	0.0029312	0.00873759	0.0348344	0.0777174	0.191616	0.30357	0.379303
a47	3.16298e-05	5.06657e-05	0.000161528	0.000295766	0.00190042	0.00516428	0.0233938	0.0584202	0.163062	0.301778	0.445742
a7	2.77566e-05	4.51973e-05	0.000134965	0.000218564	0.00128873	0.0039226	0.0199351	0.0525704	0.149499	0.299174	0.473183
a36	5.13565e-05	7.0114e-05	0.000139333	0.00019811	0.00113342	0.00364245	0.016859	0.044797	0.141118	0.298527	0.493464
a26	0.000222454	0.000300626	0.000489978	0.000351192	0.0013696	0.00433909	0.0192918	0.0591679	0.162743	0.292438	0.459287
a57	0.00315681	0.00258293	0.00237359	0.000923143	0.00304802	0.008274	0.0322776	0.0791188	0.155516	0.261438	0.451291
a97	0.0178833	0.011129	0.00789855	0.0051559	0.00690298	0.0101864	0.0348601	0.0724453	0.127537	0.258539	0.447463
a10	0.0347721	0.0173589	0.0116573	0.01017	0.0124313	0.0181162	0.0731831	0.140583	0.166779	0.235247	0.279701
a97	0.0202085	0.00809123	0.00419379	0.00616653	0.00868733	0.0135235	0.0670873	0.137106	0.196549	0.254503	0.283884
</S>	0.0124197	0.00562047	0.00310498	0.00637348	0.0136343	0.0184848	0.0727281	0.122318	0.186124	0.263868	0.295324
