 	sa	femme	est	bourée	de	dettes	</S>
a66	0.316596	0.311097	0.237551	0.0824095	0.025725	0.0147723	0.0118489
a87	0.477723	0.324802	0.150619	0.0328863	0.00550845	0.00409712	0.0043638
a23	0.520071	0.317523	0.119735	0.0231651	0.00516561	0.00595892	0.00838056
a83	0.410214	0.257497	0.13093	0.050959	0.0277816	0.0478006	0.0748182
a54	0.278397	0.245977	0.221156	0.100784	0.0355638	0.0484086	0.069714
a6	0.192327	0.266565	0.281424	0.192719	0.029521	0.0208033	0.0166409
a0	0.124475	0.228958	0.25076	0.348057	0.0310157	0.00976112	0.00697426
a75	0.151036	0.237152	0.239322	0.309757	0.0402686	0.0126485	0.00981565
a98	0.108829	0.169286	0.210492	0.390354	0.0729745	0.0272274	0.0208368
a92	0.0824604	0.149153	0.212951	0.343791	0.120715	0.051583	0.0393464
a56	0.085419	0.114386	0.141563	0.319471	0.158607	0.0982356	0.0823178
a96	0.105958	0.116872	0.13481	0.278004	0.180715	0.102687	0.0809544
a61	0.0729737	0.0726305	0.119346	0.229619	0.216659	0.152921	0.13585
a75	0.0474912	0.0424049	0.0668847	0.158505	0.246747	0.231298	0.206669
a92	0.00495318	0.00514903	0.012853	0.0573861	0.230112	0.314551	0.374995
a85	0.00204347	0.00207596	0.0057236	0.0322574	0.198345	0.333945	0.42561
a47	0.00123725	0.00129003	0.00398618	0.0247173	0.154963	0.329052	0.484755
a37	0.000204522	0.000165888	0.000413095	0.00442849	0.0753874	0.389426	0.529974
a75	0.000365476	0.000236718	0.000360128	0.00191112	0.0372067	0.342602	0.617317
a6	0.000245303	0.000194056	0.000510501	0.00244848	0.0358082	0.310456	0.650338
a37	0.00013515	8.58308e-05	0.000243592	0.00156977	0.0273341	0.265464	0.705168
a5	0.00128978	0.000981353	0.00176104	0.0047218	0.0314405	0.205735	0.75407
a36	0.00113999	0.000947182	0.00231391	0.00608669	0.0419634	0.228645	0.718904
a27	0.00661803	0.00474997	0.00605514	0.0121896	0.0580549	0.250777	0.661555
a82	0.0724643	0.0414745	0.0260707	0.0358476	0.106691	0.276882	0.440569
a87	0.351051	0.180801	0.068396	0.0343173	0.053332	0.118933	0.19317
a23	0.414437	0.275867	0.121161	0.0391663	0.0306876	0.0456337	0.0730471
a87	0.131157	0.0606904	0.0283727	0.0203498	0.0483497	0.186526	0.524554
</S>	0.0141717	0.00655717	0.00396987	0.00755181	0.0352653	0.233372	0.699112
