 	elle	a	mis	ses	anneaux	de	bras	et	de	pied	pour	aller	danser	</S>
a87	0.243077	0.15556	0.106757	0.0977804	0.0865018	0.0644846	0.0510282	0.0331076	0.029278	0.0252958	0.0239199	0.0276117	0.0279268	0.0276701
a23	0.254892	0.136981	0.088027	0.0701187	0.0558525	0.0438495	0.0224231	0.0161703	0.0165731	0.021114	0.0309278	0.050214	0.0818885	0.110969
a30	0.149375	0.13367	0.102056	0.0919396	0.0773545	0.0506009	0.0309185	0.0244336	0.0280898	0.0375153	0.048037	0.063884	0.065143	0.0969829
a53	0.120779	0.120004	0.0974658	0.0820313	0.0631969	0.0458514	0.0339644	0.0396735	0.0483764	0.0645583	0.0707197	0.0754672	0.0607898	0.0771223
a20	0.285542	0.222915	0.153131	0.112823	0.0716439	0.0487093	0.0306288	0.0158713	0.0148794	0.0130807	0.00920515	0.0067753	0.00631043	0.0084856
a30	0.257415	0.234476	0.16568	0.107696	0.0621598	0.0408713	0.0299784	0.0191886	0.0190869	0.0192626	0.014014	0.0113641	0.00819668	0.0106108
a35	0.247237	0.233105	0.180371	0.12344	0.0685944	0.0367214	0.0252545	0.0170081	0.0157217	0.0155705	0.0119882	0.0104591	0.00692202	0.00760702
a24	0.178236	0.193415	0.18161	0.142631	0.0892301	0.0503374	0.0395215	0.0285822	0.0246248	0.0214676	0.0168491	0.0146549	0.00909689	0.00974353
a35	0.141118	0.165112	0.179425	0.161876	0.116945	0.0707445	0.0449573	0.0281412	0.022371	0.019106	0.0156415	0.0141062	0.00976533	0.0106914
a30	0.111743	0.129823	0.158119	0.153333	0.126535	0.0847702	0.0597822	0.0408385	0.0325893	0.0278921	0.0233847	0.0211603	0.0141676	0.0158621
a14	0.0779066	0.087609	0.113478	0.12324	0.126049	0.116726	0.0936833	0.0645171	0.0505478	0.0412484	0.033962	0.0301634	0.0196659	0.0212044
a35	0.0589041	0.0571812	0.0731966	0.0815197	0.0969231	0.123489	0.114132	0.087329	0.0756388	0.0672618	0.0555658	0.0490887	0.0286136	0.0311565
a26	0.0428817	0.0464431	0.0621642	0.0731561	0.0948381	0.140892	0.129443	0.0949099	0.0828391	0.0713595	0.0561912	0.0483433	0.0279662	0.0285725
a24	0.0311149	0.0356322	0.043986	0.0539063	0.0664643	0.118588	0.121648	0.107151	0.100587	0.0951504	0.0751957	0.0651749	0.0405639	0.0448382
a71	0.0302879	0.0335174	0.043021	0.0582514	0.080913	0.142555	0.131604	0.101043	0.0889039	0.0826925	0.0675613	0.0592213	0.0378556	0.0425731
a38	0.0141767	0.0162989	0.018845	0.024276	0.0439583	0.144067	0.159206	0.139466	0.113675	0.0955099	0.0758702	0.0649348	0.0422332	0.0474824
a14	0.0109867	0.0128992	0.015332	0.0207921	0.0344108	0.120216	0.160178	0.151072	0.124489	0.107569	0.0857207	0.0711846	0.0414469	0.0437037
a35	0.021192	0.0261335	0.0360012	0.0453424	0.0613881	0.126022	0.138893	0.0982437	0.082785	0.0816856	0.0782943	0.0784849	0.0630377	0.0624972
a75	0.0122565	0.0143428	0.0192123	0.0230392	0.0330315	0.0819785	0.11965	0.117518	0.103177	0.107027	0.10523	0.103662	0.0775097	0.0823643
a14	0.0214149	0.0232079	0.0315986	0.0311387	0.0374155	0.0652509	0.0930725	0.106415	0.0993841	0.105509	0.108095	0.100129	0.08881	0.0885582
a73	0.0169625	0.0172459	0.021873	0.026165	0.0332387	0.060935	0.0853235	0.114555	0.114526	0.123406	0.113967	0.111431	0.0812592	0.0791117
a76	0.0143331	0.015864	0.0172052	0.0210759	0.0289619	0.0714472	0.105936	0.145134	0.133322	0.130665	0.10585	0.0880445	0.0621466	0.0600152
a73	0.0229445	0.0259728	0.0312385	0.0317754	0.0360511	0.063683	0.0728714	0.0826283	0.0935467	0.124155	0.124382	0.122617	0.0856702	0.0824639
a35	0.0133951	0.0129308	0.0140392	0.0157842	0.0196029	0.0488795	0.0741455	0.11096	0.116058	0.130724	0.124537	0.12567	0.095	0.098274
a54	0.0155258	0.0144834	0.0155914	0.0164785	0.019664	0.0450114	0.0537185	0.0637689	0.0780765	0.118894	0.132788	0.156437	0.130789	0.138774
a14	0.0266282	0.022273	0.0229889	0.0229915	0.0249736	0.0485755	0.0514911	0.0588217	0.0732799	0.111655	0.128376	0.153181	0.124856	0.129908
a44	0.0196661	0.0179655	0.0182509	0.0210262	0.0262243	0.0523719	0.0672251	0.0826358	0.0972367	0.125274	0.123373	0.133491	0.104906	0.110355
a38	0.0060278	0.00538618	0.00634645	0.00766245	0.011154	0.0364205	0.0513759	0.0653374	0.0785321	0.114336	0.135847	0.171909	0.14536	0.164305
a76	0.00492077	0.00435247	0.00472781	0.00556935	0.00862908	0.0313294	0.0502012	0.0728182	0.0888174	0.12529	0.143739	0.170592	0.141361	0.147652
a73	0.0179588	0.014772	0.0178767	0.0215203	0.0323846	0.059337	0.0672518	0.0676815	0.0772408	0.100654	0.125944	0.145145	0.12386	0.128372
a56	0.00564452	0.00505497	0.00599523	0.0076367	0.0114717	0.0342656	0.0446095	0.0613583	0.0797644	0.115783	0.136774	0.175043	0.149006	0.167593
a98	0.00814569	0.00680678	0.00752047	0.00898185	0.0179805	0.0457073	0.0558086	0.0645177	0.0817144	0.119452	0.14496	0.164321	0.138552	0.135532
a14	0.00719322	0.00558068	0.00600534	0.00730753	0.013143	0.036213	0.0447187	0.0542423	0.0724166	0.107089	0.13574	0.172607	0.164091	0.173653
a44	0.0110829	0.0087443	0.0101336	0.0126647	0.0217943	0.0554654	0.0624443	0.0626555	0.0732878	0.100003	0.121729	0.156237	0.142217	0.161541
a57	0.0100405	0.00741507	0.00723121	0.0071593	0.0115702	0.0405752	0.0520187	0.071803	0.0880525	0.115873	0.134519	0.165737	0.144705	0.1433
a58	0.00695473	0.00535328	0.00450029	0.00392539	0.00546829	0.0212045	0.0365877	0.0621701	0.0846578	0.119011	0.143883	0.175546	0.160075	0.170662
a53	0.0147199	0.0110195	0.00843526	0.00624639	0.00619357	0.015042	0.0219286	0.0360765	0.0568379	0.0937155	0.127826	0.174203	0.196117	0.231639
a4	0.00647649	0.00510747	0.00395904	0.00340694	0.0043453	0.0147592	0.0234177	0.0412281	0.0628255	0.101997	0.12697	0.175291	0.193285	0.236932
a13	0.00787564	0.00616283	0.00519501	0.00464998	0.0062971	0.0160965	0.0184904	0.0296332	0.0465971	0.0791574	0.113122	0.17053	0.214715	0.281477
a9	0.00830987	0.0067463	0.006059	0.00561447	0.0089035	0.0273492	0.03182	0.038824	0.0578972	0.0897809	0.128521	0.163397	0.198505	0.228273
a87	0.00555843	0.00432115	0.0036303	0.0032221	0.00421804	0.011731	0.0188492	0.0241931	0.0411964	0.0727087	0.113739	0.154272	0.239382	0.302978
a23	0.0271643	0.0214477	0.0157585	0.0109272	0.00836454	0.011445	0.0139703	0.0177551	0.0314022	0.0568305	0.0810583	0.12682	0.203289	0.373767
a83	0.0157131	0.0170073	0.015303	0.0149032	0.0103388	0.013582	0.0163807	0.0156843	0.0283522	0.049497	0.0831284	0.144432	0.218105	0.357572
a94	0.00380458	0.00315982	0.00249317	0.00211133	0.00258775	0.0110651	0.0221402	0.0337085	0.0590868	0.0900953	0.112774	0.144345	0.195449	0.31718
a96	0.00235983	0.00215361	0.00216722	0.00241597	0.00421019	0.0162184	0.028556	0.0422668	0.0734145	0.110104	0.126019	0.150864	0.170812	0.26844
a66	0.00186087	0.00197864	0.00206545	0.00245002	0.00400384	0.0116946	0.017245	0.02762	0.0568642	0.103509	0.132299	0.16697	0.179513	0.291927
a11	0.000695244	0.000682644	0.000686039	0.000811076	0.0016943	0.00758736	0.0127972	0.0206988	0.042165	0.0728305	0.105288	0.139435	0.216696	0.377933
a90	0.000517845	0.000468302	0.000452673	0.000526937	0.00104785	0.00481615	0.00780756	0.0144864	0.0344841	0.0675822	0.100166	0.145264	0.226307	0.396073
a13	0.000878568	0.000753425	0.000703976	0.000811723	0.00154723	0.00671518	0.0106936	0.0194467	0.0406279	0.0749342	0.10069	0.149247	0.213852	0.379098
