 	trois	mille	personnes	ont	péri	pendant	la	guerre	</S>
a84	0.279835	0.354665	0.178119	0.0877545	0.0563326	0.0219682	0.0110743	0.00632903	0.003923
a10	0.568937	0.233532	0.0695226	0.0367186	0.0252974	0.0140216	0.0170315	0.0191089	0.0158305
a87	0.31122	0.386349	0.172542	0.0534985	0.0259408	0.0124424	0.0104429	0.0136804	0.0138832
a23	0.393976	0.391785	0.115776	0.0305872	0.0167938	0.0108298	0.011772	0.0130336	0.0154463
a54	0.200279	0.246686	0.157743	0.0963812	0.0762154	0.053071	0.0568164	0.0509926	0.0618155
a47	0.170011	0.348661	0.19506	0.12373	0.0835824	0.0345245	0.0163339	0.0145837	0.0135135
a85	0.132119	0.36181	0.306827	0.0968387	0.0460326	0.0185969	0.0134937	0.013087	0.011195
a47	0.168776	0.269467	0.285482	0.126731	0.0675598	0.0402677	0.0183969	0.0122004	0.0111195
a36	0.147213	0.25877	0.302994	0.147961	0.0663155	0.0341488	0.0156677	0.0139852	0.0129455
a90	0.217988	0.303017	0.243747	0.110786	0.0457444	0.0261476	0.0167956	0.0185659	0.0172077
a25	0.206746	0.277924	0.252267	0.111658	0.0541626	0.0356132	0.0200197	0.0214964	0.0201125
a98	0.0778701	0.0845677	0.262745	0.194324	0.115577	0.0925168	0.0531424	0.0558226	0.0634341
a47	0.0771975	0.0724467	0.193898	0.191527	0.128664	0.116816	0.073726	0.0702321	0.0754926
a0	0.0340414	0.0250513	0.0988181	0.162838	0.137676	0.131723	0.0941239	0.137608	0.17812
a98	0.0256641	0.0182273	0.0511411	0.108306	0.108364	0.130687	0.105659	0.195299	0.256652
a47	0.0108054	0.00951125	0.0351613	0.10603	0.126611	0.168961	0.164446	0.163512	0.214961
a79	0.00194118	0.00164525	0.00603242	0.0271984	0.0461868	0.0902391	0.134359	0.275005	0.417393
a98	0.00299354	0.00269923	0.00881044	0.03286	0.0500188	0.0884785	0.137188	0.275842	0.401109
a73	0.00173927	0.00165092	0.00557827	0.0270954	0.046945	0.083769	0.152956	0.269414	0.410852
a98	0.000528154	0.000481274	0.000930809	0.00350895	0.00685602	0.0228226	0.0705779	0.279495	0.614799
a92	0.000243043	0.000246184	0.000687949	0.00337009	0.00727171	0.0225226	0.0808441	0.267929	0.616885
a37	0.000279238	0.000302633	0.000683447	0.00341352	0.00658582	0.0211577	0.0829633	0.281806	0.602808
a12	0.000820906	0.000556768	0.000776644	0.0027364	0.0041598	0.0125858	0.0579823	0.297385	0.622996
a75	0.000760641	0.000413499	0.000727394	0.00320912	0.00486945	0.0135847	0.0571901	0.278138	0.641107
a47	0.000337391	0.000326841	0.000504602	0.00219506	0.00340784	0.0095651	0.0465651	0.240927	0.696171
a36	0.00233563	0.00162061	0.00291369	0.0101522	0.014522	0.0380197	0.100612	0.278282	0.551542
a2	0.0153747	0.0124899	0.0170644	0.0352218	0.0437454	0.0663902	0.112441	0.285014	0.412258
a57	0.11092	0.114683	0.0698549	0.08551	0.0800878	0.0849264	0.081893	0.150591	0.221534
a10	0.359858	0.220396	0.062233	0.0469803	0.0384895	0.0395577	0.0420268	0.0696441	0.120815
a87	0.265022	0.147829	0.0497451	0.0468806	0.0451142	0.0605473	0.0822968	0.120141	0.182424
a23	0.170362	0.123887	0.0435204	0.0524333	0.0582355	0.0900014	0.132938	0.141865	0.186757
a99	0.0326831	0.0200409	0.00950544	0.0141831	0.0186656	0.0390408	0.0908035	0.246254	0.528823
a97	0.0127567	0.00733559	0.00744201	0.0175783	0.0194283	0.0338875	0.0764076	0.270955	0.554209
</S>	0.0111492	0.00730814	0.00726828	0.0191412	0.0200349	0.0366502	0.0816194	0.246925	0.569904
