 	maman	a	caché	le	pannier	sous	le	lit	</S>
a66	0.34543	0.166405	0.108039	0.0987971	0.102555	0.0767012	0.0526835	0.0287851	0.0206032
a87	0.346015	0.2485	0.19136	0.126335	0.0300536	0.0196274	0.0139422	0.0114093	0.0127574
a23	0.300773	0.210712	0.226489	0.175927	0.0274484	0.0147146	0.0114178	0.0131167	0.0194021
a99	0.272297	0.229652	0.224699	0.128774	0.014993	0.0126238	0.0175935	0.0351193	0.064248
a54	0.25091	0.182462	0.215602	0.0887797	0.0232487	0.0284562	0.038874	0.0668821	0.104786
a47	0.271274	0.237257	0.170424	0.11971	0.0447391	0.0317119	0.0342567	0.0429799	0.0476469
a6	0.132597	0.203979	0.158175	0.128834	0.0772314	0.070472	0.0732321	0.078733	0.0767466
a43	0.106729	0.229044	0.196385	0.144168	0.0846868	0.0757445	0.0665794	0.0527844	0.0438777
a25	0.072381	0.174753	0.200515	0.176708	0.110309	0.100275	0.0702387	0.051669	0.0431524
a69	0.0699202	0.1183	0.125607	0.148031	0.175594	0.163292	0.0949161	0.058657	0.0456832
a15	0.0516195	0.0937335	0.101861	0.111286	0.14669	0.179515	0.136214	0.0946947	0.0843873
a47	0.0496815	0.0704863	0.0927431	0.119694	0.176142	0.173235	0.117446	0.0940418	0.106531
a92	0.0561859	0.0561618	0.0687852	0.0898415	0.121762	0.121023	0.134141	0.137101	0.214999
a37	0.0360854	0.0371354	0.0527727	0.0876948	0.158998	0.169694	0.16231	0.138323	0.156987
a43	0.0215373	0.0209313	0.0304062	0.0461973	0.08494	0.121875	0.159027	0.223816	0.29127
a93	0.00813864	0.0085049	0.0131645	0.0183773	0.0435327	0.0849336	0.13391	0.239297	0.450141
a70	0.00387839	0.00339754	0.00488072	0.00809882	0.0204389	0.0576232	0.120178	0.255176	0.526329
a47	0.0028269	0.00264767	0.00311223	0.0040598	0.0095161	0.0288317	0.0817564	0.247084	0.620165
a31	0.00202492	0.00191192	0.00234964	0.00233991	0.00561762	0.0208083	0.0690024	0.236804	0.659141
a88	0.000796394	0.000829497	0.00113688	0.00115576	0.00295447	0.0124286	0.0504889	0.207543	0.722666
a9	0.00219322	0.00208863	0.00262051	0.00290613	0.00967975	0.030538	0.0875389	0.228667	0.633768
a10	0.0521082	0.0353363	0.0297522	0.038263	0.0819105	0.0856999	0.116171	0.19074	0.370019
a87	0.333479	0.17011	0.124387	0.111792	0.0587178	0.046772	0.0440267	0.0480442	0.0626707
a23	0.267339	0.165213	0.174879	0.175263	0.0742828	0.0493256	0.037152	0.0284814	0.0280629
a87	0.0850351	0.0504477	0.0590567	0.0737327	0.0460735	0.0635219	0.0848614	0.167304	0.369967
</S>	0.00938445	0.0060194	0.00969919	0.0165292	0.0342111	0.075982	0.109799	0.231574	0.506802
