 	cet	homme	est	encore	célibataire	</S>
a87	0.543711	0.224997	0.124467	0.0593322	0.0279607	0.0195333
a23	0.514518	0.148295	0.0802566	0.0742077	0.0936605	0.0890626
a50	0.449201	0.260516	0.138223	0.0534807	0.0438848	0.0546941
a62	0.53886	0.247985	0.122797	0.0537777	0.0232643	0.0133158
a83	0.459169	0.337754	0.156478	0.0325195	0.00929278	0.00478664
a70	0.348971	0.354594	0.221159	0.0505264	0.0163108	0.00843866
a98	0.190309	0.296679	0.334096	0.124782	0.0352417	0.0188919
a85	0.186125	0.287563	0.330171	0.139516	0.0366587	0.0199666
a37	0.161972	0.253518	0.291223	0.171657	0.0738873	0.0477424
a12	0.209998	0.250073	0.266382	0.162809	0.0606977	0.0500413
a31	0.141393	0.162158	0.214419	0.271788	0.122451	0.0877915
a0	0.0771148	0.0820125	0.125727	0.312055	0.232085	0.171006
a75	0.0900904	0.0883055	0.104175	0.252583	0.263713	0.201132
a85	0.0780989	0.0646909	0.0645877	0.125954	0.218175	0.448493
a2	0.0485115	0.0419267	0.0473973	0.114431	0.270057	0.477677
a57	0.0376987	0.0298702	0.0285298	0.0662742	0.202257	0.63537
a38	0.0122012	0.0076096	0.0105295	0.0371722	0.193938	0.738549
a21	0.00983346	0.00499208	0.00798053	0.0420825	0.218514	0.716597
a47	0.00454666	0.00367376	0.00602772	0.0309879	0.180356	0.774408
a62	0.00248851	0.00217881	0.00510325	0.0418299	0.23907	0.70933
a83	0.00595668	0.00518341	0.0110054	0.0609589	0.250873	0.666023
a9	0.00503852	0.00380422	0.00839713	0.0582805	0.246751	0.677728
a87	0.0531013	0.0259977	0.0318179	0.0985464	0.253787	0.53675
a23	0.317297	0.181802	0.123572	0.124233	0.120682	0.132414
a87	0.116578	0.0932652	0.109278	0.201403	0.227172	0.252303
</S>	0.0434511	0.0357138	0.0522207	0.13182	0.270175	0.466619
