 	sa	gorge	est	sèche	</S>
a66	0.366111	0.227538	0.18546	0.134262	0.0866298
a87	0.290124	0.283013	0.227411	0.116469	0.0829828
a23	0.542443	0.241652	0.101808	0.0612135	0.0528842
a30	0.54708	0.221344	0.0948234	0.0672906	0.0694615
a93	0.477037	0.212593	0.111382	0.0954166	0.103571
a90	0.364646	0.263959	0.135519	0.123558	0.112317
a93	0.27457	0.31242	0.194228	0.123715	0.0950677
a90	0.182037	0.275462	0.230666	0.16234	0.149497
a69	0.233946	0.288511	0.210691	0.133745	0.133107
a75	0.19479	0.235833	0.195452	0.162012	0.211912
a25	0.130031	0.167536	0.216615	0.216362	0.269456
a79	0.163769	0.177975	0.21999	0.200933	0.237334
a56	0.111535	0.135892	0.202178	0.244716	0.305679
a75	0.0906116	0.0994122	0.182164	0.272883	0.354928
a34	0.0377121	0.0477947	0.141163	0.313465	0.459866
a21	0.0210252	0.0232045	0.0695468	0.268524	0.6177
a61	0.0135849	0.0151218	0.0481878	0.242287	0.680819
a62	0.0131246	0.0138685	0.036099	0.189487	0.747421
a75	0.0174833	0.0254116	0.0590848	0.213947	0.684073
a96	0.01595	0.0202368	0.0441349	0.192887	0.726791
a66	0.0150523	0.0216505	0.0514535	0.217917	0.693926
a71	0.0533243	0.0576839	0.103631	0.267658	0.517703
a9	0.175348	0.113683	0.142261	0.22834	0.340368
a99	0.446264	0.168455	0.134016	0.122588	0.128677
a87	0.343017	0.179326	0.135325	0.137234	0.205098
a23	0.249318	0.127581	0.121835	0.182211	0.319055
a87	0.161548	0.0845025	0.0860189	0.191272	0.476658
</S>	0.0666409	0.0586589	0.09178	0.227242	0.555678
