 	elle	oint	le	fétiche	avec	de	la	poudre	de	bois	rouge	et	de	l'	huile	</S>
a54	0.00663415	0.00848493	0.0122483	0.0188799	0.0260354	0.0273087	0.0244265	0.0248322	0.0242695	0.0332847	0.0308666	0.0352608	0.0521254	0.0999568	0.21594	0.359446
a73	0.0105367	0.0141045	0.019358	0.0296052	0.041554	0.0402871	0.0327673	0.0330072	0.0321843	0.0427911	0.0399009	0.0423631	0.0606595	0.095068	0.175979	0.289834
a69	0.00529357	0.00808755	0.0130096	0.0207333	0.0297394	0.0303972	0.0254533	0.0266243	0.0276311	0.0362898	0.0336861	0.0393566	0.059814	0.104733	0.209526	0.329625
a4	0.00348749	0.00646148	0.0123767	0.0231277	0.0320166	0.0316921	0.0255178	0.0246339	0.0219792	0.0298131	0.0274448	0.0317837	0.045019	0.0838064	0.204881	0.395959
a53	0.00327522	0.00455945	0.0083359	0.015137	0.0238601	0.0251296	0.0192104	0.0173292	0.0171051	0.0219466	0.0196414	0.0229011	0.0402993	0.0945588	0.234883	0.431828
a69	0.0053334	0.00559362	0.00833095	0.0130653	0.0206321	0.021739	0.016306	0.0157717	0.0167762	0.0213189	0.0188373	0.0213053	0.0416226	0.103629	0.248668	0.421071
a84	0.00494825	0.00510158	0.00751601	0.0115484	0.018666	0.0205086	0.0154296	0.0150641	0.0158462	0.0190878	0.0169952	0.0197302	0.0388633	0.100052	0.253521	0.437121
a82	0.00503618	0.00538997	0.00740914	0.00683459	0.00972284	0.0111491	0.00828558	0.00806288	0.00942555	0.0133195	0.0131752	0.019887	0.0422273	0.104991	0.256678	0.478407
a87	0.00629601	0.00516995	0.00555678	0.00422561	0.0055772	0.00697956	0.0050832	0.00500243	0.00826172	0.0121187	0.0119299	0.0187032	0.0424431	0.104545	0.256257	0.50185
</S>	0.0120873	0.00863318	0.00891231	0.00544258	0.00833571	0.0116421	0.00894565	0.00804285	0.0156223	0.0219376	0.018104	0.0239889	0.0529938	0.124952	0.245123	0.425237
