 	ce	poisson	a	beaucoup	d'	arêtes	</S>
a23	0.403088	0.205657	0.113189	0.0811497	0.0812195	0.0657892	0.0499072
a85	0.522015	0.194176	0.107988	0.0789065	0.0424943	0.0231719	0.0312489
a87	0.351725	0.236364	0.143001	0.0898917	0.062457	0.0509769	0.0655853
a23	0.310879	0.243131	0.205203	0.126924	0.0502529	0.0278424	0.0357663
a10	0.372228	0.206188	0.143983	0.0878784	0.0496662	0.048742	0.0913145
a20	0.321436	0.233315	0.159381	0.0949145	0.0542263	0.0562175	0.0805096
a32	0.306851	0.295812	0.184935	0.0991734	0.050716	0.0340113	0.0285004
a20	0.248752	0.293858	0.238183	0.134002	0.051212	0.021541	0.0124518
a84	0.187578	0.227652	0.236762	0.185112	0.0897633	0.0463905	0.0267424
a40	0.157323	0.170847	0.200466	0.212561	0.140096	0.0733216	0.0453864
a73	0.158066	0.193939	0.215403	0.197799	0.119763	0.0730526	0.0419783
a26	0.19836	0.225842	0.221385	0.181435	0.0988707	0.0494726	0.0246347
a24	0.115694	0.133539	0.172678	0.207075	0.187664	0.118114	0.0652367
a41	0.0988257	0.104984	0.13606	0.16015	0.174604	0.1739	0.151476
a24	0.0762327	0.0775802	0.110675	0.156052	0.186714	0.185036	0.20771
a98	0.053693	0.0520691	0.0692848	0.104736	0.166223	0.219137	0.334858
a73	0.053502	0.0470654	0.0580341	0.0848624	0.145824	0.196498	0.414214
a84	0.0378268	0.0308647	0.0374172	0.0549021	0.125438	0.222	0.491551
a53	0.0106875	0.0100964	0.0192802	0.0394801	0.100412	0.218842	0.601202
a69	0.0384104	0.0267732	0.0277041	0.037688	0.0879986	0.199366	0.58206
a15	0.0268769	0.0186405	0.0208642	0.0279945	0.0617342	0.159738	0.684151
a41	0.0210593	0.0112983	0.0123082	0.018467	0.0464363	0.13264	0.757791
a94	0.0566984	0.0296542	0.0289976	0.0398603	0.0862917	0.205094	0.553404
a38	0.0201346	0.0143811	0.0198523	0.0289629	0.0581289	0.143999	0.714541
a0	0.0259247	0.0128506	0.0142754	0.022391	0.0555509	0.165594	0.703413
a24	0.0379911	0.0203779	0.0192704	0.0275476	0.0686006	0.188761	0.637451
a9	0.0664621	0.0291588	0.0272468	0.0363419	0.0729227	0.166184	0.601684
a87	0.0366117	0.0152929	0.0147973	0.0218749	0.0563137	0.176927	0.678183
</S>	0.0740449	0.0445168	0.0263456	0.0336037	0.0933821	0.195108	0.532999
