 	les	jeunes	ont	déjà	troué	le	barrage	que	j'	avais	construit	dans	le	ruisseau	</S>
a66	0.144494	0.129474	0.12669	0.112101	0.0760579	0.0586795	0.0621265	0.0801349	0.0784923	0.0639675	0.0340882	0.0144584	0.00763655	0.00626858	0.00533165
a87	0.244606	0.138285	0.0988458	0.0589927	0.0358524	0.0347177	0.040068	0.0510516	0.0563117	0.0458536	0.0418917	0.0368989	0.0371058	0.0411338	0.0383851
a23	0.236803	0.13099	0.0803546	0.0626839	0.0560244	0.0460798	0.0600188	0.0715628	0.0666539	0.0531325	0.0432863	0.0281402	0.0205384	0.0210528	0.0226789
a87	0.233262	0.106573	0.0570967	0.0492575	0.0541861	0.0423975	0.048837	0.0635812	0.0707701	0.0628713	0.061791	0.0444225	0.0350347	0.03431	0.0356094
a99	0.15297	0.0844465	0.0517811	0.0493335	0.0578431	0.0464361	0.0594724	0.0755147	0.0858383	0.0812446	0.0816384	0.0563412	0.0426024	0.037149	0.0373886
a54	0.135693	0.0790373	0.057002	0.0549348	0.050164	0.0419868	0.057718	0.0720981	0.0751792	0.0762117	0.0787997	0.0720964	0.0559717	0.0492591	0.0438482
a92	0.196926	0.129639	0.0959605	0.0639896	0.0420499	0.0328412	0.0360979	0.0452457	0.0418921	0.0330115	0.0347058	0.0634514	0.0619705	0.0654015	0.0568169
a79	0.181498	0.16547	0.117938	0.0750915	0.0566579	0.0418062	0.0399879	0.0418298	0.0322026	0.0234155	0.0255968	0.0482182	0.0540515	0.0525269	0.0437081
a98	0.166253	0.14352	0.111401	0.0872639	0.0812327	0.0579459	0.0496307	0.0506474	0.0416299	0.0303786	0.0302839	0.0412135	0.0385365	0.037042	0.0330211
a47	0.0865392	0.11414	0.124925	0.117856	0.106895	0.0685859	0.060846	0.0631117	0.0501969	0.0338342	0.0345523	0.0368476	0.0336611	0.0331518	0.0348577
a6	0.0661602	0.075016	0.093749	0.106657	0.0983336	0.0682996	0.0607724	0.0637903	0.0503181	0.0325949	0.0352053	0.0452842	0.0542024	0.0728554	0.076762
a37	0.0762932	0.0860336	0.0967814	0.102574	0.11336	0.088326	0.0736371	0.0751807	0.061417	0.0405941	0.0333873	0.0276476	0.029499	0.0422169	0.0530522
a61	0.059215	0.0730647	0.086748	0.0943815	0.109087	0.103354	0.0927394	0.0978985	0.0809949	0.056437	0.0392657	0.0263493	0.0220804	0.0256482	0.0327364
a0	0.0366065	0.0481537	0.0652914	0.074306	0.0900867	0.112612	0.10941	0.121363	0.105275	0.0782092	0.0494431	0.0290003	0.0236367	0.0254439	0.0311632
a75	0.0162649	0.0229815	0.0411968	0.0645095	0.0959918	0.133159	0.129969	0.138358	0.119581	0.0824085	0.047959	0.028327	0.0230797	0.025451	0.0307638
a6	0.00764278	0.010172	0.0191825	0.0314989	0.0514178	0.077165	0.0822581	0.101141	0.0986004	0.0846781	0.075294	0.0663655	0.0724145	0.0982106	0.123959
a37	0.00555617	0.00798686	0.0178786	0.0343465	0.0598194	0.0940315	0.106988	0.125787	0.117897	0.0933899	0.0671257	0.047683	0.0510935	0.0722113	0.0982052
a0	0.00690238	0.00857887	0.0163338	0.0321528	0.0600063	0.105462	0.124997	0.139949	0.129978	0.100975	0.0616795	0.0382989	0.0388813	0.0552836	0.0805223
a11	0.00729913	0.00856598	0.0148627	0.0280445	0.0540292	0.0990331	0.138223	0.14418	0.138755	0.116495	0.0660388	0.0328935	0.0323011	0.0490506	0.0702282
a93	0.0080664	0.00919638	0.0141683	0.0235477	0.0432796	0.0829327	0.120948	0.129707	0.137134	0.129404	0.0840588	0.0416336	0.0407402	0.059869	0.0753145
a70	0.00546033	0.00614122	0.0101576	0.0181573	0.0326796	0.0679258	0.0859258	0.101375	0.111893	0.106345	0.0911461	0.0731432	0.074586	0.0967911	0.118272
a11	0.00494145	0.00562977	0.00932008	0.015981	0.0268057	0.0559504	0.0841082	0.0917861	0.0988054	0.104056	0.0948667	0.0738348	0.0817171	0.114565	0.137633
a93	0.00516723	0.00583229	0.00910835	0.0141781	0.0226089	0.0473615	0.0738543	0.081614	0.0894349	0.0971891	0.0946335	0.0754951	0.0918215	0.135446	0.156255
a90	0.00266922	0.00286307	0.00479249	0.00857422	0.0163798	0.0372812	0.0559511	0.0633808	0.0738957	0.084433	0.103924	0.11217	0.124584	0.150891	0.158212
a4	0.00201661	0.00223347	0.00385262	0.00744041	0.014562	0.0320561	0.0535864	0.0635338	0.0749421	0.0918225	0.120252	0.112805	0.114162	0.141635	0.1651
a94	0.00140285	0.00156044	0.00286348	0.00521903	0.0094062	0.0224	0.0408422	0.0478538	0.055489	0.0662839	0.095595	0.113864	0.14751	0.183369	0.206342
a47	0.000964264	0.00108848	0.00197052	0.00351034	0.00612145	0.0150432	0.0271478	0.031543	0.0359126	0.0423921	0.0678082	0.0969961	0.158275	0.235696	0.275531
a31	0.000832671	0.000844149	0.00143603	0.00257407	0.00427905	0.0100409	0.0180486	0.0207559	0.0235819	0.0275408	0.0383183	0.0685172	0.157118	0.272637	0.353475
a0	0.000650998	0.000715955	0.00111761	0.0016656	0.00268834	0.00638489	0.00890052	0.0103169	0.0117286	0.0139302	0.0253321	0.0598475	0.156898	0.292172	0.407651
a34	0.000743824	0.000822999	0.00140354	0.00208935	0.00284671	0.00630342	0.00900652	0.0106965	0.0112623	0.0119655	0.0186054	0.0493641	0.141076	0.280246	0.453568
a56	0.000310762	0.000410118	0.00079583	0.00137055	0.00213777	0.00472186	0.00663631	0.0076603	0.00792586	0.00829201	0.0144258	0.0401651	0.129622	0.290234	0.485292
a25	0.000210512	0.000285406	0.000541713	0.000857367	0.00132551	0.00298296	0.00425502	0.0050218	0.00543764	0.0062396	0.0131068	0.0436969	0.141866	0.3024	0.471772
a69	0.000133948	0.000162458	0.000308522	0.000554918	0.00104178	0.00223171	0.00316261	0.0037965	0.00459224	0.00495176	0.00942353	0.0302144	0.111147	0.28949	0.538788
a98	0.000304071	0.000351218	0.000594782	0.0010128	0.00195035	0.00425263	0.00746894	0.00927526	0.0106244	0.0121797	0.0200261	0.0409373	0.117317	0.281115	0.49259
a6	0.000279239	0.000305213	0.000486373	0.000804183	0.00159771	0.00353123	0.00585432	0.00713486	0.00794381	0.00864872	0.0147499	0.0338798	0.102223	0.256522	0.556039
a37	0.0002402	0.000273071	0.000456641	0.000762872	0.00152086	0.00340319	0.00550309	0.00709016	0.00825028	0.00904605	0.0150307	0.0351453	0.0999692	0.241204	0.572104
a62	0.000511811	0.000572998	0.000969102	0.00140659	0.00208773	0.00403253	0.0059738	0.00751278	0.00844975	0.008996	0.0131516	0.0406964	0.11458	0.254526	0.536533
a88	0.000975013	0.00111746	0.00163318	0.00194428	0.00252001	0.00442894	0.00501713	0.0060983	0.00719845	0.0079725	0.0160245	0.0492759	0.124632	0.259102	0.51206
