 	le	fleuve	alima	est	profond	</S>
a23	0.522006	0.16136	0.106131	0.0754272	0.0701623	0.064914
a99	0.63761	0.176636	0.0822301	0.0499903	0.0322217	0.0213125
a54	0.418895	0.194013	0.160203	0.0782971	0.0725569	0.0760353
a6	0.356785	0.150241	0.136485	0.117295	0.122746	0.116448
a5	0.301486	0.228992	0.308169	0.0987312	0.0414396	0.0211816
a61	0.18268	0.172229	0.3026	0.151377	0.100939	0.0901745
a96	0.278296	0.144554	0.290731	0.124249	0.0929596	0.0692115
a12	0.132049	0.1334	0.288271	0.218052	0.146682	0.0815472
a61	0.122979	0.114774	0.255896	0.222231	0.173406	0.110713
a31	0.0607791	0.0783505	0.12956	0.252138	0.29538	0.183793
a88	0.0259651	0.040445	0.0719619	0.244367	0.389487	0.227774
a31	0.031919	0.0431427	0.0627636	0.17592	0.336669	0.349586
a62	0.017053	0.0251914	0.0380368	0.143887	0.366596	0.409235
a96	0.00760206	0.0135609	0.0242794	0.118884	0.362121	0.473553
a18	0.00567473	0.0115571	0.0213659	0.0994757	0.346413	0.515513
a71	0.00685211	0.00760855	0.0145343	0.0686445	0.224963	0.677397
a9	0.0121458	0.00996416	0.0165122	0.0530444	0.182351	0.725982
a97	0.107614	0.0641921	0.0618791	0.0945423	0.188205	0.483567
a87	0.369245	0.205259	0.104856	0.100581	0.0964599	0.123598
a23	0.282731	0.172863	0.0950171	0.120922	0.140199	0.188269
a87	0.271291	0.159967	0.074486	0.0751149	0.125289	0.293852
a30	0.098056	0.107083	0.0716742	0.0871828	0.147619	0.488385
</S>	0.180753	0.24331	0.129295	0.0938116	0.0840513	0.268779
