 	ce	cadavre	est	déjà	raide	</S>
a66	0.1911	0.286202	0.374881	0.123438	0.014763	0.00961693
a87	0.304587	0.292205	0.304926	0.0695649	0.012934	0.0157832
a23	0.456618	0.361117	0.135135	0.0342246	0.00658992	0.00631507
a87	0.511868	0.366533	0.0887128	0.0146575	0.00619586	0.0120331
a23	0.425591	0.370013	0.149927	0.0358065	0.0086427	0.0100196
a18	0.41821	0.374792	0.116427	0.0354012	0.0244343	0.030735
a88	0.297102	0.370686	0.210107	0.0858212	0.0227744	0.0135097
a71	0.187031	0.261759	0.272984	0.14368	0.0905804	0.0439655
a62	0.108432	0.173708	0.246568	0.234444	0.145838	0.0910094
a88	0.044656	0.0741304	0.204564	0.337165	0.228201	0.111283
a62	0.0652202	0.0928639	0.159194	0.299248	0.251529	0.131944
a21	0.0314101	0.0483336	0.132296	0.435259	0.223712	0.12899
a12	0.031564	0.0476543	0.113581	0.330233	0.266448	0.21052
a96	0.0290996	0.0415139	0.0774333	0.272294	0.26627	0.313388
a88	0.014619	0.0171139	0.030669	0.204438	0.31322	0.41994
a0	0.00947845	0.0109737	0.0193842	0.126322	0.323752	0.510089
a90	0.0064982	0.00823042	0.0142297	0.0720701	0.284784	0.614187
a56	0.00425343	0.00433126	0.00589399	0.027525	0.151217	0.80678
a43	0.00170322	0.00150819	0.00194403	0.0127018	0.134878	0.847264
a0	0.00136862	0.00146672	0.00224269	0.0139136	0.116801	0.864207
a21	0.00280492	0.00333187	0.00568051	0.0230505	0.121292	0.84384
a47	0.00162512	0.00146722	0.00259444	0.00900479	0.0598173	0.925491
a21	0.000668777	0.000602742	0.00103054	0.00593438	0.0676579	0.924106
a6	0.00131499	0.00128826	0.00236845	0.0110655	0.0864888	0.897474
a36	0.000637387	0.000458761	0.00119225	0.00527144	0.0600062	0.932434
a2	0.00333476	0.00309938	0.00704337	0.0173744	0.0601325	0.909016
a57	0.0920067	0.0533057	0.0702	0.0902547	0.144771	0.549461
a87	0.461642	0.227909	0.106885	0.0460352	0.0449695	0.112559
a23	0.295377	0.198242	0.151994	0.0871719	0.0763604	0.190856
a87	0.131344	0.0609745	0.0563875	0.0322961	0.0717568	0.647241
a97	0.00854286	0.00382671	0.00386906	0.00538877	0.0674522	0.91092
</S>	0.0364883	0.0244247	0.0260134	0.044806	0.145378	0.722889
