 	de	la	manière	dont	on	l'	a	poignardé	il	ne	survivra	pas	</S>
a66	0.186707	0.137294	0.105139	0.113926	0.0962133	0.0861401	0.0747425	0.0673787	0.0533805	0.0376777	0.0170836	0.0129249	0.0113927
a87	0.288951	0.191144	0.131084	0.10945	0.0705359	0.0522861	0.0382371	0.0247944	0.021036	0.0207233	0.0130622	0.0204111	0.018286
a23	0.259778	0.17168	0.118564	0.1208	0.0672222	0.0548227	0.048142	0.0304215	0.0277696	0.0325452	0.0199141	0.0225175	0.0258226
a18	0.226128	0.205851	0.150944	0.0989341	0.0457928	0.0366221	0.0366467	0.0284331	0.0310452	0.0326107	0.0282513	0.028649	0.050092
a83	0.171489	0.173113	0.171847	0.115207	0.0533476	0.0389827	0.0354325	0.0276208	0.0308996	0.0368366	0.0367103	0.0473967	0.0611167
a61	0.268348	0.280781	0.183209	0.105291	0.0406488	0.0231178	0.0155868	0.009773	0.00955113	0.0133018	0.0157835	0.0163231	0.0182851
a12	0.206209	0.287207	0.231369	0.130846	0.0488057	0.0236321	0.0130236	0.00835253	0.00741617	0.00994942	0.0140201	0.0101186	0.00905036
a62	0.164734	0.23401	0.238483	0.162395	0.0689352	0.0338247	0.0215714	0.0119797	0.00993549	0.0102725	0.015588	0.0145415	0.0137296
a21	0.137576	0.18673	0.22603	0.186974	0.0973387	0.0482533	0.0316564	0.0170903	0.0134611	0.0121762	0.0164858	0.0141604	0.0120674
a12	0.0959175	0.134982	0.195543	0.193181	0.134045	0.0728327	0.0514437	0.0295966	0.0211511	0.0156143	0.018152	0.0195315	0.0180091
a61	0.086079	0.11885	0.190361	0.187719	0.12919	0.0784157	0.0592765	0.0377988	0.0279456	0.0215306	0.0214761	0.0220401	0.0193173
a21	0.0542697	0.0812907	0.154341	0.185031	0.152923	0.0993441	0.0785466	0.0514911	0.0372652	0.028666	0.0262454	0.0265635	0.0240225
a5	0.048014	0.0580522	0.0923453	0.133025	0.143289	0.112367	0.105672	0.0865794	0.0630622	0.0453091	0.0356929	0.0386539	0.0379373
a98	0.0317469	0.0421064	0.0677765	0.107608	0.135089	0.120555	0.126315	0.108126	0.0832448	0.0539055	0.0408158	0.0410121	0.0416974
a47	0.0133829	0.0185169	0.0385795	0.078325	0.147157	0.141317	0.137489	0.105315	0.0822059	0.0594606	0.0443117	0.0616926	0.0722473
a79	0.010551	0.0123142	0.0195048	0.0460744	0.103509	0.126122	0.145338	0.147498	0.103943	0.0706454	0.0511378	0.0646944	0.0986675
a15	0.0098698	0.0112867	0.0173657	0.0391069	0.0943206	0.129532	0.163751	0.14825	0.112861	0.0683078	0.0473432	0.063118	0.0948875
a47	0.0054192	0.00629704	0.00965873	0.0210235	0.0537172	0.0847361	0.134641	0.150729	0.135582	0.105147	0.0729919	0.0891551	0.130901
a36	0.0120399	0.0139372	0.0163784	0.0284637	0.0578909	0.0878755	0.132575	0.177141	0.149368	0.0912668	0.0620252	0.0660629	0.104975
a7	0.0155778	0.0186092	0.0258656	0.0388883	0.0591075	0.0778297	0.109296	0.140682	0.14451	0.0921188	0.0734925	0.0769585	0.127064
a2	0.018245	0.0173019	0.0189696	0.026672	0.0398514	0.0553719	0.0911175	0.125117	0.162958	0.102819	0.084061	0.091267	0.166248
a57	0.0307502	0.0330669	0.0334229	0.0463115	0.0545097	0.0748634	0.113653	0.172265	0.158207	0.0867209	0.0521351	0.0564607	0.0876332
a87	0.0348778	0.0338126	0.0334046	0.0469814	0.0553825	0.0740768	0.117068	0.163642	0.14048	0.0836639	0.055977	0.0625017	0.0981311
a40	0.0998155	0.0668589	0.0430478	0.0405664	0.0484804	0.0544365	0.0644998	0.0724849	0.0785106	0.09767	0.100074	0.107345	0.12621
a36	0.0120872	0.0111888	0.0146612	0.0198654	0.0341975	0.0360026	0.0373382	0.0342879	0.0439243	0.0833681	0.190409	0.230242	0.252429
a26	0.00175847	0.00217923	0.00426784	0.00903059	0.020944	0.0235072	0.0282989	0.0291779	0.0333827	0.0583047	0.15697	0.274316	0.357863
a93	0.00169434	0.00170097	0.00300134	0.00559135	0.0110501	0.0141872	0.0250419	0.0262987	0.0411396	0.0688038	0.11866	0.27669	0.40614
a70	0.0021367	0.00225554	0.00288791	0.0054268	0.011635	0.0162521	0.0332981	0.041232	0.0505187	0.0762911	0.134975	0.255088	0.368004
a13	0.00221291	0.00221063	0.00323125	0.00526353	0.00873541	0.0105702	0.0200388	0.0265484	0.0363302	0.0690025	0.140991	0.274667	0.400198
a62	0.00291613	0.00266796	0.00409695	0.00633498	0.00962248	0.0106423	0.0188065	0.0223336	0.0383775	0.07045	0.116783	0.276786	0.420182
a75	0.00331308	0.00333047	0.00515894	0.00757392	0.0113016	0.0122793	0.0193038	0.022512	0.0346437	0.0689534	0.137542	0.271353	0.402735
a6	0.00133276	0.00154616	0.00268004	0.0054098	0.0102995	0.0141626	0.0265574	0.0399717	0.0453728	0.0737136	0.140268	0.233511	0.405175
a36	0.000609946	0.000752038	0.00139141	0.0030768	0.00694012	0.0103588	0.0208092	0.0313874	0.0382807	0.0666099	0.142566	0.248961	0.428257
a26	0.000756059	0.000730418	0.00110638	0.00191131	0.00362707	0.00506512	0.00837877	0.0104318	0.0171521	0.0413852	0.116969	0.311055	0.481432
a2	0.0192907	0.016457	0.0164055	0.0245492	0.0270257	0.0304991	0.0332784	0.0479897	0.0604438	0.084893	0.117064	0.234676	0.287427
a57	0.0391994	0.025747	0.018847	0.0240977	0.0293967	0.0334842	0.033091	0.0446005	0.052913	0.087794	0.119255	0.215436	0.276139
