 	celui	qui	a	avalé	ma	poule	c'	est	pas	le	crocodile	c'	est	le	python	</S>
a66	0.247147	0.19277	0.107806	0.0866801	0.0693093	0.0671394	0.0475721	0.0384975	0.0283401	0.0213232	0.0196732	0.0173923	0.0157106	0.0139232	0.0137413	0.0129753
a87	0.252957	0.17973	0.121503	0.115298	0.0608521	0.0388739	0.0182305	0.0196275	0.0208237	0.0207971	0.0221846	0.0229397	0.0245578	0.0252014	0.0275105	0.028914
a23	0.478305	0.29503	0.101601	0.0278085	0.0117445	0.00675301	0.00457251	0.00405679	0.00428928	0.00546796	0.00915762	0.0121858	0.0110262	0.00977343	0.00974088	0.00848717
a30	0.367207	0.287125	0.0851047	0.0256013	0.00951904	0.00503516	0.00537336	0.00840453	0.0119994	0.0160196	0.0277545	0.0389895	0.0335686	0.0294938	0.0262836	0.0225211
a4	0.363284	0.248755	0.0986378	0.0450793	0.0273777	0.0149113	0.0132507	0.0150101	0.0164435	0.0173984	0.0220168	0.0262954	0.0238443	0.0227524	0.0233792	0.0215645
a94	0.140646	0.197267	0.184396	0.150269	0.0665602	0.0369986	0.0217047	0.0194835	0.0194387	0.0191418	0.0239091	0.0244677	0.0239483	0.0233174	0.0233316	0.0251201
a61	0.11493	0.237883	0.216789	0.21487	0.0761811	0.0342964	0.0131919	0.0089682	0.0082014	0.00824135	0.0106532	0.0111028	0.0121049	0.0117361	0.00995995	0.0108898
a31	0.0905086	0.157322	0.20823	0.260497	0.118962	0.0507425	0.0218715	0.0141107	0.0109274	0.00906873	0.0101408	0.0106183	0.0101112	0.0099848	0.00848994	0.00841465
a0	0.0700197	0.10674	0.188604	0.30262	0.150632	0.0683287	0.0276632	0.0168431	0.0118872	0.00887802	0.0090502	0.00888854	0.00826741	0.00792984	0.00674254	0.00690643
a75	0.0318444	0.0468035	0.162072	0.324517	0.171061	0.0810555	0.0388722	0.0273038	0.0200981	0.0156759	0.0151828	0.0141601	0.0132854	0.0132777	0.0126161	0.012175
a43	0.00941298	0.0152984	0.0667101	0.3307	0.176667	0.13167	0.0646498	0.0397265	0.0286231	0.020773	0.020174	0.0176464	0.0157498	0.0166911	0.0193945	0.0261134
a75	0.0119814	0.0173712	0.060995	0.232431	0.172564	0.125827	0.0765766	0.0529254	0.0380218	0.0297722	0.0294121	0.0277781	0.0243153	0.0261049	0.0328927	0.0410311
a85	0.00470354	0.00677935	0.0221763	0.13596	0.134297	0.146051	0.101659	0.073856	0.0602402	0.0477478	0.0438336	0.0408164	0.0373326	0.0391645	0.0494158	0.0559664
a6	0.00290251	0.00370612	0.0114217	0.109675	0.130641	0.149711	0.12308	0.0887539	0.0710824	0.0543957	0.0436959	0.0401244	0.0351608	0.0365104	0.0456858	0.0534535
a85	0.00628303	0.00590045	0.0135638	0.0732337	0.117143	0.140113	0.116498	0.0859835	0.0684823	0.0558122	0.0533751	0.0531026	0.0454709	0.0478631	0.0564565	0.0607191
a47	0.00254716	0.00257548	0.00748085	0.0556027	0.0936354	0.134003	0.133103	0.0980453	0.0812726	0.0668086	0.057407	0.0567971	0.0470045	0.0481207	0.0565466	0.05905
a85	0.00277243	0.00248539	0.00451736	0.0235612	0.0391679	0.0766374	0.121306	0.101934	0.0846987	0.0714327	0.0676966	0.0741018	0.061951	0.0751221	0.091212	0.101403
a47	0.00152247	0.00155305	0.00359432	0.025566	0.0440475	0.0880194	0.135324	0.112602	0.0972426	0.0793925	0.0651331	0.0703825	0.0546302	0.0595179	0.0777001	0.0837726
a92	0.00446253	0.00325228	0.00402461	0.0143926	0.0213808	0.0448742	0.0946289	0.0940936	0.0812916	0.0675882	0.0707316	0.0821938	0.0639252	0.085905	0.119078	0.148177
